Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
10.16 PF1  21    1  CRO  61.6  38.2   0.2 100.0  63.0   9.0  26.0  75.0  10.0  29.0  52.0  67.0   39.0  55.0   7.0  73.0    0 Y11-D19-RSG2
10.16 PF1  21    1  CRO  61.4  38.4   0.2 100.0  63.0   9.0  26.0  75.0  10.0  29.0  52.0  67.0   39.0  55.0   7.0  73.0    0 Y11-D22-RSG5
10.16 PF1  21    1  CRO  61.3  38.4   0.3 100.0  63.0   9.0  26.0  75.0  10.0  29.0  52.0  67.0   37.8  55.0   7.0  73.0    0 Y11-D26-RSG9
10.16 PF1  21    1  CRO  61.3  38.4   0.3 100.0  63.0   9.0  26.0  73.1  10.0  29.0  52.0  67.0   37.8  55.0   7.0  73.0    0 Y11-D34-RSG17
10.16 PF1  21    1  CRO  61.3  38.4   0.3 100.0  63.0   9.0  26.0  73.1  10.3  29.0  52.0  67.0   37.8  54.0   8.0  73.0    0 Y11-D37-RSG20
10.16 PF1  21    1  CRO  61.3  38.4   0.3 100.0  63.0   9.0  26.0  73.1  10.3  29.0  52.0  67.0   37.8  54.0   7.0  73.0    0 Y11-D40-RSG23
10.16 PF1  21    1  CRO  61.3  38.4   0.3 100.0  63.0   9.0  26.0  73.1  10.3  29.0  52.0  67.0   37.8  54.0   7.0  70.3    0 Y11-D41-RSG24
10.16 PF1  21    1  CRO  61.3  38.4   0.3 100.0  63.0   9.0  26.0  73.1  10.3  29.0  52.0  67.0   37.8  54.0   5.3  70.3    0 Y11-D42-RSG25
10.16 PF1  21    1  CRO  61.3  38.4   0.3 100.0  63.0   9.0  27.0  73.1  10.3  29.0  52.0  67.0   37.8  54.0   5.3  70.3    0 Y11-D43-RSG26
10.16 PF1  21    1  CRO  61.3  38.4   0.3 100.0  63.0   9.0  27.0  73.1  10.3  29.0  52.0  70.2   37.8  54.0   5.3  70.3    0 Y11-D57-RSG40
10.16 PF1  21    1  CRO  61.3  38.4   0.3  99.0  63.0   9.0  27.0  73.1  10.3  29.0  50.1  73.1   37.8  54.0   5.3  70.3    0 Y11-D60-RSG43
10.16 PF1  21    1  CRO  61.3  38.4   0.3  99.0  63.0   9.0  27.0  73.1  10.3  29.0  50.1  73.1   39.0  54.0   5.3  70.3    0 Y11-D64-RSG47
10.16 PF1  21    1  CRO  61.3  38.4   0.3  99.0  63.0   9.0  27.0  73.1  10.3  30.7  50.1  73.1   39.0  54.0   5.3  70.3    0 Y11-D65-RSG48
10.16 PF1  21    1  CRO  61.3  38.4   0.3  99.0  64.0   9.0  27.0  73.1  10.3  30.7  50.1  73.1   39.0  54.0   5.3  70.3    0 Y11-D66-RSG49
10.16 PF1  21    1  CRO  61.3  38.4   0.3  99.0  64.0   9.0  27.0  73.1  10.3  30.7  50.1  73.1   39.0  54.0   4.3  70.3    0 Y11-D69-RSG52
10.16 PF1  21    1  CRO  61.0  38.7   0.3  99.0  64.0   9.0  28.5  71.7  10.3  30.7  50.1  73.1   39.0  54.0   4.3  70.3    0 Y11-D72-RSG55
10.16 PF1  21    1  CRO  60.3  39.4   0.3  99.0  64.0   9.0  30.2  71.7  10.3  30.7  50.1  73.1   39.0  54.0   4.3  70.3    0 Y11-D74-RSG57
10.16 PF1  21    1  CRO  60.4  39.4   0.2  99.0  64.0   9.0  30.2  71.7  10.3  30.7  50.1  73.1   39.0  54.0   4.3  70.3    0 Y11-D82-RSG65
10.16 PF1  21    1  CRO  60.4  39.4   0.2  99.0  64.0   7.5  30.2  71.7  10.3  30.7  50.1  73.1   39.0  54.0   4.3  70.3    0 Y11-D85-RSG68
10.16 PF1  21    1  CRO  60.4  39.4   0.2  99.0  64.0   7.5  30.2  71.7  10.0  30.7  50.1  73.1   39.0  54.0   4.3  69.2    0 Y11-D90-RSG73
10.16 PF1  21    1  CRO  60.4  39.4   0.2  96.5  64.0   7.5  30.2  71.7  10.0  30.7  50.1  73.1   39.0  54.0   4.3  69.2    0 Y11-D94-RSG77
