Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
 10.7 SG2  21    1  WIL  28.0   9.0  63.0  60.0  76.0 100.0  12.0  39.0  57.0  40.0  22.0  15.0  101.0  38.0  61.0  91.0    0 Y11-D20-RSG3
 10.7 SG2  21    1  WIL  28.0   9.0  63.0  60.0  76.0 100.0  12.0  39.0  55.1  40.0  22.0  15.0  101.0  38.0  61.0  92.0    0 Y11-D28-RSG11
 10.7 SG2  21    1  WIL  28.0   9.0  63.0  60.0  76.0 100.0  12.0  40.3  55.1  40.0  22.0  15.0  101.0  38.0  61.0  92.0    0 Y11-D29-RSG12
 10.7 SG2  21    1  WIL  28.0   9.0  63.0  61.0  76.0 100.0  12.0  40.3  55.1  40.0  22.0  15.0  101.0  38.0  61.0  92.0    0 Y11-D31-RSG14
 10.7 SG2  21    1  WIL  28.0   9.0  63.0  61.0  76.0 100.0  12.0  40.3  55.1  40.0  23.0  15.0  102.5  38.0  61.0  92.0    0 Y11-D32-RSG15
 10.7 SG2  21    1  WIL  28.0   9.0  63.0  61.0  76.0 100.0  12.0  40.3  55.1  37.8  23.0  15.0  102.5  38.0  61.0  92.0    0 Y11-D33-RSG16
 10.7 SG2  21    1  WIL  28.0   9.0  63.0  59.1  76.0 100.0  13.0  40.3  55.1  37.8  23.0  15.0  102.5  38.0  61.0  92.0    0 Y11-D36-RSG19
 10.7 SG2  21    1  WIL  28.0   9.0  63.0  59.1  76.0 100.0  13.0  40.3  55.1  37.8  23.0  15.0  103.8  38.0  61.0  91.0    0 Y11-D44-RSG27
 10.7 SG2  21    1  WIL  27.8   9.5  62.7  59.1  76.0 100.0  13.0  40.3  55.1  37.8  23.0  15.0  103.8  38.0  61.0  91.0    0 Y11-D46-RSG29
 10.7 SG2  21    1  WIL  27.8   9.5  62.7  59.1  76.0 100.0  14.0  40.3  55.1  37.8  23.0  15.0  103.8  38.0  61.0  91.0    0 Y11-D50-RSG33
 10.7 SG2  21    1  WIL  27.8   9.5  62.7  61.7  76.0 100.0  14.0  40.3  55.1  37.8  23.0  15.0  103.8  38.0  61.0  91.0    0 Y11-D62-RSG45
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.7  76.0 100.0  14.0  38.2  55.1  37.8  23.0  15.0  103.8  38.0  62.0  91.0    0 Y11-D66-RSG49
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.7  78.3 100.0  14.0  38.2  55.1  37.8  23.0  15.0  103.8  38.0  62.0  91.0    0 Y11-D68-RSG51
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.7  78.3 100.0  14.0  38.2  55.1  37.8  23.0  15.0  101.3  38.0  62.0  91.0    0 Y11-D72-RSG55
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.7  78.3 100.0  14.0  38.2  55.1  37.8  22.0  15.0  101.3  38.0  62.0  91.0    0 Y11-D76-RSG59
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.7  80.3 100.0  14.0  38.2  55.1  37.8  22.0  15.0  101.3  38.0  62.0  91.0    0 Y11-D80-RSG63
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.7  80.3 100.0  14.0  38.2  55.1  37.7  22.0  15.0  101.3  38.0  62.0  91.0    0 Y11-D84-RSG67
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.7  80.3 100.0  14.0  38.2  55.1  37.7  19.6  15.0  101.3  38.0  62.0  91.0    0 Y11-D87-RSG70
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.7  80.3 100.0  14.0  38.2  55.1  37.7  19.6  15.0  102.3  38.0  62.0  91.0    0 Y11-D88-RSG71
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  63.7  80.3 100.0  14.0  38.2  55.1  37.7  19.6  15.0  102.3  38.0  62.0  91.0    0 Y11-D89-RSG72
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.2  80.3 100.0  12.9  38.2  55.1  37.7  19.6  15.0  102.3  38.0  62.0  91.0    0 Y11-D92-RSG75
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.2  80.3 100.0  12.9  38.2  55.1  37.7  19.6  15.0  102.3  37.0  62.0  91.0    0 Y11-D93-RSG76
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.2  80.3 100.0  12.9  38.2  55.1  38.6  19.6  15.0  102.3  37.0  62.0  91.0    0 Y11-D95-RSG78
 10.7 SG2  21    1  WIL  28.3   9.6  62.1  61.2  80.3  97.1  12.9  38.2  55.1  38.6  19.6  15.0  102.3  37.0  62.0  91.0    0 Y11-D97-RSG80
