Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
 11.U  C1  22    0  DRA  74.5  25.4   0.1  98.5  76.2  10.0  32.5  61.6  22.1  22.4  34.3  67.1   17.9  78.0  18.0  63.2    0 Y11-D1-Draft
11.14  C1  22    0  HAR  74.4  25.4   0.2  98.5  76.2  10.0  32.5  61.6  22.1  22.4  34.3  67.1   17.9  78.0  19.0  63.2    0 Y11-D21-RSG4
11.14  C1  22    0  HAR  74.4  25.4   0.2  98.5  76.2  10.0  32.5  61.6  22.1  22.4  34.3  70.5   17.9  78.0  19.0  63.2    0 Y11-D22-RSG5
11.14  C1  22    0  HAR  74.4  25.4   0.2 100.5  76.2   8.5  32.5  61.6  21.0  22.4  34.3  70.5   17.9  78.0  20.0  63.2    0 Y11-D23-RSG6
11.14  C1  22    0  HAR  74.4  25.4   0.2 100.5  76.2   8.5  32.5  61.6  21.0  22.4  34.3  70.5   17.9  76.8  20.0  63.2    0 Y11-D24-RSG7
11.14  C1  22    0  HAR  74.4  25.4   0.2  97.9  76.2   8.5  32.5  61.6  21.0  22.4  34.3  70.5   17.9  76.8  20.0  63.2    0 Y11-D25-RSG8
11.14  C1  22    0  HAR  74.4  25.4   0.2  97.9  76.2   8.5  32.5  61.6  21.0  22.4  34.3  70.5   17.9  77.8  20.0  63.2    0 Y11-D27-RSG10
11.14  C1  22    0  HAR  74.4  25.4   0.2  97.9  76.2   8.5  32.5  61.6  19.6  22.4  34.3  70.5   17.9  77.8  20.0  63.2    0 Y11-D35-RSG18
11.14  C1  22    0  HAR  74.4  25.4   0.2  97.9  76.2  13.6  32.5  61.6  19.6  22.4  34.3  67.5   17.9  77.8  20.0  62.2    0 Y11-D37-RSG20
11.14  C1  22    0  HAR  75.1  24.7   0.2  97.9  76.2  13.6  32.5  61.6  19.6  22.4  34.3  67.5   17.9  77.8  20.0  62.2    0 Y11-D47-RSG30
11.14  C1  22    0  HAR  75.1  24.7   0.2  97.9  77.2  13.6  32.5  61.6  19.6  22.4  34.3  67.5   17.9  77.8  20.0  62.2    0 Y11-D48-RSG31
11.14  C1  22    0  HAR  75.1  24.7   0.2  97.9  77.2  13.6  32.5  61.6  19.6  22.4  35.3  67.5   17.9  77.8  20.0  62.2    0 Y11-D51-RSG34
11.14  C1  22    0  HAR  75.1  24.7   0.2  97.9  77.2  13.6  32.5  63.1  19.6  22.4  35.3  67.5   17.9  77.8  20.0  62.2    0 Y11-D54-RSG37
11.14  C1  22    0  HAR  75.1  24.7   0.2  97.9  77.2  13.6  32.5  63.1  18.2  22.4  35.3  67.5   17.9  77.8  20.0  62.2    0 Y11-D58-RSG41
11.14  C1  22    0  HAR  75.1  24.7   0.2  97.9  77.2  13.6  32.5  63.1  18.2  22.4  35.3  67.5   17.9  77.8  21.0  62.2    0 Y11-D60-RSG43
11.14  C1  22    0  HAR  75.1  24.7   0.2  97.9  77.2  13.6  32.5  63.1  18.2  22.4  36.3  67.5   17.9  77.8  21.0  62.2    0 Y11-D62-RSG45
11.14  C1  22    0  HAR  75.1  24.7   0.2  97.9  77.2  13.6  32.5  63.1  17.8  22.4  36.3  66.0   17.9  77.8  21.0  62.2    0 Y11-D65-RSG48
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  13.6  32.5  63.1  17.8  22.4  36.3  66.0   17.9  77.8  21.0  62.2    0 Y11-D71-RSG54
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  13.6  32.5  63.1  17.8  22.4  36.3  68.7   17.9  77.8  21.0  62.2    0 Y11-D75-RSG58
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  13.6  33.5  64.1  17.8  22.4  36.3  68.7   17.9  77.8  21.0  62.2    0 Y11-D79-RSG62
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  13.6  35.9  64.1  17.8  22.4  36.3  68.7   17.9  77.8  21.0  62.2    0 Y11-D83-RSG66
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  13.6  35.9  64.1  17.8  22.4  36.3  68.7   17.9  77.8  21.0  62.2    1 Y11-D84-RSG67
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  13.6  35.9  64.1  17.8  22.4  36.3  68.7   17.9  77.8  21.0  62.2    0 Y11-D85-RSG68
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  13.6  35.9  64.1  17.8  22.4  36.3  68.7   17.9  77.8  21.0  63.2    0 Y11-D88-RSG71
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  17.4  35.9  64.1  17.8  22.4  36.3  68.7   17.9  77.8  21.0  63.2    0 Y11-D90-RSG73
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  17.4  35.9  64.1  17.8  22.4  36.3  68.7   17.9  75.0  21.0  63.2    0 Y11-D91-RSG74
11.14  C1  22    0  HAR  75.6  24.2   0.2  97.9  77.2  17.4  35.9  64.1  17.8  22.4  36.3  68.7   17.9  75.0  19.6  63.2    0 Y11-D93-RSG76
11.14  C1  22    0  HAR  75.6  24.2   0.2  98.9  77.2  17.4  35.9  64.1  17.8  22.4  38.0  68.7   17.9  75.0  19.6  63.2    0 Y11-D95-RSG78
