Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    6   RS vLAT   W(96-65)  0  1  1509   4   9   1   4   3   5   2   2   0   0   1   2   0   2  0  4  4  11  1  1  13   2   0  27  68  41   29   19   1   0   0   1  A
  11  LAT   10   RS @LAT   W(90-86)  0  1  2324   3  13   3   9   0   4   4   7   0   0   1   2   2   7  0  6  6  15  2  3  10   2   0   5  86  81   52   36   2   0   0   3  A
  11  RAY   14   RS vRAY   L(78-91)  0  1   881   2  11   1   5   1   6   4   4   0   0   0   1   1   4  0  3  3   4  0  2   9   0   0  -6  25  31   24   11   0   0   0   2  A
  11  KEN   16   RS @KEN  L(85-101)  0  1  1478   4  10   3   8   1   2   5   5   0   0   0   1   3   7  0  4  4   8  0  2  14   0   0 -11  55  66   26   14   0   0   0   2  A
  11  LAT   18   RS @LAT   L(88-91)  0  1  1800   6  12   3   9   3   3   9  11   0   0   0   1   3   8  0  2  2  10  2  4  24   0   2  -4  61  65   38   22   0   2   0   4  A
  11  RAY   20   RS @RAY L(105-112)  1  1  2001   6  20   4  12   2   8   0   0   0   0   0   1   4  11  0  3  3  16  2  0  14   0   2  -7  80  87   49   29   1   1   0   0  A
  11  KEN   22   RS vKEN   W(99-92)  0  1  1642   3   7   1   4   2   3   0   0   0   0   0   1   1   3  0  1  1  12  2  0   8   0   2   4  66  62   32   25   0   2   0   0  A
  11  CRO   25   RS @CRO  W(101-92)  0  1  1177   2   4   2   4   0   0   2   2   0   0   0   0   2   4  0  1  1   6  2  1   6   0   0   4  48  44   21   16   0   2   0   1  A
  11  BRE   30   RS vBRE   W(91-77)  0  1  1800   1  10   1   8   0   2   6   6   0   0   0   3   1   5  0  0  0   6  1  3   8   0   0  16  68  52   27   14   1   0   0   3  A
  11  QUE   31   RS @QUE   W(96-90)  0  1  2270   7  11   5   8   2   3   4   5   0   0   1   1   4   7  0  6  6  13  2  2  20   2   2  12  96  84   38   25   1   1   0   2  A
  11  QUE   38   RS vQUE  W(105-83)  0  1  1997   5   7   5   6   0   1   4   4   0   0   0   0   5   6  0  5  5  12  0  2  14   0   0  22  91  69   31   22   0   0   0   2  A
  11  RAY   44   RS @RAY  L(94-109)  0  1   928   2   4   2   3   0   1   2   2   0   0   0   0   2   3  0  2  2   4  3  1   6   0   0 -14  34  48   17   12   1   2   0   1  A
  11  LAT   46   RS vLAT  L(92-100)  0  1  1800   4  10   3   6   1   4   2   2   0   0   0   2   3   4  0  3  3   8  0  1  11   0   4  -2  68  70   31   20   0   0   0   1  A
  11  KEN   48   RS @KEN  L(95-114)  0  1  1996   3   8   2   5   1   3   2   2   0   0   1   2   1   3  0  1  1   5  2  1   9   2   0 -25  72  97   30   21   2   0   0   1  A
  11  RAY   54   RS vRAY  W(100-82)  0  1  1379   6  16   5  10   1   6   7   7   0   0   2   2   3   8  0  4  4   9  1  3  20   4   2   5  59  54   32   13   1   0   0   3  A
  11  LAT   58   RS @LAT   W(90-83)  0  1  2400   4  11   3   8   1   3   0   0   0   0   0   2   3   6  0  5  5  11  2  0   9   0   2   7  90  83   32   21   1   1   0   0  A
  11  RAY   60   RS @RAY  L(95-102)  0  1  2376   3  10   3   9   0   1   8   8   0   0   0   2   3   7  1  2  3  14  4  4  14   2   2  -3  92  95   44   30   0   4   1   3  A
  11  KEN   62   RS vKEN   W(90-77)  0  1  1660   6  15   6  12   0   3   9   9   0   0   2   6   4   6  0  4  4   4  2  3  21   4   5  19  60  41   26    8   0   2   0   3  A
  11  WIL   67   RS @WIL  W(102-87)  0  1  1800   3  11   1   7   2   4   3   3   0   0   0   5   1   2  0  1  1   4  0  1  11   0   0  15  74  59   30   18   0   0   0   1  A
  11  CRO   70   RS vCRO   W(97-73)  0  1  1536   4   9   3   4   1   5   0   0   0   0   0   0   3   4  0  4  4   6  0  0   9   0   3  29  65  36   18    9   0   0   0   0  A
  11  QUE   71   RS @QUE  L(98-105)  1  1  1363   2   4   2   4   0   0   0   0   0   0   0   0   2   4  0  2  2   3  3  0   4   0   0  -9  43  52   19   15   1   2   0   0  A
  11  BRE   78   RS vBRE  W(105-78)  0  1  2168   6  12   2   7   4   5   2   2   0   0   0   2   2   5  1  3  4   9  0  1  18   0   0  20  94  74   34   21   0   0   0   1  A
