Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  1  2400   4  12   2   4   2   8   0   0   0   0   2   3   0   1  0  2  2  15  0  0  10   4   0   8 107  99   40   28   0   0   0   0  A
  11  RAY    4   RS @RAY  L(95-114)  0  1  1638   1   7   0   4   1   3   1   2   0   0   0   3   0   1  0  2  2  15  1  1   4   1   0  -3  68  71   32   24   0   1   1   0  A
  11  HAR    6   RS @HAR   L(65-96)  0  1   919   1   7   1   6   0   1   0   0   0   0   1   4   0   2  0  0  0   2  1  0   2   2   2 -20  25  45   19   12   1   0   0   0  A
  11  HAR   10   RS vHAR   L(86-90)  0  1  1189   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   5  3  0   0   0   0  -6  41  47   18   18   1   2   0   0  A
  11  RAY   12   RS @RAY  W(107-77)  0  1  2214   3   5   3   4   0   1   4   4   0   0   3   4   0   0  0  2  2  15  1  2  10  10   0  20  93  73   42   35   0   1   2   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  1  2400   4  11   1   6   3   5   2   2   0   0   0   4   1   2  0  4  4  11  2  1  13   2   2   3  91  88   45   33   0   2   1   0  A
  11  QUE   26   RS vQUE  W(105-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  BRE   29   RS @BRE  L(87-109)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  CRO   33   RS @CRO   L(76-99)  0  1  1493   3   9   2   6   1   3   3   4   0   0   1   3   1   3  2  1  3   4  2  2  10   5   2 -21  44  65   27   16   1   1   2   0  A
  11  BRE   34   RS vBRE L(100-102)  0  1  1448   3   8   1   4   2   4   0   0   0   0   0   0   1   4  1  2  3   6  2  0   8   0   0 -10  61  71   29   21   2   0   0   0  A
  11  KEN   42   RS vKEN   L(75-98)  0  1  1399   1   4   1   3   0   1   0   0   0   0   1   3   0   0  0  2  2   7  0  0   2   2   0 -10  47  57   19   15   0   0   0   0  A
  11  HAR   46   RS @HAR  W(100-92)  0  1  2400   1   8   1   7   0   1   4   4   0   0   1   6   0   1  0  2  2  21  1  2   6   4   0   8 100  92   49   39   0   1   1   1  A
  11  KEN   50   RS vKEN  L(93-101)  0  1  2400   4  12   3   7   1   5   3   4   0   0   2   4   1   3  1  2  3  20  0  2  12   7   0  -8  93 101   51   37   0   0   2   0  A
  11  RAY   52   RS @RAY   L(84-92)  0  1  2400   2   4   2   3   0   1   4   5   0   0   1   1   1   2  0  4  4   9  1  2   8   4   0  -8  84  92   43   37   0   1   1   1  A
  11  KEN   56   RS @KEN  L(72-103)  0  1  1800   3   9   3   6   0   3   0   0   0   0   2   4   1   2  0  4  4   9  2  0   6   4   0 -26  53  79   31   22   0   2   0   0  A
  11  HAR   58   RS vHAR   L(83-90)  0  1  2151   4  10   2   4   2   6   2   4   0   0   2   3   0   1  1  1  2   9  1  2  12   6   2 -10  67  77   35   23   1   0   2   0  A
  11  KEN   64   RS @KEN   L(67-75)  0  1  2400   5  12   5  10   0   2   0   0   0   0   4   8   1   2  1  3  4   7  2  0  10   8   0  -8  67  75   31   19   0   2   0   0  A
  11  WIL   66   RS vWIL  L(90-104)  0  1  2038   5   7   3   5   2   2   5   5   0   0   1   2   2   3  0  1  1  13  4  2  17   4   2   0  82  82   35   26   2   2   1   1  A
  11  QUE   74   RS vQUE L(101-104)  0  1  2349   2   7   2   4   0   3   0   0   0   0   2   3   0   1  0  0  0  16  4  0   4   4   2  -2  95  97   38   31   3   1   0   0  A
  11  BRE   77   RS @BRE  W(100-91)  0  1  2400   4   8   2   5   2   3   5   5   0   0   2   4   0   1  1  2  3  13  2  2  15   6   0   9 100  91   44   34   1   1   1   1  A
