Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE    5   RS @BRE   L(70-94)  0  0   600   1   3   1   3   0   0   2   2   0   0   1   1   0   2  0  4  4   0  0  1   4   4   0   4  18  14    4    0   0   0   1   0  A
  11  QUE    9   RS vQUE   W(82-81)  0  1  2381   7  15   7  15   0   0   2   2   1   1   7  10   0   5  6  8 14   1  2  1  16  14   4   1  82  81   17    1   2   0   0   1  A
  11  WIL   11   RS @WIL  L(95-110)  0  0   648   3   5   3   5   0   0   0   0   0   0   1   2   2   3  1  1  2   0  0  0   6   2   0   5  32  27    5    0   0   0   0   0  A
  11  BRE   17   RS vBRE L(100-105)  0  0   600   3   6   3   6   0   0   0   0   0   0   2   4   1   2  1  0  1   1  1  0   6   4   0  10  31  21    7    1   0   1   0   0  A
  11  QUE   23   RS @QUE W(120-119)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  HAR   25   RS vHAR  L(92-101)  0  1  1833   1   9   1   8   0   1   0   2   0   0   1   5   0   3  4  5  9   0  1  1   2   2   0  -7  73  80   10    0   0   1   1   0  A
  11  LAT   33   RS vLAT   W(99-76)  0  0   405   1   2   1   2   0   0   0   0   0   0   0   0   1   2  1  1  2   0  1  0   2   0   0   1  15  14    2    0   0   1   0   0  A
  11  WIL   41   RS vWIL   W(77-74)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   43   RS @WIL W(111-101)  0  0   902   4   4   4   4   0   0   0   0   1   1   4   4   0   0  2  2  4   0  1  0   8   8   2   3  47  44    4    0   1   0   0   0  A
  11  WIL   49   RS vWIL   W(85-84)  0  1  2400   7  19   7  19   0   0   2   2   0   0   3  10   4   9  2 13 15   1  2  1  16   8   2   1  85  84   22    2   2   0   1   0  A
  11  QUE   55   RS @QUE   L(89-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   57   RS vQUE  L(76-110)  0  0   816   3   5   3   5   0   0   1   2   0   0   2   3   1   2  1  3  4   3  1  1   7   5   2  -1  32  33    9    3   1   0   1   0  A
  11  WIL   59   RS @WIL   W(99-88)  0  0   460   3   4   3   4   0   0   0   0   0   0   2   3   1   1  1  1  2   0  1  0   6   4   0   4  26  22    4    0   1   0   0   0  A
  11  KEN   65   RS vKEN  L(96-112)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   68   RS @RAY  L(86-106)  0  1  2113   7  10   7  10   0   0   1   4   1   2   6   8   1   2  4  6 10   1  1  2  15  13   2 -20  77  97   15    3   0   1   2   0  A
  11  HAR   70   RS @HAR   L(73-97)  0  1  1457   7  11   7  11   0   0   0   0   1   2   6  10   1   1  2  5  7   0  3  0  14  12   2  -7  52  59   12    1   2   1   0   0  A
  11  RAY   73   RS vRAY  L(87-102)  0  1  2400   7  16   7  16   0   0   0   4   1   1   6  10   1   6  2  7  9   0  1  2  14  12   2 -15  87 102   18    0   1   0   2   0  A
  11  KEN   80   RS @KEN   L(79-95)  0  1  2243   3  12   3  12   0   0   0   0   0   1   1   4   2   8  4 13 17   0  2  0   6   2   0 -21  69  90   12    0   1   1   0   0  A
