Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    3   RS vBRE   W(93-74)  0  0  1066   2   6   2   6   0   0   1   4   0   1   1   5   1   1  1  2  3   0  0  2   5   3   0   7  41  34    9    1   0   0   2   0  A
  11  CRO   11   RS vCRO  W(110-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   13   RS @BRE  L(99-111)  0  0   705   0   2   0   2   0   0   2   2   0   0   0   2   0   0  2  0  2   2  0  1   2   2   0  -3  29  32    5    2   0   0   1   0  A
  11  QUE   15   RS @QUE  W(101-89)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  BRE   19   RS vBRE L(107-108)  0  0   673   0   0   0   0   0   0   1   2   0   0   0   0   0   0  1  1  2   0  1  1   1   1   1  -5  31  36    2    1   0   1   1   0  A
  11  KEN   27   RS vKEN  W(113-79)  0  0  1115   7  11   7  11   0   0   5   6   1   1   7  10   0   1  1  6  7   1  0  3  19  19   4   7  44  37   16    2   0   0   3   0  A
  11  KEN   32   RS @KEN  W(108-91)  0  0   340   1   3   1   3   0   0   0   2   0   0   0   2   1   1  1  1  2   0  0  1   2   0   0  -1  12  13    4    0   0   0   1   0  A
  11  RAY   35   RS vRAY   W(95-70)  0  0   600   3   5   3   5   0   0   0   0   2   2   3   5   0   0  2  5  7   0  1  0   6   6   4  -2  18  20    5    0   1   0   0   0  A
  11  RAY   36   RS @RAY  L(94-111)  0  0   107   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -6   2   8    0    0   0   0   0   0  A
  11  CRO   41   RS @CRO   L(74-77)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   43   RS vCRO L(101-111)  0  0   782   3   7   3   7   0   0   0   0   0   0   1   5   2   2  1  1  2   0  0  0   6   2   2   7  38  31    7    0   0   0   0   0  A
  11  BRE   45   RS @BRE   W(82-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   49   RS @CRO   L(84-85)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   51   RS vQUE  L(89-107)  0  0   600   3   5   3   5   0   0   0   0   0   0   3   4   0   1  0  3  3   0  0  0   6   6   0   5  28  23    5    0   0   0   0   0  A
  11  CRO   59   RS vCRO   L(88-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   63   RS @QUE   L(81-99)  0  0   850   2   8   2   8   0   0   2   2   0   0   1   6   1   2  0  3  3   0  0  1   6   4   0  -9  31  40   10    1   0   0   1   0  A
  11  LAT   66   RS @LAT  W(104-90)  0  0  1080   1   4   1   4   0   0   0   0   0   0   1   3   0   1  1  3  4   1  0  0   2   2   0   4  52  48    7    3   0   0   0   0  A
  11  HAR   67   RS vHAR  L(87-102)  0  0   741   1   6   1   6   0   0   0   0   0   0   1   4   0   2  3  2  5   0  1  0   2   2   0  -1  27  28    7    1   1   0   0   0  A
  11  KEN   75   RS vKEN   L(81-87)  0  0   204   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  2  2   0  0  0   2   2   0  -3   4   7    1    0   0   0   0   0  A
