Year Game Type Opp.     Result OT Ties LChgs FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC Pts InP 2CP Poss Tchs Pass IFC PFC BPts MaxL MUPt oFGM oFGA o2PM o2PA o3PM o3PA oFTM oFTA oPBM oPBA oInM oInA o2JM o2JA oOR oDF oTR oAst oFC oPts oInP o2CP oPoss oTchs oPass oIFC oPFC oBPts oMaxL oMUPt PeriodScores
  11    8   RS vRAY   L(79-99)  0    0     0  30  88  24  58   6  30  13  18   4   5  19  35   5  23 16 33 49  19  5  79  40  23   95  140   45   2   3   15    0    7   39   83   28   58   11   25   10   11    2    3   19   33    9   25  11  44  55   21   7   99   41   11    88   132    44    1    6    18    20    10 20-27,19-20,24-29,16-23
  11   16   RS vHAR  W(101-85)  0    4     3  42  83  31  58  11  25   6   8   1   1  21  31  10  27 12 34 46  26 11 101  44  13   87  133   46   9   2   17   21    7   31   75   26   56    5   19   18   23    1    3   15   28   11   28  11  30  41   19   4   85   43    5    86   128    42    2    2    28     3     6 23-18,26-16,26-26,26-25
  11   22   RS @HAR   L(92-99)  0    0     0  36  86  29  57   7  29  13  18   2   6  21  37   8  20 17 30 47  20 11  92  42  13   93  138   45   6   5   20    0    8   37   77   31   63    6   14   19   24    1    1   21   38   10   25  14  36  50   22   7   99   51   19    88   135    47    2    5    13    21     9 12-30,27-27,27-19,26-23
  11   24   RS vRAY W(118-114)  1   13    12  43  88  29  51  14  37  18  22   2   3  19  34  10  17  9 37 46  23 10 118  44  13   98  140   42   7   3   13   21    6   44   94   36   69    8   25   18   23    7    9   26   45   10   24  15  37  52   19  10  114   62   23   104   151    47    4    6    37     3    10 29-28,27-18,28-24,21-35,13-9
  11   27   RS @WIL  L(79-113)  0    5     2  26  79  16  49  10  30  17  25   4   7  13  33   3  16 14 23 37  12 13  79  33  16   90  132   42  10   3   45    2    5   42   71   36   59    6   12   23   29    2    2   29   43    7   16   9  41  50   16  11  113   74    8    84   123    39    6    5    40    34    12 18-32,19-27,23-30,19-24
  11   32   RS vWIL  L(91-108)  0    0     0  30  78  20  47  10  31  21  23   1   3   9  21  11  26 11 30 41  17  6  91  26  14   88  135   47   6   0   40    0   10   48   85   42   68    6   17    6   12    3    3   27   39   15   29  12  38  50   24  10  108   60   14    91   139    48    4    6    15    21    10 18-27,29-32,20-24,24-25
  11   39   RS @QUE   L(88-97)  0    2     6  33  89  22  59  11  30  11  16   0   4  17  40   5  19 19 29 48  17  7  88  38  11   96  138   42   6   1   21    3    7   42   79   39   63    3   16   10   14    1    1   22   30   17   33  10  39  49   28   7   97   52   11    86   131    45    3    4    14    14     9 28-37,24-19,13-19,23-22
  11   40   RS vBRE   W(92-84)  0    2     2  35  73  27  50   8  23  14  18   1   1  14  27  13  23  7 33 40  14  8  92  32   4   81  115   34   6   2   11   11    8   33   86   26   57    7   29   11   16    2    6   21   45    5   12  20  33  53   21   8   84   49   18    94   145    51    3    5    22     7     9 23-15,15-26,22-17,32-26
  11   42   RS @LAT   W(98-75)  0    4     5  36  80  22  45  14  35  12  20   3   4  12  24  10  21 14 35 49  20  2  98  25  14   88  132   44   1   1   22   27   11   36   84   35   75    1    9    2    4    2    2   20   47   15   28  14  32  46   15   8   75   40   12    86   123    37    3    5    28    11     6 14-25,32-20,25-14,27-16
  11   48   RS vHAR  W(114-95)  0    2     1  40  75  23  41  17  34  17  19   3   4  11  21  12  20 12 28 40  21  7 114  28  22   83  121   38   3   4   31   28    7   37   82   28   61    9   21   12   15    2    4   21   35    7   26  18  23  41   18   8   95   46   13    89   126    37    3    5    42     2     6 21-16,37-34,32-18,24-27
  11   50   RS @LAT  W(101-93)  0   16     9  32  75  21  41  11  34  26  33   0   1   7  16  14  25 11 31 42  18  6 101  19  13   88  135   47   6   0   14   10    7   41   83   38   71    3   12    8   12    2    5   28   48   10   23  14  36  50   24  13   93   64   10    89   132    43    4    9    17     4     4 20-21,26-28,30-25,25-19
  11   56   RS vLAT  W(103-72)  0    3     0  32  76  23  54   9  22  30  39   3   6  16  37   7  17 17 38 55  12  6 103  41  26   92  127   35   3   3   31   33   10   31   82   29   64    2   18    8   14    4    6   21   45    8   19  15  33  48   15  16   72   46   15    88   128    40    6   10    29     0     5 19-11,30-18,30-24,24-19
  11   62   RS @HAR   L(77-90)  0    7     9  30  78  26  56   4  22  13  17   1   2  14  27  12  29 14 30 44  19  9  77  30  13   85  124   39   5   4   25    9    7   33   74   29   58    4   16   20   22    2    3   17   36   12   22  13  36  49   16   7   90   42   14    83   124    41    2    5    13    14     8 19-21,31-23,12-24,15-22
  11   64   RS vLAT   W(75-67)  0   11     8  24  75  15  44   9  31  18  22   2   6   9  25   6  19 18 38 56  13 10  75  21  15   85  126   41   6   4   12   10    8   23   71   21   57    2   14   19   24    0    1   15   43    6   14  13  35  48   13  10   67   40    6    81   114    33    2    8    12     5     6 19-15,19-21,14-17,23-14
  11   65   RS @CRO  W(112-96)  0    5     2  37  77  21  39  16  38  22  27   2   3  15  22   6  17 12 33 45  17  5 112  30  19   87  122   35   3   2   14   27    7   39   78   29   63   10   15    8   10    0    0   19   34   10   29   7  30  37   24  10   96   42   11    83   134    51    1    9    25     1     7 37-28,31-25,22-15,22-28
  11   72   RS vQUE W(108-105)  0    2     0  33  73  20  42  13  31  29  39   2   2  14  24   6  18 12 30 42  16  8 108  40  19   91  132   41   5   3    0   12    5   40   84   30   67   10   17   15   17    1    5   21   41    9   26  15  32  47   21  18  105   50   13    92   143    51    8   10     7     0     7 29-20,22-26,19-20,38-39
  11   75   RS @WIL   W(87-81)  0    6     6  29  70  20  40   9  30  20  27   2   2   9  20  11  20 10 36 46  16  7  87  27   9   83  120   37   3   4   19    7    7   33   84   29   70    4   14   11   14    2    4   18   36   11   34  17  36  53   18  13   81   41   20    91   137    46    7    6    11     3     7 21-16,18-21,23-21,25-23
  11   80   RS vCRO   W(95-79)  0    1     3  33  73  24  51   9  22  20  25   2   2  15  29   9  22  9 37 46  22  5  95  35  12   83  129   46   3   2   19   19   17   34   82   28   67    6   15    5   10    1    2   13   28   15   39  12  33  45   21  10   79   30   14    87   144    57    3    7     7     4     6 20-21,31-22,26-26,18-10
