Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   7   RS vBRE  W(102-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  15   RS vWIL  L(89-101)  0  0   179   2   3   2   3   0   0   0   0   0   0   0   0   2   3  1  0  1   0  1  0   4   0   0   3  10   7    3    0   1   0   0   0  A
  21   RS @BRE  W(106-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  26   RS @LAT  L(96-105)  0  0  1469  10  17  10  16   0   1   5  10   1   1   9   9   1   7  3  4  7   0  1  5  25  23   4  14  67  53   22    0   0   1   5   0  A
  28   RS @RAY  L(97-119)  0  0   710   1   5   1   5   0   0   0   0   1   1   1   1   0   4  3  1  4   0  0  0   2   2   2   0  26  26    6    1   0   0   0   0  A
  31   RS vHAR   L(90-96)  0  1   842   3   7   3   6   0   1   0   0   0   0   3   5   0   1  2  5  7   0  2  0   6   6   2  -3  37  40    7    0   1   1   0   0  A
  38   RS @HAR  L(83-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  39   RS vKEN   W(97-88)  0  0   714   2   7   2   7   0   0   4   4   0   0   1   2   1   5  0  3  3   0  0  2   8   6   0  -6  25  31    9    0   0   0   2   0  A
  47   RS vBRE   L(86-94)  0  0  1172   6  10   6   9   0   1   0   0   0   0   4   5   2   4  2  1  3   1  4  0  12   8   2   5  43  38   12    2   1   3   0   0  A
  51   RS @WIL  W(107-89)  0  0   224   1   2   1   2   0   0   0   0   0   0   1   1   0   1  1  0  1   0  0  0   2   2   0   1  12  11    2    0   0   0   0   0  A
  53   RS @BRE  W(101-86)  0  0   870   4   6   4   6   0   0   1   2   1   1   3   4   1   2  2  6  8   0  3  1   9   7   2  19  46  27    7    0   3   0   1   0  A
  55   RS vCRO   W(95-89)  0  0  1549   6  10   6  10   0   0   3   4   0   2   5   8   1   2  5  6 11   0  3  2  15  11   2  17  68  51   13    1   2   1   1   1  A
  57   RS @CRO  W(110-76)  0  1  1800   1   5   1   5   0   0   5   6   0   0   1   3   0   2  5 13 18   0  0  3   7   7   2  33  87  54    8    0   0   0   3   0  A
  61   RS @BRE   L(83-99)  0  1  2055   7  18   7  18   0   0   1   2   2   2   7  11   0   7  5  4  9   0  0  1  15  15   4 -14  71  85   19    0   0   0   1   0  A
  63   RS vWIL   W(99-81)  0  1  1296   2   7   2   7   0   0   0   0   0   0   1   3   1   4  0  5  5   1  3  0   4   2   0   3  47  44    8    1   3   0   0   0  A
  71   RS vHAR  W(105-98)  1  1  2700  10  19  10  19   0   0   4   6   0   0   9  14   1   5  4  7 11   0  1  3  24  22   2   7 105  98   22    0   1   0   3   0  A
  72   RS @KEN L(105-108)  0  1  1228   5  10   5  10   0   0   1   2   0   2   4   8   1   2  4  3  7   0  4  1  11   9   0  -4  53  57   11    0   4   0   1   0  A
  74   RS @LAT W(104-101)  0  1  2400   9  19   9  19   0   0   5   8   0   0   7  14   2   5  2  6  8   1  1  4  23  19   2   3 104 101   26    3   1   0   4   0  A
  76   RS @RAY W(107-100)  0  1  2400  11  24  11  24   0   0   1   2   0   0  10  15   1   9  3 10 13   0  3  1  23  21   5   7 107 100   25    0   2   1   1   0  A
  79   RS vRAY  W(105-84)  0  1  1513   8  15   8  15   0   0   6   6   0   0   5   9   3   6  2  8 10   2  3  3  22  16   0  24  72  48   21    3   3   0   3   0  A
