Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS vRAY  W(107-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   4   RS @RAY  L(95-114)  0  0   111   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   0  -2   4   6    1    0   0   0   0   0  A
   6   RS @HAR   L(65-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  10   RS vHAR   L(86-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  12   RS @RAY  W(107-77)  0  0   186   1   2   1   2   0   0   0   0   0   0   0   1   1   1  0  2  2   0  0  0   2   0   0  10  14   4    2    0   0   0   0   0  A
  18   RS vHAR   W(91-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  26   RS vQUE  W(105-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  29   RS @BRE  L(87-109)  0  0   365   1   2   1   2   0   0   0   0   0   0   1   1   0   1  0  2  2   0  0  0   2   2   0 -15  12  27    2    0   0   0   0   0  A
  33   RS @CRO   L(76-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  34   RS vBRE L(100-102)  0  0    70   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   4   4    0    0   0   0   0   0  A
  42   RS vKEN   L(75-98)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  46   RS @HAR  W(100-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  50   RS vKEN  L(93-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  52   RS @RAY   L(84-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  56   RS @KEN  L(72-103)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  58   RS vHAR   L(83-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  64   RS @KEN   L(67-75)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  66   RS vWIL  L(90-104)  0  0   766   1   2   1   2   0   0   2   2   0   0   1   2   0   0  2  4  6   0  1  1   4   4   0   9  36  27    3    0   1   0   1   0  A
  74   RS vQUE L(101-104)  0  0   134   2   2   2   2   0   0   0   0   0   0   1   1   1   1  0  1  1   0  0  0   4   2   0  -3   4   7    2    0   0   0   0   0  A
  77   RS @BRE  W(100-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
