Player Game Type Opp.     Result OT St Time FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DR TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Fi3    2   RS vHAR  L(95-110)  0  0  263   1   3   1   2   0   1   0   0   0   0   0   1   1   1  1  0  1   0  0  0   2   0   0  -2   8  10    5    2   0   0   0   0  A
   If1    2   RS vHAR  L(95-110)  0  0  110   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   1  0  0   0   0   0   2   4   2    1    1   0   0   0   0  A
  He10    2   RS vHAR  L(95-110)  0  1 2290   7  14   5   9   2   5   2   3   0   1   2   5   3   4  3  4  7   4  2  1  18   4   7 -17  91 108   19    4   1   1   0   1  A
   Ie8    2   RS vHAR  L(95-110)  0  1 1482   2   6   1   5   1   1   0   0   0   0   0   2   1   3  0  1  1   0  1  0   5   0   0 -14  59  73    7    1   1   0   0   0  A
   Cc5    2   RS vHAR  L(95-110)  0  1 2290  16  23  16  20   0   3   0   0   2   2  14  17   2   3  4  5  9   1  2  0  32  28   4 -17  91 108   25    2   2   0   0   0  A
   Ca1    2   RS vHAR  L(95-110)  0  0  110   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   2   2   4   2    1    0   0   0   0   0  A
   Eg6    2   RS vHAR  L(95-110)  0  0  655   1   2   1   1   0   1   0   0   0   0   0   0   1   1  0  1  1   0  2  0   2   0   2   1  28  27    3    1   0   2   0   0  A
   Ja3    2   RS vHAR  L(95-110)  0  0  600   1   3   1   3   0   0   0   0   0   0   1   1   0   2  1  0  1   0  0  0   2   2   0   2  25  23    4    1   0   0   0   0  A
   Ji7    2   RS vHAR  L(95-110)  0  0  110   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   2   4   2    0    0   0   0   0   0  A
   Jc5    2   RS vHAR  L(95-110)  0  0  263   0   2   0   2   0   0   0   0   0   0   0   1   0   1  0  2  2   0  0  0   0   0   0  -2   8  10    2    0   0   0   0   0  A
   Fj3    2   RS vHAR  L(95-110)  0  1 2290   7  17   4  10   3   7   3   3   1   1   2   6   2   4  2  4  6  10  0  1  20   4   2 -17  91 108   39   21   0   0   0   1  A
   Ia3    2   RS vHAR  L(95-110)  0  1 1537   5  12   5  11   0   1   2   2   0   0   3   6   2   5  1  6  7   2  2  1  12   8   0 -15  62  77   16    3   1   1   1   0  A
