Player Game Type Opp.     Result OT St Time FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DR TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ja2    2   RS @CRO  W(110-95)  0  0  125   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   1   5   4    0    0   0   0   0   0  A
   Hi5    2   RS @CRO  W(110-95)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Gg2    2   RS @CRO  W(110-95)  0  1 1902   9  23   5  11   4  12   0   0   0   0   2   7   3   4  1  5  6   2  0  0  22   4   0   5  84  79   25    2   0   0   0   0  A
   Ii9    2   RS @CRO  W(110-95)  0  0  125   1   2   0   0   1   2   0   0   0   0   0   0   0   0  0  0  0   0  0  0   3   0   3   1   5   4    2    0   0   0   0   0  A
   Hg4    2   RS @CRO  W(110-95)  0  0  125   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   1  0  0   0   0   0   1   5   4    1    1   0   0   0   0  A
   Ge8    2   RS @CRO  W(110-95)  0  1 2275   6  10   4   7   2   3   5   8   1   1   4   5   0   2  6  6 12   1  0  3  19   9   4  14 105  91   15    2   0   0   1   2  A
   Ee1    2   RS @CRO  W(110-95)  0  0  498   3   4   1   1   2   3   0   0   0   0   1   1   0   0  0  1  1   1  1  0   8   2   0  10  26  16    6    2   0   1   0   0  A
   Ga2    2   RS @CRO  W(110-95)  0  1 2275   7  10   7  10   0   0   0   0   1   1   6   8   1   2  3  4  7   0  1  0  14  12   2  14 105  91   10    0   1   0   0   0  A
   Gc3    2   RS @CRO  W(110-95)  0  1 2275  13  16  13  14   0   2   3  10   0   0  11  11   2   3  2 10 12   1  1  5  29  25   6  14 105  91   22    1   0   1   4   1  A
   Jg3    2   RS @CRO  W(110-95)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ha5    2   RS @CRO  W(110-95)  0  0  125   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   1  0  0   0   0   0   1   5   4    1    1   0   0   0   0  A
   Fj4    2   RS @CRO  W(110-95)  0  1 2275   5  11   2   5   3   6   2   2   0   0   1   1   1   4  0  4  4  17  0  1  15   2   3  14 105  91   47   35   0   0   0   1  A
