Player Game Type Opp.     Result OT St Time FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DR TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ge2    1   RS @RAY   L(94-99)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ii6    1   RS @RAY   L(94-99)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Eh1    1   RS @RAY   L(94-99)  0  1 2400   8  20   2   4   6  16   8   9   0   0   1   3   1   1  3  3  6   3  1  3  30   2   5  -5  94  99   37   14   1   0   0   3  A
   Jc3    1   RS @RAY   L(94-99)  0  1 2400   5  10   5  10   0   0   1   2   1   1   5   9   0   1  2 12 14   0  2  1  11  11   2  -5  94  99   11    0   1   1   1   0  A
   De4    1   RS @RAY   L(94-99)  0  1 1707   4  14   2   7   2   7   0   0   1   1   2   6   0   1  2  6  8   1  3  0  10   4   2  -8  64  72   15    1   2   1   0   0  A
   Ff2    1   RS @RAY   L(94-99)  0  0  386   1   5   0   2   1   3   2   3   0   0   0   0   0   2  0  0  0   1  0  1   5   0   0  -1  19  20    7    1   0   0   0   1  A
   Gj1    1   RS @RAY   L(94-99)  0  1 2400   5  10   3   4   2   6   2   3   1   1   1   1   2   3  3  6  9   9  1  1  14   2   2  -5  94  99   38   27   0   1   0   1  A
  Ga11    1   RS @RAY   L(94-99)  0  1 1822   8  17   8  17   0   0   2   6   0   0   4   5   4  12  4  6 10   4  3  3  18  10   1  -3  76  79   27    7   3   0   3   0  A
   Jc7    1   RS @RAY   L(94-99)  0  0  513   2   3   2   3   0   0   0   0   0   0   2   2   0   1  0  2  2   1  0  0   4   4   0  -1  15  16    4    1   0   0   0   0  A
   Da1    1   RS @RAY   L(94-99)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  S
   Ej4    1   RS @RAY   L(94-99)  0  0  372   0   1   0   0   0   1   2   3   0   0   0   0   0   0  0  0  0   1  0  1   2   0   0   3  14  11    6    4   0   0   0   1  A
   Hb1    1   RS @RAY   L(94-99)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
