Player Game Type Opp.     Result OT St Time FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DR TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ie9    3   RS @WIL  L(79-108)  0  1 2054   8  12   6   9   2   3   2   3   0   0   4   6   2   3  0  7  7   0  0  1  20   8   0 -28  70  98   16    3   0   0   0   1  A
   He5    3   RS @WIL  L(79-108)  0  0  346   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  1  1   0  0  0   0   0   0  -1   9  10    1    0   0   0   0   0  A
   Hi3    3   RS @WIL  L(79-108)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  S
   Ga5    3   RS @WIL  L(79-108)  0  1  810   4   6   4   6   0   0   0   0   0   0   4   5   0   1  0  4  4   0  3  0   8   8   0 -13  30  43    6    0   3   0   0   0  A
   Fa7    3   RS @WIL  L(79-108)  0  0  760   3   8   3   8   0   0   1   2   0   0   1   5   2   3  1  3  4   1  1  1   7   3   4  -5  25  30   10    1   0   1   1   0  A
   Ih4    3   RS @WIL  L(79-108)  0  0  982   2   7   0   3   2   4   2   2   0   0   0   1   0   2  3  2  5   1  0  1   8   2   0  -4  35  39   10    2   0   0   1   0  A
   Dg3    3   RS @WIL  L(79-108)  0  1  814   1   9   0   4   1   5   0   0   0   0   0   1   0   3  1  1  2   3  2  0   3   0   0 -17  26  43   14    5   0   2   0   0  A
   Jc4    3   RS @WIL  L(79-108)  0  0  287   2   3   2   3   0   0   0   0   0   0   2   2   0   1  0  1  1   0  0  0   4   4   0   1   9   8    3    0   0   0   0   0  A
   Ec2    3   RS @WIL  L(79-108)  0  0 1525   5  10   5  10   0   0   2   6   0   2   3   8   2   2  2  2  4   0  2  3  12   8   0 -16  50  66   13    0   0   2   3   0  A
   Jg1    3   RS @WIL  L(79-108)  0  0  950   2   6   2   3   0   3   0   0   0   0   2   2   0   1  0  2  2   1  1  0   4   4   0  -9  27  36    7    1   1   0   0   0  A
   Ej5    3   RS @WIL  L(79-108)  0  1 2054   4  13   3   9   1   4   0   0   2   2   3   6   0   3  2  4  6  19  2  0   9   6   4 -28  70  98   49   36   1   1   0   0  A
   Ia2    3   RS @WIL  L(79-108)  0  1 1418   2   8   2   8   0   0   0   0   0   0   2   7   0   1  0  3  3   0  1  0   4   4   0 -25  44  69    9    1   1   0   0   0  A
