Player Game Type Opp.     Result OT St Time FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DR TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Dj3    1   RS vKEN   W(99-94)  0  1 2400   6  13   0   4   6   9   2   2   0   0   0   0   0   4  0  4  4  13  1  1  20   0   0   5  99  94   43   29   0   1   0   1  A
   Ge7    1   RS vKEN   W(99-94)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ig2    1   RS vKEN   W(99-94)  0  0  612   3   9   3   6   0   3   0   0   0   0   2   4   1   2  1  0  1   0  0  0   6   4   0   5  25  20   11    2   0   0   0   0  A
   Ja6    1   RS vKEN   W(99-94)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  S
   Fa3    1   RS vKEN   W(99-94)  0  1 1752   6  12   6  12   0   0   3   6   1   2   5   7   1   5  4  5  9   0  2  3  15  13   4   2  70  68   15    0   1   1   3   0  A
   Hf2    1   RS vKEN   W(99-94)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Jj3    1   RS vKEN   W(99-94)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Fd1    1   RS vKEN   W(99-94)  0  1 2400   5  14   4   9   1   5   4   5   0   0   3   5   1   4  2  7  9   1  1  2  15   8   0   5  99  94   18    2   0   1   1   1  A
   Ce3    1   RS vKEN   W(99-94)  0  0  600   1   5   0   3   1   2   0   0   0   0   0   2   0   1  2  4  6   0  1  0   3   0   0   2  25  23    6    1   1   0   0   0  A
   Gc7    1   RS vKEN   W(99-94)  0  1 2314   9  12   8  11   1   1   7   8   1   1   5   7   3   4  2 10 12   0  2  4  26  15  10   7  99  92   18    2   2   0   3   1  A
   Cg1    1   RS vKEN   W(99-94)  0  1 1788   5  15   1   5   4  10   0   0   0   0   1   3   0   2  1  6  7   4  3  0  14   2   0   0  74  74   26   11   0   3   0   0  A
   Ea6    1   RS vKEN   W(99-94)  0  0  134   0   1   0   1   0   0   0   0   0   0   0   0   0   1  2  1  3   0  0  0   0   0   0  -1   4   5    1    0   0   0   0   0  A
