Player Game Type Opp.     Result OT St Time FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DR TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ba4    3   RS vQUE  W(108-79)  0  1 2400   8  14   8  14   0   0   0   0   1   1   6   8   2   6  3 12 15   1  1  0  16  12   2  29 108  79   15    1   1   0   0   0  A
   Gi3    3   RS vQUE  W(108-79)  0  1 1800   6  10   6   8   0   2   5   5   0   0   2   3   4   5  0  3  3   9  0  2  17   4   2  23  84  61   32   20   0   0   0   2  A
   He2    3   RS vQUE  W(108-79)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  S
   Hc5    3   RS vQUE  W(108-79)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Hf1    3   RS vQUE  W(108-79)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ee3    3   RS vQUE  W(108-79)  0  1 1590   6  11   5   8   1   3   6   7   0   0   4   7   1   1  1  7  8   5  2  3  19  11   0  24  74  50   23    9   1   1   2   1  A
   Jh6    3   RS vQUE  W(108-79)  0  0  359   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   1  0  0   0   0   0   1  10   9    3    3   0   0   0   0  A
   Ei5    3   RS vQUE  W(108-79)  0  1 2041   7  13   6   8   1   5   5   5   0   0   1   3   5   5  3  6  9   7  0  2  20   4   0  28  98  70   24    9   0   0   1   1  A
   Ea2    3   RS vQUE  W(108-79)  0  1 2400   7  17   7  16   0   1   4   4   1   1   4   9   3   7  2 11 13   1  0  2  18  12   4  29 108  79   23    4   0   0   2   0  A
   Fj6    3   RS vQUE  W(108-79)  0  0  600   3   6   2   4   1   2   3   4   0   0   2   3   0   1  0  1  1   3  1  2  10   4   0   6  24  18   16    8   1   0   0   2  A
   Jg6    3   RS vQUE  W(108-79)  0  0  810   3   7   3   6   0   1   2   2   0   0   1   3   2   3  0  2  2   1  2  1   8   4   0   5  34  29   10    2   2   0   1   0  A
   Ic4    3   RS vQUE  W(108-79)  0  0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  S
