Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
  3.1 SF1  28    8  RAY  35.0  40.0  25.0  70.0 100.0  72.0  11.0  82.0  26.0  53.0  65.0  52.0   52.0  54.0  41.0  44.0    0 Y11-D5-FA
  3.1 SF1  28    8   FA  35.0  40.0  25.0  70.0 100.0  72.0  11.0  82.0  26.0  53.0  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D24-RSG7
  3.1 SF1  28    8   FA  35.0  40.0  25.0  70.0  96.3  72.0  11.0  82.0  26.0  53.0  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D27-RSG10
  3.1 SF1  28    8   FA  33.5  40.9  25.6  70.0  96.3  72.0  11.0  82.0  26.0  53.0  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D29-RSG12
  3.1 SF1  28    8   FA  33.5  40.9  25.6  70.0  96.3  72.0  11.0  82.0  26.0  53.8  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D44-RSG27
  3.1 SF1  28    8   FA  33.7  40.5  25.8  70.0  96.3  72.0  11.0  82.0  26.0  53.8  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D45-RSG28
  3.1 SF1  28    8   FA  33.7  40.5  25.8  70.0  96.3  72.0  11.0  83.0  26.0  53.8  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D55-RSG38
  3.1 SF1  28    8   FA  32.7  41.1  26.2  70.0  96.3  72.0  11.0  83.0  26.0  53.8  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D62-RSG45
  3.1 SF1  28    8   FA  32.7  41.1  26.2  70.0  96.3  72.0  11.0  83.0  25.5  53.8  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D63-RSG46
  3.1 SF1  28    8   FA  32.7  41.1  26.2  70.0  97.7  72.0  11.0  83.0  25.5  53.8  65.0  52.0   48.5  54.0  41.0  44.0    0 Y11-D64-RSG47
  3.1 SF1  28    8   FA  32.7  41.1  26.2  70.0  97.7  72.0  11.0  83.0  25.5  53.8  65.0  52.0   48.5  55.3  41.0  44.0    0 Y11-D73-RSG56
  3.1 SF1  28    8   FA  32.4  41.6  26.0  70.0  97.7  72.0  11.0  83.0  25.5  53.8  65.0  52.0   48.5  55.3  41.0  44.0    0 Y11-D77-RSG60
  3.1 SF1  28    8   FA  33.0  41.2  25.8  70.0  97.7  72.0  11.0  83.0  25.5  53.8  65.0  52.0   45.7  55.3  41.0  44.0    0 Y11-D83-RSG66
  3.1 SF1  28    8   FA  33.0  41.2  25.8  67.5  97.7  73.0  11.0  83.0  25.5  53.8  65.0  52.0   45.7  55.3  41.0  44.0    0 Y11-D84-RSG67
  3.1 SF1  28    8   FA  33.0  41.2  25.8  67.5  97.7  73.0  11.0  83.0  25.5  53.8  65.0  52.0   42.5  55.3  41.0  44.0    0 Y11-D87-RSG70
  3.1 SF1  28    8   FA  33.0  41.2  25.8  67.5  97.7  73.0  11.0  83.0  25.5  53.8  65.0  52.0   42.5  55.3  39.0  44.0    0 Y11-D90-RSG73
  3.1 SF1  28    8   FA  33.0  41.2  25.8  67.5  97.7  73.0  11.0  84.0  25.5  53.8  65.0  52.0   42.5  55.3  39.0  44.0    0 Y11-D97-RSG80
