Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   74.0  78.0   1.0  63.0   11 Y11-D20-RSG3
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   74.0  78.0   1.0  63.0   11 Y11-D21-RSG4
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   74.0  78.0   1.0  63.0   10 Y11-D22-RSG5
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   74.0  78.0   1.0  63.0    9 Y11-D23-RSG6
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   74.0  78.0   1.0  63.0    7 Y11-D24-RSG7
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   73.0  78.0   1.0  63.0    6 Y11-D25-RSG8
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   73.0  78.0   1.0  63.0    5 Y11-D26-RSG9
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   73.0  78.0   1.0  63.0    3 Y11-D27-RSG10
  6.8  C1  25    5  QUE  61.0  38.0   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   73.0  78.0   1.0  63.0    2 Y11-D28-RSG11
  6.8  C1  25    5  QUE  61.6  37.4   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   73.0  78.0   1.0  63.0    1 Y11-D29-RSG12
  6.8  C1  25    5  QUE  61.6  37.4   1.0 102.0  76.0  47.0  40.0 100.0  19.0  15.0  48.0  93.0   73.0  78.0   1.0  63.0    0 Y11-D30-RSG13
  6.8  C1  25    5  QUE  61.3  37.7   1.0 102.0  74.5  47.0  40.0 100.0  19.0  15.0  48.0  93.0   73.0  79.7   1.0  63.0    0 Y11-D32-RSG15
  6.8  C1  25    5  QUE  61.3  37.7   1.0 102.0  71.7  47.0  40.0 100.0  19.0  15.0  48.0  93.0   73.0  79.7   1.0  63.0    0 Y11-D36-RSG19
  6.8  C1  25    5  QUE  61.3  37.7   1.0 102.0  71.7  47.0  40.0 100.0  19.0  15.0  48.0  93.0   72.0  79.7   1.0  63.0    0 Y11-D41-RSG24
  6.8  C1  25    5  QUE  61.3  37.7   1.0 102.0  71.7  47.0  40.0 101.1  19.0  15.0  48.0  93.0   72.0  79.7   1.0  63.0    0 Y11-D42-RSG25
  6.8  C1  25    5  QUE  61.3  37.7   1.0 102.0  71.7  47.0  38.4 101.1  20.0  15.9  48.0  94.0   72.0  79.7   1.0  63.0    0 Y11-D43-RSG26
  6.8  C1  25    5  QUE  61.3  37.7   1.0 102.0  71.7  48.3  38.4 101.1  20.0  15.9  48.0  94.0   72.0  79.7   1.0  63.0    0 Y11-D48-RSG31
  6.8  C1  25    5  QUE  61.1  37.6   1.3 102.0  71.7  48.3  39.4 101.1  20.0  15.9  48.0  94.0   73.0  79.7   1.0  63.0    0 Y11-D56-RSG39
  6.8  C1  25    5  QUE  62.0  36.7   1.3 102.0  71.7  48.3  39.4 101.1  20.0  15.9  48.0  94.0   73.0  79.7   1.0  63.0    0 Y11-D58-RSG41
  6.8  C1  25    5  QUE  62.0  36.7   1.3 102.0  69.6  48.3  39.4 101.1  20.0  15.9  48.0  94.0   73.0  77.0   1.0  63.0    0 Y11-D60-RSG43
  6.8  C1  25    5  QUE  62.0  36.7   1.3 102.0  67.6  48.3  39.4 101.1  20.0  15.9  48.0  94.0   73.0  77.0   1.0  63.0    0 Y11-D64-RSG47
  6.8  C1  25    5  QUE  62.0  36.7   1.3 102.0  67.6  48.3  39.4  99.1  20.0  15.9  48.0  94.0   73.0  77.0   1.0  63.0    0 Y11-D67-RSG50
  6.8  C1  25    5  QUE  62.0  36.7   1.3 102.0  67.6  48.3  39.4  99.1  20.0  15.9  46.4  94.0   73.0  77.0   1.0  63.0    0 Y11-D68-RSG51
  6.8  C1  25    5  QUE  62.0  36.7   1.3 102.0  67.6  48.3  39.4  99.1  20.0  15.9  46.4  94.0   73.0  77.0   1.0  63.0    0 Y11-D75-RSG58
  6.8  C1  25    5  QUE  62.8  35.9   1.3 102.0  67.6  48.3  39.4  99.1  20.0  15.9  46.4  94.0   73.0  77.0   1.0  63.0    0 Y11-D78-RSG61
  6.8  C1  25    5  QUE  62.8  35.9   1.3 102.0  64.9  48.3  39.4  99.1  20.0  15.9  46.4  94.0   73.0  77.0   1.0  63.0    0 Y11-D80-RSG63
  6.8  C1  25    5  QUE  62.8  35.9   1.3 101.0  64.9  48.3  39.4  99.1  20.0  15.9  46.4  94.0   73.0  77.0   1.0  63.0    0 Y11-D84-RSG67
  6.8  C1  25    5  QUE  62.8  35.9   1.3 101.0  64.9  48.3  39.4  99.1  20.0  16.4  46.4  94.0   73.0  78.9   1.0  63.0    0 Y11-D91-RSG74
  6.8  C1  25    5  QUE  62.3  36.4   1.3 101.0  64.9  48.3  39.4  99.1  20.0  16.4  47.5  94.0   73.0  78.9   1.0  63.0    0 Y11-D93-RSG76
  6.8  C1  25    5  QUE  62.5  36.5   1.0 101.0  64.9  48.3  39.4  99.1  20.0  16.4  47.5  94.0   74.0  78.9   1.0  63.0    0 Y11-D95-RSG78
  6.8  C1  25    5  QUE  63.0  36.0   1.0 101.0  64.9  48.3  39.4  99.1  20.0  16.4  48.5  94.0   73.0  78.9   1.0  63.0    0 Y11-D96-RSG79
