Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  CRO    1   RS @CRO  L(97-105)  0  1  1577   7  14   4   9   3   5   0   2   0   0   2   5   2   4  0  1  1   2  3  1  17   4   0  -4  68  72   18    3   0   3   1   0  A
  11  WIL    3   RS @WIL   L(74-93)  0  1   506   2   2   2   2   0   0   0   0   0   0   1   1   1   1  1  1  2   1  2  0   4   2   2 -10  16  26    7    5   1   1   0   0  A
  11  CRO    5   RS vCRO   W(94-70)  0  1  1800   3   8   2   6   1   2   7   9   0   0   0   3   2   3  1  3  4   3  2  3  14   0   0  28  80  52   19    8   1   1   0   3  A
  11  QUE    7   RS @QUE  L(96-102)  0  1  1574   6  14   4   8   2   6   3   5   0   0   2   5   2   3  0  2  2   6  2  2  17   4   2  -8  63  71   26   10   1   1   0   2  A
  11  WIL   13   RS vWIL  W(111-99)  0  1  1602   3  11   1   6   2   5   2   2   0   0   1   4   0   2  1  1  2   3  2  1  10   2   2  11  77  66   18    6   0   2   0   1  A
  11  CRO   17   RS @CRO W(105-100)  0  1  2400   6  16   4   9   2   7   6   9   0   0   2   6   2   3  1  6  7   8  2  4  20   4   3   5 105 100   34   14   1   1   0   4  A
  11  WIL   19   RS @WIL W(108-107)  0  1  1953   7  15   5   8   2   7  10  11   1   1   2   3   3   5  1  1  2   2  3  5  26   6   2   8  97  89   26    6   1   2   1   4  A
  11  QUE   21   RS vQUE  L(97-106)  0  1  2025   6  18   3  10   3   8   8   8   1   1   1   3   2   7  2  2  4   5  1  4  23   4   9  -7  88  95   32   10   0   1   1   3  A
  11  LAT   29   RS vLAT  W(109-87)  0  1  1080   0   9   0   4   0   5   2   3   0   1   0   2   0   2  1  2  3   1  0  1   2   0   0   1  42  41   15    5   0   0   0   1  A
  11  HAR   30   RS @HAR   L(77-91)  0  1  1558   1   8   0   4   1   4   0   0   0   1   0   3   0   1  2  3  5   2  2  0   3   0   0 -12  47  59   12    4   0   2   0   0  A
  11  LAT   34   RS @LAT W(102-100)  0  1  1834   5  13   4  10   1   3   5   7   0   0   2   5   2   5  0  4  4   5  2  3  16   4   2   0  84  84   24    8   1   1   0   3  A
  11  RAY   37   RS vRAY  L(86-111)  0  1  1553   5  14   3   6   2   8   0   0   0   0   3   4   0   2  1  4  5   2  1  0  12   6   0 -10  63  73   18    4   1   0   0   0  A
  11  KEN   40   RS @KEN   L(84-92)  0  1  1218   2  11   1   7   1   4   1   2   0   0   0   3   1   4  0  3  3   1  0  1   6   1   0 -15  29  44   15    3   0   0   1   0  A
  11  WIL   45   RS vWIL   L(81-82)  0  1  1571   5  19   4   9   1  10   0   0   0   0   1   5   3   4  1  5  6   1  2  0  11   2   0   6  55  49   21    2   1   1   0   0  A
  11  QUE   47   RS @QUE   W(94-86)  0  1  2400   6  16   2   7   4   9   1   2   0   0   1   3   1   4  0  6  6   4  1  1  17   2   3   8  94  86   31   14   1   0   0   1  A
  11  QUE   53   RS vQUE  L(86-101)  0  1  1800   1   9   0   2   1   7   0   0   0   0   0   2   0   0  0  4  4   5  1  0   3   0   0  -9  67  76   19   10   0   1   0   0  A
  11  QUE   61   RS vQUE   W(99-83)  0  1  1869   7  15   4   8   3   7   2   2   1   1   3   3   1   5  1  8  9   4  2  1  19   8   2  13  76  63   22    6   1   1   1   0  A
  11  RAY   69   RS vRAY  W(106-75)  0  1  1668   5   9   3   4   2   5   2   2   0   0   2   3   1   1  2  5  7   1  2  1  14   6   6  26  71  45   15    5   1   1   1   0  A
  11  LAT   77   RS vLAT  L(91-100)  0  1  1727   6  16   5   9   1   7   5   5   0   0   3   5   2   4  0  3  3   4  4  2  18   6   0  -3  68  71   27    9   1   3   0   2  A
  11  HAR   78   RS @HAR  L(78-105)  0  1  2168   8  18   5  13   3   5   3   6   0   1   0   4   5   9  2  7  9   3  2  2  22   0   2 -20  74  94   28    8   1   1   0   2  A
