Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    6   RS vLAT   W(96-65)  0  1  1800   6  11   6  11   0   0   2   2   0   0   4   6   2   5  2 10 12   0  0  1  14  10   2  29  77  48   12    0   0   0   1   0  A
  11  LAT   10   RS @LAT   W(90-86)  0  1  1200   3  10   3  10   0   0   0   0   0   0   2   7   1   3  2  4  6   0  0  0   6   4   2   4  45  41   10    0   0   0   0   0  A
  11  RAY   14   RS vRAY   L(78-91)  0  1  1800   2  10   2  10   0   0   0   0   1   2   2   6   0   4  3  8 11   0  1  0   4   4   2  -1  61  62   10    0   0   1   0   0  A
  11  KEN   16   RS @KEN  L(85-101)  0  1  2078   5   9   5   9   0   0   2   2   1   2   3   5   2   4  4  6 10   0  1  1  12   8   2 -21  71  92   10    0   1   0   1   0  A
  11  LAT   18   RS @LAT   L(88-91)  0  1  1059   1   3   1   3   0   0   0   0   0   0   0   2   1   1  1  3  4   0  3  0   2   0   0 -10  37  47    3    0   3   0   0   0  A
  11  RAY   20   RS @RAY L(105-112)  1  1  2700  10  17  10  16   0   1   3   4   3   3   8  10   2   6  7  6 13   0  2  2  23  19  11  -7 105 112   19    0   1   1   2   0  A
  11  KEN   22   RS vKEN   W(99-92)  0  1  2400   9  14   9  14   0   0   4   6   0   0   7   9   2   5  5  9 14   0  3  3  22  15   2   7  99  92   18    1   0   3   1   2  A
  11  CRO   25   RS @CRO  W(101-92)  0  1  2400   5   9   5   9   0   0   7  10   1   1   4   6   1   3  5  8 13   0  1  5  17  13   5   9 101  92   14    0   1   0   4   1  A
  11  BRE   30   RS vBRE   W(91-77)  0  1  2162   3   7   3   7   0   0   2   4   0   0   2   5   1   2  5 16 21   0  1  2   8   5   0  18  82  64    9    0   0   1   1   1  A
  11  QUE   31   RS @QUE   W(96-90)  0  1  2400   9  17   9  17   0   0   0   0   2   2   7  13   2   4  4 12 16   0  1  0  18  14   4   6  96  90   17    0   1   0   0   0  A
  11  QUE   38   RS vQUE  W(105-83)  0  1  1997   8  15   8  15   0   0   1   2   0   0   4   6   4   9  3 12 15   0  2  1  17   9   0  22  91  69   16    0   1   1   1   0  A
  11  RAY   44   RS @RAY  L(94-109)  0  1  1558   5   7   5   7   0   0   3   4   0   0   4   5   1   2  0  6  6   0  3  2  13  11   0 -18  61  79    9    0   3   0   2   0  A
  11  LAT   46   RS vLAT  L(92-100)  0  1   996   2   9   2   9   0   0   0   0   0   1   1   5   1   4  2  5  7   0  1  0   4   2   0  -5  29  34    9    0   1   0   0   0  A
  11  KEN   48   RS @KEN  L(95-114)  0  1  1996   7  14   7  14   0   0   4   6   2   3   7  10   0   4  9  7 16   0  1  3  18  18  11 -25  72  97   17    0   0   1   3   0  A
  11  RAY   54   RS vRAY  W(100-82)  0  1  2269   6  11   6  11   0   0   5   8   0   0   6   8   0   3  4 11 15   0  1  4  17  17   3  20  98  78   15    0   1   0   4   0  A
  11  LAT   58   RS @LAT   W(90-83)  0  1  2400   6  10   6  10   0   0   2   2   0   0   5   7   1   3  3 10 13   0  2  1  14  12   0   7  90  83   11    0   2   0   1   0  A
  11  RAY   60   RS @RAY  L(95-102)  0  1  2400   7  14   7  14   0   0   0   0   1   4   7  13   0   1  5  9 14   0  1  0  14  14   2  -7  95 102   14    0   0   1   0   0  A
  11  KEN   62   RS vKEN   W(90-77)  0  1  2400   8  16   8  16   0   0   2   4   2   2   8  15   0   1  8 12 20   0  0  2  18  18   7  13  90  77   18    0   0   0   2   0  A
  11  WIL   67   RS @WIL  W(102-87)  0  1  2164   9  11   9  11   0   0   5   6   0   0   5   5   4   6  4  9 13   0  1  3  23  15   6  15  90  75   14    0   0   1   3   0  A
  11  CRO   70   RS vCRO   W(97-73)  0  1  1800   8   8   8   8   0   0   6   8   1   1   7   7   1   1  4  7 11   0  1  4  22  20   6  33  77  44   12    0   1   0   4   0  A
  11  QUE   71   RS @QUE  L(98-105)  1  1  2676   3  11   3  10   0   1   3   4   0   1   3   5   0   5  3 12 15   0  4  2   9   9   0  -5  98 103   13    0   1   3   2   0  A
  11  BRE   78   RS vBRE  W(105-78)  0  1  2168   3  12   3  12   0   0   6   8   1   3   3   8   0   4  4 12 16   0  0  4  12   9   3  20  94  74   18    2   0   0   2   2  A
