Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    6   RS vLAT   W(96-65)  0  1  1509   7  13   5   9   2   4   1   4   0   1   4   7   1   2  2  3  5   1  0  2  17   9   0  27  68  41   17    2   0   0   2   0  A
  11  LAT   10   RS @LAT   W(90-86)  0  1  2324  12  26   9  17   3   9   2   2   4   4   7  13   2   4  6  5 11   2  2  1  29  16   8   5  86  81   33    6   1   1   1   0  A
  11  RAY   14   RS vRAY   L(78-91)  0  1  1673   7  20   6  10   1  10   3   4   0   0   4   7   2   3  2  4  6   1  2  2  18   9   0 -14  49  63   26    4   2   0   1   1  A
  11  KEN   16   RS @KEN  L(85-101)  0  1  1200   5  18   3  10   2   8   4   4   0   0   3   6   0   4  1  0  1   0  1  2  16  10   0  -5  44  49   22    2   0   1   2   0  A
  11  LAT   18   RS @LAT   L(88-91)  0  1  1176   2   9   2   6   0   3   0   0   1   1   2   5   0   1  2  5  7   0  0  0   4   4   2   0  41  41    9    0   0   0   0   0  A
  11  RAY   20   RS @RAY L(105-112)  1  0  1576   5  14   3   9   2   5   7   8   0   0   1   7   2   2  1  7  8   0  0  4  19   6   1   1  64  63   19    1   0   0   2   2  A
  11  KEN   22   RS vKEN   W(99-92)  0  0   476   3   4   3   3   0   1   0   0   0   0   3   3   0   0  1  0  1   1  0  0   6   6   0  -8  14  22    7    3   0   0   0   0  A
  11  CRO   25   RS @CRO  W(101-92)  0  0  1223   5  11   2   6   3   5   8   8   0   0   1   5   1   1  1  6  7   0  3  3  21   2   2   5  53  48   14    0   2   1   0   3  A
  11  BRE   30   RS vBRE   W(91-77)  0  0  1562  10  19   7  11   3   8   5   5   0   0   5   8   2   3  0  5  5   0  1  2  28  10   3  14  62  48   22    1   1   0   0   2  A
  11  QUE   31   RS @QUE   W(96-90)  0  0   975   4   7   2   3   2   4   0   0   0   0   1   2   1   1  0  3  3   0  0  0  10   2   0   1  35  34    7    0   0   0   0   0  A
  11  QUE   38   RS vQUE  W(105-83)  0  0   403   2   3   1   1   1   2   3   3   0   0   1   1   0   0  1  2  3   0  0  1   8   2   0   0  14  14    4    0   0   0   0   1  A
  11  RAY   44   RS @RAY  L(94-109)  0  0   712   2   9   1   7   1   2   0   0   0   0   1   5   0   2  0  0  0   1  0  0   5   2   0  -5  23  28   11    2   0   0   0   0  A
  11  LAT   46   RS vLAT  L(92-100)  0  0   591   3   8   2   4   1   4   0   0   0   0   1   2   1   2  0  2  2   1  0  0   7   2   0 -14  16  30    9    1   0   0   0   0  A
  11  KEN   48   RS @KEN  L(95-114)  0  0   885   4  14   2   8   2   6   2   2   0   0   2   4   0   4  0  1  1   1  0  1  12   4   0 -13  32  45   17    2   0   0   0   1  A
  11  RAY   54   RS vRAY  W(100-82)  0  0  1021   5   9   3   3   2   6   3   3   0   0   3   3   0   0  0  2  2   1  2  1  15   6   0  13  41  28   14    4   2   0   0   1  A
  11  LAT   58   RS @LAT   W(90-83)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   60   RS @RAY  L(95-102)  0  0  1251   9  17   7  10   2   7   3   3   0   0   5   7   2   3  2  2  4   1  3  1  23  10   2  -6  52  58   20    2   0   3   0   1  A
  11  KEN   62   RS vKEN   W(90-77)  0  0   740   4   8   3   6   1   2   2   2   0   0   3   6   0   0  1  3  4   0  1  1  11   8   0  -6  30  36   10    1   0   1   1   0  A
  11  WIL   67   RS @WIL  W(102-87)  0  0  1200   7  14   7  12   0   2   2   3   0   0   7  10   0   2  1  1  2   2  1  1  16  14   0   3  54  51   17    2   1   0   0   1  A
  11  CRO   70   RS vCRO   W(97-73)  0  0   763   6  10   5   7   1   3   0   0   1   1   5   6   0   1  1  6  7   0  0  0  13  10   4  11  31  20   10    0   0   0   0   0  A
  11  QUE   71   RS @QUE  L(98-105)  1  0   832   2  10   2   4   0   6   3   3   0   0   2   4   0   0  0  0  0   2  0  1   7   4   0  -5  29  34   13    2   0   0   0   1  A
  11  BRE   78   RS vBRE  W(105-78)  0  0  1753  13  22   9  12   4  10   4   4   0   1   6   8   3   4  3  6  9   0  1  2  34  14   2  31  85  54   27    3   1   0   1   1  A
