Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    8   RS vRAY   L(79-99)  0  0   600   0   5   0   3   0   2   0   0   0   0   0   1   0   2  0  1  1   1  0  0   0   0   0  -7  16  23    7    2   0   0   0   0  A
  11  HAR   16   RS vHAR  W(101-85)  0  0   322   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   0  -5   9  14    2    1   0   0   0   0  A
  11  HAR   22   RS @HAR   L(92-99)  0  0  1033   2   7   2   5   0   2   0   0   1   2   2   5   0   0  4  2  6   6  2  0   4   4   2   2  47  45   16    9   1   1   0   0  A
  11  RAY   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   27   RS @WIL  L(79-113)  0  0   779   1   5   1   4   0   1   0   0   0   0   1   3   0   1  0  3  3   4  1  0   2   2   0  -7  27  34   17   12   1   0   0   0  A
  11  WIL   32   RS vWIL  L(91-108)  0  0   600   1   5   1   2   0   3   0   0   0   0   0   1   1   1  2  0  2   1  0  0   2   0   0  -1  24  25    8    3   0   0   0   0  A
  11  QUE   39   RS @QUE   L(88-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   40   RS vBRE   W(92-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT   42   RS @LAT   W(98-75)  0  0   244   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   2  10   8    0    0   0   0   0   0  A
  11  HAR   48   RS vHAR  W(114-95)  0  0   404   4   5   1   1   3   4   2   2   0   0   1   1   0   0  0  0  0   0  0  1  13   2   0  -6  17  23    7    1   0   0   0   1  A
  11  LAT   50   RS @LAT  W(101-93)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT   56   RS vLAT  W(103-72)  0  0   449   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  1  1   2  0  0   0   0   0   4  19  15    6    5   0   0   0   0  A
  11  HAR   62   RS @HAR   L(77-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT   64   RS vLAT   W(75-67)  0  0   102   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   1   3   2    1    1   0   0   0   0  A
  11  CRO   65   RS @CRO  W(112-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   72   RS vQUE W(108-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   75   RS @WIL   W(87-81)  0  0   463   2   2   2   2   0   0   0   0   0   0   0   0   2   2  0  1  1   0  1  0   4   0   0  -1  14  15    4    2   0   1   0   0  A
  11  CRO   80   RS vCRO   W(95-79)  0  0   221   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   0  0  0   0   0   0  -1   4   5    2    1   0   0   0   0  A
