Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    3   RS vBRE   W(93-74)  0  1  2148   5  14   4  11   1   3   4   4   0   0   2   7   2   4  0  8  8   4  2  2  15   8   2  18  85  67   24    8   1   1   2   0  A
  11  CRO   11   RS vCRO  W(110-95)  0  1  1463   4   9   4   8   0   1   0   0   0   0   1   4   3   4  0  6  6   3  1  0   8   2   2   3  63  60   14    5   1   0   0   0  A
  11  BRE   13   RS @BRE  L(99-111)  0  1  2400  14  24  14  24   0   0   2   2   1   2   9  14   5  10  3  4  7   5  1  1  30  20  10 -12  99 111   35   10   0   1   1   0  A
  11  QUE   15   RS @QUE  W(101-89)  0  0   600   2   7   1   6   1   1   0   0   0   0   0   3   1   3  1  1  2   0  0  0   5   0   0  -5  20  25    9    2   0   0   0   0  A
  11  BRE   19   RS vBRE L(107-108)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   27   RS vKEN  W(113-79)  0  0   579   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   1  1  0   0   0   0  -4  22  26    3    3   0   1   0   0  A
  11  KEN   32   RS @KEN  W(108-91)  0  0   765   2   3   1   1   1   2   0   0   0   0   0   0   1   1  1  3  4   2  1  0   5   0   0   2  30  28    6    3   0   1   0   0  A
  11  RAY   35   RS vRAY   W(95-70)  0  0   600   0   4   0   2   0   2   0   0   0   0   0   0   0   2  0  2  2   1  0  0   0   0   0  -2  18  20    6    2   0   0   0   0  A
  11  RAY   36   RS @RAY  L(94-111)  0  0   600   1   4   1   3   0   1   3   5   0   0   0   0   1   3  1  3  4   0  0  2   5   0   0  -8  23  31    7    1   0   0   0   2  A
  11  CRO   41   RS @CRO   L(74-77)  0  1  1623   7  13   7  10   0   3   0   0   1   1   5   5   2   5  3  4  7   3  3  0  14  10   2  -6  50  56   21    8   3   0   0   0  A
  11  CRO   43   RS vCRO L(101-111)  0  1  2400   9  17   9  16   0   1   1   2   1   1   6  10   3   6  2  9 11   2  3  1  19  13   4 -10 101 111   23    5   1   2   1   0  A
  11  BRE   45   RS @BRE   W(82-81)  0  1  2400   8  15   6  13   2   2   4   4   0   0   2   7   4   6  2  6  8   4  3  2  22   8   0   1  82  81   25    8   2   1   2   0  A
  11  CRO   49   RS @CRO   L(84-85)  0  1  2400   6  14   5  11   1   3   0   0   0   0   4   7   1   4  2  4  6   1  0  0  13   8   0  -1  84  85   20    6   0   0   0   0  A
  11  QUE   51   RS vQUE  L(89-107)  0  0   559   2   7   1   6   1   1   0   0   1   1   1   3   0   3  1  1  2   0  0  0   5   2   2  -8  13  21    7    0   0   0   0   0  A
  11  CRO   59   RS vCRO   L(88-99)  0  0   600   0   4   0   4   0   0   0   0   0   1   0   1   0   3  1  1  2   3  1  0   0   0   0  -4  27  31    8    4   0   1   0   0  A
  11  QUE   63   RS @QUE   L(81-99)  0  0   600   0   2   0   2   0   0   1   2   0   0   0   0   0   2  0  1  1   0  1  1   1   1   0 -11  18  29    7    4   0   1   1   0  A
  11  LAT   66   RS @LAT  W(104-90)  0  0   240   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   0  -9   6  15    1    0   0   0   0   0  A
  11  HAR   67   RS vHAR  L(87-102)  0  0  1844   8  11   7  10   1   1   2   2   0   0   3   5   4   5  1  3  4   0  2  1  19   8   0  -3  70  73   16    4   0   2   1   0  A
  11  KEN   75   RS vKEN   L(81-87)  0  0  1167   2   6   2   6   0   0   5   6   0   0   1   2   1   4  2  4  6   1  1  3   9   4   2   2  41  39   11    2   1   0   1   2  A
