Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  CRO    1   RS @CRO  L(97-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL    3   RS @WIL   L(74-93)  0  0   252   0   2   0   2   0   0   0   0   0   0   0   2   0   0  0  1  1   0  0  0   0   0   0  -1   7   8    2    0   0   0   0   0  A
  11  CRO    5   RS vCRO   W(94-70)  0  0   600   1   5   0   3   1   2   2   2   0   0   0   1   0   2  0  2  2   1  1  1   5   0   0  -4  14  18    7    1   1   0   0   1  A
  11  QUE    7   RS @QUE  L(96-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   13   RS vWIL  W(111-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   17   RS @CRO W(105-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   19   RS @WIL W(108-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   21   RS vQUE  L(97-106)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT   29   RS vLAT  W(109-87)  0  0   213   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   0   7  16   9    1    0   0   0   0   0  A
  11  HAR   30   RS @HAR   L(77-91)  0  0   238   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   1  1  0   2   2   0   4  13   9    2    1   0   1   0   0  A
  11  LAT   34   RS @LAT W(102-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   37   RS vRAY  L(86-111)  0  0   247   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  0  0   0  0  0   0   0   0  -7   4  11    1    0   0   0   0   0  A
  11  KEN   40   RS @KEN   L(84-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   45   RS vWIL   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   47   RS @QUE   W(94-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   53   RS vQUE  L(86-101)  0  0   147   2   3   2   3   0   0   0   0   1   1   2   2   0   1  1  0  1   0  0  0   4   4   2   2   8   6    3    0   0   0   0   0  A
  11  QUE   61   RS vQUE   W(99-83)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   69   RS vRAY  W(106-75)  0  0   600   0   3   0   3   0   0   0   0   0   0   0   2   0   1  0  3  3   1  0  0   0   0   0   1  24  23    6    3   0   0   0   0  A
  11  LAT   77   RS vLAT  L(91-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  HAR   78   RS @HAR  L(78-105)  0  0   232   0   2   0   2   0   0   0   0   0   0   0   1   0   1  0  0  0   0  0  0   0   0   0  -7   4  11    2    0   0   0   0   0  A
