Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  0    19   0   0   0   0   0   0   2   2   0   0   0   0   0   0  0  0  0   0  0  1   2   0   2   4   4   0    1    0   0   0   0   1  A
  11  RAY    4   RS @RAY  L(95-114)  0  0   111   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   1  0  0   0   0   0  -2   4   6    3    3   0   0   0   0  A
  11  HAR    6   RS @HAR   L(65-96)  0  0   600   0   3   0   2   0   1   0   0   0   0   0   1   0   1  1  0  1   3  2  0   0   0   0  -2  17  19    7    4   0   2   0   0  A
  11  HAR   10   RS vHAR   L(86-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   12   RS @RAY  W(107-77)  0  0   186   1   1   0   0   1   1   0   0   0   0   0   0   0   0  0  0  0   1  0  0   3   0   0  10  14   4    3    2   0   0   0   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  0    24   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -1   2   3    0    0   0   0   0   0  A
  11  QUE   26   RS vQUE  W(105-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   29   RS @BRE  L(87-109)  0  0   333   0   2   0   2   0   0   0   0   0   0   0   2   0   0  0  0  0   4  0  0   0   0   0  -9  13  22    6    4   0   0   0   0  A
  11  CRO   33   RS @CRO   L(76-99)  0  0   405   3   4   3   3   0   1   2   3   0   0   0   0   3   3  0  0  0   3  0  1   8   0   0  -1  14  15   12    7   0   0   0   1  A
  11  BRE   34   RS vBRE L(100-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   42   RS vKEN   L(75-98)  0  0   244   1   4   1   4   0   0   0   0   0   0   1   2   0   2  2  0  2   0  0  0   2   2   2  -2   8  10    5    1   0   0   0   0  A
  11  HAR   46   RS @HAR  W(100-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   50   RS vKEN  L(93-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   52   RS @RAY   L(84-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   56   RS @KEN  L(72-103)  0  0   449   1   3   1   2   0   1   0   0   0   0   0   1   1   1  0  1  1   1  1  0   2   0   0  -4  15  19    8    5   0   1   0   0  A
  11  HAR   58   RS vHAR   L(83-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   64   RS @KEN   L(67-75)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   66   RS vWIL  L(90-104)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   74   RS vQUE L(101-104)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   77   RS @BRE  W(100-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
