Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   8   RS vRAY   L(79-99)  0  1  2191   5  11   2   2   3   9   3   3   0   0   0   0   2   2  0  3  3   7  1  1  16   0   3 -17  73  90   33   21   0   1   0   1  A
  16   RS vHAR  W(101-85)  0  1  2078   8  12   4   5   4   7   2   2   0   0   0   0   4   5  1  3  4  12  0  1  22   0   0  21  92  71   31   18   0   0   0   1  A
  22   RS @HAR   L(92-99)  0  1  2161   6  13   4   6   2   7  10  11   0   1   1   2   3   4  2  1  3  10  2  4  24   2   0  -7  82  89   39   22   1   1   0   4  A
  24   RS vRAY W(118-114)  1  1  2700   6  13   2   4   4   9   2   2   0   0   0   2   2   2  1  8  9  16  1  1  18   0   3   4 118 114   43   29   0   1   0   1  A
  27   RS @WIL  L(79-113)  0  1  1451   7  11   3   6   4   5   1   2   1   1   2   5   1   1  1  2  3   5  1  1  19   4   2 -31  44  75   24   12   0   1   0   1  A
  32   RS vWIL  L(91-108)  0  1  2400   7   9   5   6   2   3   5   5   0   0   0   0   5   6  0  6  6   7  0  2  21   0   2 -17  91 108   34   23   0   0   0   2  A
  39   RS @QUE   L(88-97)  0  1  2400   5  16   3   9   2   7   4   5   0   1   0   3   3   6  1  3  4   8  0  2  16   2   0  -9  88  97   41   23   0   0   1   1  A
  40   RS vBRE   W(92-84)  0  1  2400  10  13   6   7   4   6   3   3   0   0   0   1   6   6  1  4  5   5  0  1  27   0   2   8  92  84   29   15   0   0   0   1  A
  42   RS @LAT   W(98-75)  0  1  2156   9  18   4   9   5   9   3   3   0   0   0   2   4   7  2  5  7   7  1  1  26   0   0  21  88  67   41   22   0   1   0   1  A
  48   RS vHAR  W(114-95)  0  1  1996   9  14   4   7   5   7   6   6   0   0   0   0   4   7  1  1  2   9  1  2  29   0   8  25  97  72   33   17   0   1   0   2  A
  50   RS @LAT  W(101-93)  0  1  2400   5  12   3   6   2   6  12  12   0   0   0   1   3   5  0  4  4   8  0  4  24   0   0   8 101  93   37   21   0   0   0   4  A
  56   RS vLAT  W(103-72)  0  1  1951   3   9   3   9   0   0   6   9   1   1   1   6   2   3  2  6  8   7  1  3  12   2   6  27  84  57   28   16   0   1   0   3  A
  62   RS @HAR   L(77-90)  0  1  2400   8  12   7   8   1   4   0   0   0   0   2   2   5   6  2  6  8  11  1  0  17   4   3 -13  77  90   34   22   0   1   0   0  A
  64   RS vLAT   W(75-67)  0  1  2298   4   9   2   4   2   5   4   4   0   0   1   2   1   2  2  5  7   7  2  2  14   2   2   7  72  65   30   19   0   2   0   2  A
  65   RS @CRO  W(112-96)  0  1  2400   8  16   1   4   7  12   8  11   0   0   0   1   1   3  2  4  6  11  0  4  31   0   4  16 112  96   40   20   0   0   0   4  A
  72   RS vQUE W(108-105)  0  1  2400   7  12   5   6   2   6   6   7   1   1   2   2   3   4  3  9 12  12  0  3  22   6   9   3 108 105   41   26   0   0   1   2  A
  75   RS @WIL   W(87-81)  0  1  2400   5  16   2   8   3   8   6   6   0   0   0   4   2   4  0  7  7  11  1  3  19   2   3   6  87  81   35   16   0   1   1   2  A
  80   RS vCRO   W(95-79)  0  1  2179   4   8   2   4   2   4   6   8   1   1   1   1   1   3  1  5  6   8  1  3  16   2   6  17  91  74   24   13   0   1   0   3  A
