Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   7   RS vBRE  W(102-96)  0  0  1189   2   4   2   3   0   1   0   0   0   0   2   3   0   0  0  7  7   0  1  0   4   4   0  13  55  42    4    0   1   0   0   0  A
   9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  15   RS vWIL  L(89-101)  0  0   179   1   1   0   0   1   1   0   0   0   0   0   0   0   0  0  1  1   0  3  0   3   0   3   3  10   7    1    0   2   1   0   0  A
  21   RS @BRE  W(106-97)  0  0  1457   2   5   0   2   2   3   4   5   0   0   0   0   0   2  2  4  6   2  0  2  10   1   1  11  63  52    9    2   0   0   1   1  A
  23   RS vCRO L(119-120)  1  0   585   0   1   0   1   0   0   3   3   0   0   0   0   0   1  0  0  0   0  1  1   3   0   0   0  36  36    2    0   0   1   0   1  A
  26   RS @LAT  L(96-105)  0  1  1248   2   6   1   4   1   2   2   2   0   1   1   3   0   1  1  2  3   1  2  1   7   2   2   6  59  53   10    3   1   1   0   1  A
  28   RS @RAY  L(97-119)  0  1  1291   1   3   1   2   0   1   3   4   0   0   1   1   0   1  2  1  3   0  2  2   5   5   0 -23  45  68    5    0   1   1   2   0  A
  31   RS vHAR   L(90-96)  0  1  2400   6  16   5  10   1   6   2   2   0   1   4   7   1   3  1  9 10   0  0  1  15   8   2  -6  90  96   17    0   0   0   0   1  A
  38   RS @HAR  L(83-105)  0  0   403   1   2   0   1   1   1   0   0   0   0   0   1   0   0  0  2  2   0  1  0   3   0   0   0  14  14    2    0   0   1   0   0  A
  39   RS vKEN   W(97-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  47   RS vBRE   L(86-94)  0  0    43   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  1  0   0   0   0  -4   3   7    0    0   0   1   0   0  A
  51   RS @WIL  W(107-89)  0  0   392   3   4   2   3   1   1   0   0   0   0   1   2   1   1  0  1  1   1  0  0   7   2   0  -7  12  19    5    1   0   0   0   0  A
  53   RS @BRE  W(101-86)  0  0   736   2   5   2   3   0   2   0   0   1   1   2   2   0   1  2  4  6   0  2  0   4   4   2   1  28  27    5    0   0   2   0   0  A
  55   RS vCRO   W(95-89)  0  0   173   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -5   5  10    0    0   0   0   0   0  A
  57   RS @CRO  W(110-76)  0  0   816   1   1   0   0   1   1   4   6   0   0   0   0   0   0  0  2  2   0  1  3   7   2   2   1  33  32    4    0   0   1   2   1  A
  61   RS @BRE   L(83-99)  0  0   408   1   2   1   2   0   0   1   2   0   1   0   1   1   1  1  1  2   0  2  1   3   0   2  -7  13  20    3    0   1   1   0   1  A
  63   RS vWIL   W(99-81)  0  0   250   1   2   1   1   0   1   0   0   0   0   0   0   1   1  0  1  1   0  0  0   2   0   0  -2  11  13    2    0   0   0   0   0  A
  71   RS vHAR  W(105-98)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  72   RS @KEN L(105-108)  0  0   120   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  1  0   0   0   0   1   9   8    0    0   0   1   0   0  A
  74   RS @LAT W(104-101)  0  0   390   1   3   0   2   1   1   0   0   0   0   0   0   0   2  0  3  3   0  1  0   3   0   0   2  19  17    3    0   1   0   0   0  A
  76   RS @RAY W(107-100)  0  1  1743   2   4   1   2   1   2   3   3   0   0   1   1   0   1  1  3  4   0  3  1   8   2   0   4  75  71    5    0   3   0   0   1  A
  79   RS vRAY  W(105-84)  0  1  2109  11  17  11  16   0   1   2   2   1   1   7   9   4   7  1  7  8   1  0  1  24  14   2  22  94  72   19    1   0   0   0   1  A
