Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS @CRO  L(97-105)  0  0   782   3   6   3   5   0   1   5   5   0   0   1   3   2   2  0  0  0   3  1  2  11   4   0   1  34  33   12    4   0   1   1   1  A
   3   RS @WIL   L(74-93)  0  0   600   2   7   0   3   2   4   0   0   0   0   0   1   0   2  1  0  1   4  0  0   6   0   0  -3  23  26   12    5   0   0   0   0  A
   5   RS vCRO   W(94-70)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   7   RS @QUE  L(96-102)  0  0  1530   6  13   4   8   2   5   2   2   0   0   2   4   2   4  2  2  4   5  1  1  16   6   0  -4  56  60   28   14   1   0   1   0  A
  13   RS vWIL  W(111-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  17   RS @CRO W(105-100)  0  0    45   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -4   2   6    0    0   0   0   0   0  A
  19   RS @WIL W(108-107)  0  0    30   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -7   5  12    0    0   0   0   0   0  A
  21   RS vQUE  L(97-106)  0  0   375   1   4   1   1   0   3   0   0   0   0   0   0   1   1  2  0  2   1  0  0   2   0   2  -2   9  11    6    2   0   0   0   0  A
  29   RS vLAT  W(109-87)  0  0   339   4   5   2   2   2   3   0   0   0   0   2   2   0   0  0  2  2   1  0  0  10   4   2   9  24  15    8    3   0   0   0   0  A
  30   RS @HAR   L(77-91)  0  0  1123   5   9   3   5   2   4   3   4   0   0   3   4   0   1  2  1  3   2  0  2  15   8   7  -3  37  40   19    8   0   0   1   1  A
  34   RS @LAT W(102-100)  0  0    34   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -3   3   6    0    0   0   0   0   0  A
  37   RS vRAY  L(86-111)  0  0   247   1   2   1   1   0   1   0   0   0   0   0   0   1   1  0  1  1   0  0  0   2   0   0  -7   4  11    4    2   0   0   0   0  A
  40   RS @KEN   L(84-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  45   RS vWIL   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  47   RS @QUE   W(94-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  53   RS vQUE  L(86-101)  0  1  2207   9  15   5   7   4   8   4   4   0   0   3   4   2   3  1  4  5   9  2  2  26   8   0 -17  78  95   40   23   1   1   1   1  A
  61   RS vQUE   W(99-83)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  69   RS vRAY  W(106-75)  0  1  1800   8  11   6   6   2   5  10  11   0   0   4   4   2   2  2  1  3   7  1  5  28  14   0  30  82  52   36   20   0   1   3   2  A
  77   RS vLAT  L(91-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  78   RS @HAR  L(78-105)  0  0   600   0   3   0   1   0   2   0   0   0   0   0   0   0   1  0  0  0   4  2  0   0   0   0  -9  13  22   12    9   1   1   0   0  A
