Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   8   RS vRAY   L(79-99)  0  0   209   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  2  2   0  0  0   2   2   0  -3   6   9    2    1   0   0   0   0  A
  16   RS vHAR  W(101-85)  0  0   322   3   6   3   6   0   0   0   0   0   0   2   3   1   3  0  0  0   0  0  0   6   4   0  -5   9  14    6    0   0   0   0   0  A
  22   RS @HAR   L(92-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  27   RS @WIL  L(79-113)  0  0  1366   4  12   4  12   0   0   0   2   1   2   4  10   0   2  5  7 12   0  1  1   8   8   2 -16  44  60   13    0   1   0   1   0  A
  32   RS vWIL  L(91-108)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  39   RS @QUE   L(88-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  40   RS vBRE   W(92-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  42   RS @LAT   W(98-75)  0  0   244   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   2  10   8    0    0   0   0   0   0  A
  48   RS vHAR  W(114-95)  0  0   404   1   2   1   2   0   0   0   0   0   0   1   2   0   0  1  0  1   1  0  0   2   2   0  -6  17  23    3    1   0   0   0   0  A
  50   RS @LAT  W(101-93)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  56   RS vLAT  W(103-72)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  62   RS @HAR   L(77-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  64   RS vLAT   W(75-67)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  65   RS @CRO  W(112-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  72   RS vQUE W(108-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  75   RS @WIL   W(87-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  80   RS vCRO   W(95-79)  0  0   221   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  2  2   0  0  0   2   2   0  -1   4   5    1    0   0   0   0   0  A
