Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Gi6    2   RS vRAY  W(107-99)  0  1  2381   4  12   3   8   1   4   3   4   1   1   2   3   1   5  2  2  4   1  0  2  12   4   2   4 103  99   18    4   0   0   0   2  A
   Ga4    2   RS vRAY  W(107-99)  0  1  2400   9  15   8  14   1   1  13  16   0   0   6   8   2   6  5  9 14   0  1  8  32  24   4   8 107  99   23    0   1   0   7   1  A
   Ii1    2   RS vRAY  W(107-99)  0  1  2400   4  12   2   4   2   8   0   0   0   0   2   3   0   1  0  2  2  15  0  0  10   4   0   8 107  99   40   28   0   0   0   0  A
   Eg3    2   RS vRAY  W(107-99)  0  1  2381   9  18   7  14   2   4  12  17   1   1   4   9   3   5  2  9 11   4  2  7  32  11   5   4 103  99   40   15   0   2   3   4  A
   Ki2    2   RS vRAY  W(107-99)  0  0    19   0   0   0   0   0   0   2   2   0   0   0   0   0   0  0  0  0   0  0  1   2   0   2   4   4   0    1    0   0   0   0   1  A
   Ee6    2   RS vRAY  W(107-99)  0  0    35   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   2   4   2    0    0   0   0   0   0  A
   Ja1    2   RS vRAY  W(107-99)  0  0   991   2   5   2   5   0   0   0   0   0   0   2   3   0   2  3  6  9   1  0  0   4   4   0   5  43  38    6    1   0   0   0   0  A
   Ka2    2   RS vRAY  W(107-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ia6    2   RS vRAY  W(107-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ce2    2   RS vRAY  W(107-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ji1    2   RS vRAY  W(107-99)  0  0    19   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   4   4   0    0    0   0   0   0   0  A
   Ia7    2   RS vRAY  W(107-99)  0  1  1374   7  10   7  10   0   0   1   2   1   1   6   8   1   2  1  5  6   1  4  1  15  13   4   1  60  59   12    1   2   2   1   0  S
   Df2    2   RS vRAY  W(107-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Gi6    4   RS @RAY  L(95-114)  0  1  2289   6  11   4   9   2   2   0   0   0   0   2   2   2   7  0  4  4   1  2  0  14   4   2 -17  91 108   15    4   0   2   0   0  A
   Ga4    4   RS @RAY  L(95-114)  0  1  2289   7  16   6  14   1   2   4   6   1   1   5  11   1   3  5  7 12   0  1  3  19  14   5 -17  91 108   19    0   1   0   3   0  A
   Ii1    4   RS @RAY  L(95-114)  0  1  1638   1   7   0   4   1   3   1   2   0   0   0   3   0   1  0  2  2  15  1  1   4   1   0  -3  68  71   32   24   0   1   1   0  A
   Eg3    4   RS @RAY  L(95-114)  0  1  2289  11  21   7  15   4   6   3   6   0   1   4   9   3   6  1  4  5   1  0  3  29   9   5 -17  91 108   26    2   0   0   1   2  A
   Ki2    4   RS @RAY  L(95-114)  0  0   111   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   1  0  0   0   0   0  -2   4   6    3    3   0   0   0   0  A
   Ee6    4   RS @RAY  L(95-114)  0  0   111   0   1   0   0   0   1   0   0   0   0   0   0   0   0  1  0  1   0  0  0   0   0   0  -2   4   6    1    0   0   0   0   0  A
   Ja1    4   RS @RAY  L(95-114)  0  1  2289   9  13   9  13   0   0   5   6   1   1   8  12   1   1  5  6 11   0  1  3  23  18   2 -17  91 108   18    2   1   0   1   2  A
   Ka2    4   RS @RAY  L(95-114)  0  0   111   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   0  0  0   0   0   0  -2   4   6    1    0   0   0   0   0  A
   Ia6    4   RS @RAY  L(95-114)  0  0   111   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   0  -2   4   6    1    0   0   0   0   0  A
   Ce2    4   RS @RAY  L(95-114)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ji1    4   RS @RAY  L(95-114)  0  0   651   0   5   0   4   0   1   2   2   0   0   0   1   0   3  0  2  2   2  0  1   2   0   0 -14  23  37   10    4   0   0   0   1  A
   Ia7    4   RS @RAY  L(95-114)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Df2    4   RS @RAY  L(95-114)  0  0   111   1   2   1   2   0   0   0   0   0   0   1   2   0   0  0  0  0   1  0  0   2   2   2  -2   4   6    3    1   0   0   0   0  A
