Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
  7.1 SF1  24    4  RAY  34.0  29.0  37.0  97.0  99.0  98.0  30.0  76.0   3.5  28.0  45.0  67.0   87.0  56.0  27.0  85.0    0 Y11-D19-RSG2
  7.1 SF1  24    4  RAY  34.0  29.0  37.0  97.0  99.0  98.0  30.0  73.2   3.5  28.0  45.0  67.0   87.0  56.0  27.0  85.0    0 Y11-D20-RSG3
  7.1 SF1  24    4  RAY  34.0  29.0  37.0  97.0  99.0  98.0  30.0  73.2   3.5  28.0  45.0  67.0   87.0  56.0  26.0  85.0    0 Y11-D23-RSG6
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  97.0  99.0  98.0  30.0  73.2   3.5  28.0  45.0  67.0   87.0  56.0  26.0  85.0    0 Y11-D24-RSG7
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  98.2 100.0  95.6  30.0  73.2   3.5  28.0  45.0  67.0   87.0  56.0  26.0  85.0    0 Y11-D25-RSG8
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  98.2 100.0  95.6  30.0  73.2   4.8  28.0  45.0  67.0   87.0  57.0  26.0  85.0    0 Y11-D29-RSG12
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  98.2 100.0  95.6  31.0  73.2   4.8  28.0  45.0  67.0   87.0  57.0  26.0  85.0    0 Y11-D31-RSG14
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  98.2 100.0  95.6  31.0  73.2   4.8  28.0  45.0  68.0   87.0  57.0  26.0  85.0    0 Y11-D33-RSG16
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  98.2 100.0  95.6  31.0  73.2   4.8  26.4  45.0  68.0   87.0  54.7  26.0  85.0    0 Y11-D34-RSG17
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  99.3 100.0  95.6  31.0  73.2   4.8  26.4  45.0  68.0   87.0  54.7  26.0  85.0    0 Y11-D37-RSG20
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  99.3 100.0  95.6  31.0  73.2   3.9  26.4  45.0  68.0   87.0  56.2  26.0  85.0    0 Y11-D41-RSG24
  7.1 SF1  24    4  RAY  33.5  30.0  36.5  99.3 100.0  95.6  31.0  73.2   3.9  26.4  45.0  66.7   87.0  56.2  26.0  85.0    0 Y11-D42-RSG25
