Suffered a 11 injury @Y11-D20-RSG3
PerFR regressed by -1 @Y11-D24-RSG7
PerDef regressed by -1 @Y11-D25-RSG8
2JPro changed by -1.0 @Y11-D29-RSG12
InPro changed by -0.7 @Y11-D32-RSG15
2JEff regressed by -1.5 @Y11-D32-RSG15
InFR improved by 1.7 @Y11-D32-RSG15
2JEff regressed by -2.8 @Y11-D36-RSG19
PerDef regressed by -1 @Y11-D41-RSG24
DReb improved by 1.1 @Y11-D42-RSG25
OReb regressed by -1.6 @Y11-D43-RSG26
BDom changed by 1.0 @Y11-D43-RSG26
PassR changed by 0.9 @Y11-D43-RSG26
InDef improved by 1 @Y11-D43-RSG26
