Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ee1    6   RS vLAT   W(96-65)  0  0   756   5   9   4   7   1   2   1   2   0   0   4   4   0   3  0  2  2   2  0  1  12   9   0   9  28  19   13    3   0   0   1   0  A
  Kf10    6   RS vLAT   W(96-65)  0  0   600   0   1   0   0   0   1   0   0   0   0   0   0   0   0  1  1  2   0  0  0   0   0   0   2  19  17    2    1   0   0   0   0  A
   Ga2    6   RS vLAT   W(96-65)  0  1  1800   6  11   6  11   0   0   2   2   0   0   4   6   2   5  2 10 12   0  0  1  14  10   2  29  77  48   12    0   0   0   1   0  A
   Gc3    6   RS vLAT   W(96-65)  0  0   600   1   3   1   1   0   2   0   0   0   0   1   1   0   0  1  1  2   0  0  0   2   2   2   2  19  17    3    0   0   0   0   0  A
   Hi5    6   RS vLAT   W(96-65)  0  0   263   2   4   2   3   0   1   0   0   0   0   0   0   2   3  2  1  3   0  0  0   4   0   0   4   8   4    5    1   0   0   0   0  A
   Ii9    6   RS vLAT   W(96-65)  0  0   628   1   3   1   3   0   0   2   2   0   0   0   0   1   3  0  2  2   1  2  1   4   0   0   0  20  20    8    4   1   1   0   1  A
   Fj4    6   RS vLAT   W(96-65)  0  1  1509   4   9   1   4   3   5   2   2   0   0   1   2   0   2  0  4  4  11  1  1  13   2   0  27  68  41   29   19   1   0   0   1  A
   Jg3    6   RS vLAT   W(96-65)  0  0   263   0   1   0   0   0   1   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   4   8   4    1    0   0   0   0   0  A
   Ka1    6   RS vLAT   W(96-65)  0  0   600   1   3   1   3   0   0   1   2   0   0   0   1   1   2  0  1  1   1  0  1   3   1   2   2  19  17    5    1   0   0   1   0  A
   Ha5    6   RS vLAT   W(96-65)  0  1  1800   6   7   6   7   0   0   1   2   0   0   6   7   0   0  2 11 13   0  2  1  13  13   0  29  77  48    8    0   2   0   1   0  A
   Gg2    6   RS vLAT   W(96-65)  0  1  1509   7  13   5   9   2   4   1   4   0   1   4   7   1   2  2  3  5   1  0  2  17   9   0  27  68  41   17    2   0   0   2   0  A
   Ge8    6   RS vLAT   W(96-65)  0  1  1044   3   7   3   6   0   1   0   0   1   1   3   4   0   2  1  6  7   0  2  0   6   6   2  20  49  29    8    1   1   1   0   0  A
   Hg4    6   RS vLAT   W(96-65)  0  0   628   2   3   2   3   0   0   4   6   0   0   1   1   1   2  0  2  2   1  0  3   8   3   0   0  20  20   10    4   0   0   1   2  A
   Ee1   10   RS @LAT   W(90-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  Kf10   10   RS @LAT   W(90-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga2   10   RS @LAT   W(90-86)  0  1  1200   3  10   3  10   0   0   0   0   0   0   2   7   1   3  2  4  6   0  0  0   6   4   2   4  45  41   10    0   0   0   0   0  A
   Gc3   10   RS @LAT   W(90-86)  0  0  1200   4  10   4  10   0   0   0   0   0   0   4   6   0   4  1  5  6   0  0  0   8   8   2   0  45  45   10    0   0   0   0   0  A
   Hi5   10   RS @LAT   W(90-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ii9   10   RS @LAT   W(90-86)  0  0    76   1   1   1   1   0   0   0   0   0   0   0   0   1   1  0  0  0   0  0  0   2   0   0  -1   4   5    1    0   0   0   0   0  A
   Fj4   10   RS @LAT   W(90-86)  0  1  2324   3  13   3   9   0   4   4   7   0   0   1   2   2   7  0  6  6  15  2  3  10   2   0   5  86  81   52   36   2   0   0   3  A
   Jg3   10   RS @LAT   W(90-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ka1   10   RS @LAT   W(90-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ha5   10   RS @LAT   W(90-86)  0  1  2400   7  11   7  11   0   0   5   8   1   1   5   7   2   4  4  8 12   0  0  4  19  15   2   4  90  86   16    1   0   0   4   0  A
   Gg2   10   RS @LAT   W(90-86)  0  1  2324  12  26   9  17   3   9   2   2   4   4   7  13   2   4  6  5 11   2  2  1  29  16   8   5  86  81   33    6   1   1   1   0  A
   Ge8   10   RS @LAT   W(90-86)  0  1  2400   6  16   4  10   2   6   2   4   1   3   2   6   2   4  6 10 16   1  1  2  16   4   3   4  90  86   19    1   1   0   0   2  A
   Hg4   10   RS @LAT   W(90-86)  0  0    76   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   1  0  0   0   0   0  -1   4   5    1    1   0   0   0   0  A
   Hi5   14   RS vRAY   L(78-91)  0  0  1198   2   4   1   2   1   2   3   4   0   0   1   2   0   0  0  1  1   4  2  2   8   5   0 -10  40  50   19   13   1   1   2   0  A
   Gg2   14   RS vRAY   L(78-91)  0  1  1673   7  20   6  10   1  10   3   4   0   0   4   7   2   3  2  4  6   1  2  2  18   9   0 -14  49  63   26    4   2   0   1   1  A
   Ii9   14   RS vRAY   L(78-91)  0  0   321   0   1   0   0   0   1   0   0   0   0   0   0   0   0  0  1  1   4  1  0   0   0   0   3  13  10    8    7   0   1   0   0  A
   Hg4   14   RS vRAY   L(78-91)  0  0   727   2   8   2   5   0   3   0   0   0   0   0   1   2   4  0  1  1   2  1  0   4   0   0   1  29  28   13    5   1   0   0   0  A
   Ge8   14   RS vRAY   L(78-91)  0  1  2400   4   9   2   6   2   3   2   2   0   0   1   5   1   1  2  4  6   2  2  1  12   4   0 -13  78  91   14    4   2   0   1   0  A
   Ee1   14   RS vRAY   L(78-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga2   14   RS vRAY   L(78-91)  0  1  1800   2  10   2  10   0   0   0   0   1   2   2   6   0   4  3  8 11   0  1  0   4   4   2  -1  61  62   10    0   0   1   0   0  A
  Kf10   14   RS vRAY   L(78-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ka1   14   RS vRAY   L(78-91)  0  0   192   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  0  0   0  0  0   0   0   0 -10   2  12    2    1   0   0   0   0  A
   Gc3   14   RS vRAY   L(78-91)  0  0   408   2   4   2   4   0   0   2   2   0   0   2   3   0   1  0  4  4   0  0  1   6   6   0  -2  15  17    5    0   0   0   1   0  A
   Jg3   14   RS vRAY   L(78-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ha5   14   RS vRAY   L(78-91)  0  1  2400   8  10   8  10   0   0   1   2   0   0   5   6   3   4  2 10 12   0  0  1  17  11   2 -13  78  91   11    0   0   0   1   0  A
   Fj4   14   RS vRAY   L(78-91)  0  1   881   2  11   1   5   1   6   4   4   0   0   0   1   1   4  0  3  3   4  0  2   9   0   0  -6  25  31   24   11   0   0   0   2  A
   Hi5   16   RS @KEN  L(85-101)  0  0   600   5   7   4   5   1   2   0   0   0   0   1   2   3   3  1  0  1   0  0  0  11   2   2 -10  16  26   15    8   0   0   0   0  A
   Gg2   16   RS @KEN  L(85-101)  0  1  1200   5  18   3  10   2   8   4   4   0   0   3   6   0   4  1  0  1   0  1  2  16  10   0  -5  44  49   22    2   0   1   2   0  A
   Ii9   16   RS @KEN  L(85-101)  0  0   600   0   2   0   1   0   1   0   0   0   0   0   0   0   1  0  1  1   7  0  0   0   0   0  -1  25  26   13   11   0   0   0   0  A
   Hg4   16   RS @KEN  L(85-101)  0  0   600   0   2   0   0   0   2   0   0   0   0   0   0   0   0  0  0  0   3  0  0   0   0   0 -10  16  26    7    5   0   0   0   0  A
   Ge8   16   RS @KEN  L(85-101)  0  1  2078   3   7   2   4   1   3   0   2   0   0   1   3   1   1  1  4  5   0  1  1   7   2   0 -21  71  92    9    1   0   1   1   0  A
   Ee1   16   RS @KEN  L(85-101)  0  0   322   2   2   2   2   0   0   0   0   0   0   2   2   0   0  0  2  2   0  1  0   4   4   0   5  14   9    2    0   1   0   0   0  A
   Ga2   16   RS @KEN  L(85-101)  0  1  2078   5   9   5   9   0   0   2   2   1   2   3   5   2   4  4  6 10   0  1  1  12   8   2 -21  71  92   10    0   1   0   1   0  A
  Kf10   16   RS @KEN  L(85-101)  0  0   322   2   2   2   2   0   0   0   0   0   0   0   0   2   2  0  1  1   0  0  0   4   0   0   5  14   9    2    0   0   0   0   0  A
   Ka1   16   RS @KEN  L(85-101)  0  0   643   1   3   1   3   0   0   3   4   0   0   1   1   0   2  0  4  4   0  0  2   5   5   0   3  24  21    5    0   0   0   2   0  A
   Gc3   16   RS @KEN  L(85-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Jg3   16   RS @KEN  L(85-101)  0  0   322   2   6   2   5   0   1   0   0   0   0   2   2   0   3  1  1  2   1  0  0   4   4   0   5  14   9    7    1   0   0   0   0  A
   Ha5   16   RS @KEN  L(85-101)  0  1  1757   2   7   2   7   0   0   4   6   0   1   2   6   0   1  3  7 10   0  0  3   8   8   1 -19  61  80   10    0   0   0   3   0  A
   Fj4   16   RS @KEN  L(85-101)  0  1  1478   4  10   3   8   1   2   5   5   0   0   0   1   3   7  0  4  4   8  0  2  14   0   0 -11  55  66   26   14   0   0   0   2  A
   Hi5   18   RS @LAT   L(88-91)  0  0   624   3   6   2   3   1   3   0   0   0   0   1   1   1   2  0  1  1   5  0  0   7   2   0   2  30  28   16   10   0   0   0   0  A
   Gg2   18   RS @LAT   L(88-91)  0  1  1176   2   9   2   6   0   3   0   0   1   1   2   5   0   1  2  5  7   0  0  0   4   4   2   0  41  41    9    0   0   0   0   0  A
   Ii9   18   RS @LAT   L(88-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Hg4   18   RS @LAT   L(88-91)  0  0  1200   4  11   2   5   2   6   0   0   0   0   0   2   2   3  1  2  3   1  0  0  10   0   0  -4  44  48   14    3   0   0   0   0  A
   Ge8   18   RS @LAT   L(88-91)  0  1  2400   6  15   5  10   1   5   0   0   1   1   3   3   2   7  2  6  8   0  0  0  13   6   6  -3  88  91   15    0   0   0   0   0  A
   Ee1   18   RS @LAT   L(88-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga2   18   RS @LAT   L(88-91)  0  1  1059   1   3   1   3   0   0   0   0   0   0   0   2   1   1  1  3  4   0  3  0   2   0   0 -10  37  47    3    0   3   0   0   0  A
  Kf10   18   RS @LAT   L(88-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ka1   18   RS @LAT   L(88-91)  0  0  1341   5   6   5   6   0   0   0   0   0   0   5   6   0   0  1  4  5   2  1  0  10  10   0   7  51  44    9    3   1   0   0   0  A
   Gc3   18   RS @LAT   L(88-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Jg3   18   RS @LAT   L(88-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ha5   18   RS @LAT   L(88-91)  0  1  2400   7  16   7  13   0   3   4   4   0   0   7  11   0   2  4  9 13   1  2  2  18  18   0  -3  88  91   21    3   2   0   2   0  A
   Fj4   18   RS @LAT   L(88-91)  0  1  1800   6  12   3   9   3   3   9  11   0   0   0   1   3   8  0  2  2  10  2  4  24   0   2  -4  61  65   38   22   0   2   0   4  A
   Hi5   20   RS @RAY L(105-112)  1  0   725   0   5   0   4   0   1   0   0   0   0   0   0   0   4  1  0  1   3  0  0   0   0   0  -4  25  29   14    9   0   0   0   0  A
   Gg2   20   RS @RAY L(105-112)  1  0  1576   5  14   3   9   2   5   7   8   0   0   1   7   2   2  1  7  8   0  0  4  19   6   1   1  64  63   19    1   0   0   2   2  A
   Ii9   20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Hg4   20   RS @RAY L(105-112)  1  1  1098   1  10   1   5   0   5   4   5   1   1   1   2   0   3  2  0  2   2  1  2   6   2   2  -4  41  45   22   10   1   0   0   2  A
   Ge8   20   RS @RAY L(105-112)  1  1  2700  10  19   8  13   2   6   3   7   0   1   7   9   1   4  4 11 15   0  3  3  25  14   1  -7 105 112   24    2   1   2   1   2  A
   Ee1   20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga2   20   RS @RAY L(105-112)  1  1  2700  10  17  10  16   0   1   3   4   3   3   8  10   2   6  7  6 13   0  2  2  23  19  11  -7 105 112   19    0   1   1   2   0  A
  Kf10   20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ka1   20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Gc3   20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Jg3   20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ha5   20   RS @RAY L(105-112)  1  1  2700   9  11   9  10   0   1   0   0   2   2   9  10   0   0  3 13 16   1  0  0  18  18   4  -7 105 112   13    2   0   0   0   0  A
   Fj4   20   RS @RAY L(105-112)  1  1  2001   6  20   4  12   2   8   0   0   0   0   0   1   4  11  0  3  3  16  2  0  14   0   2  -7  80  87   49   29   1   1   0   0  A
   Hi5   22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Gg2   22   RS vKEN   W(99-92)  0  0   476   3   4   3   3   0   1   0   0   0   0   3   3   0   0  1  0  1   1  0  0   6   6   0  -8  14  22    7    3   0   0   0   0  A
   Ii9   22   RS vKEN   W(99-92)  0  0  1234   3   7   2   6   1   1   0   0   0   0   0   1   2   5  0  1  1   7  1  0   7   0   2   4  52  48   22   15   1   0   0   0  A
   Hg4   22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ge8   22   RS vKEN   W(99-92)  0  1  2233   3  11   3   8   0   3   2   2   1   1   2   4   1   4  4  7 11   1  0  1   8   6   4   8  94  86   13    1   0   0   1   0  A
   Ee1   22   RS vKEN   W(99-92)  0  1  1615   4  13   1   8   3   5   7   8   0   0   0   3   1   5  0  9  9   1  1  3  18   0   3  13  71  58   18    2   1   0   0   3  A
   Ga2   22   RS vKEN   W(99-92)  0  1  2400   9  14   9  14   0   0   4   6   0   0   7   9   2   5  5  9 14   0  3  3  22  15   2   7  99  92   18    1   0   3   1   2  A
  Kf10   22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ka1   22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Gc3   22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Jg3   22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ha5   22   RS vKEN   W(99-92)  0  1  2400  12  21  12  20   0   1   6   8   0   0   9  17   3   3  4  9 13   0  0  4  30  24   6   7  99  92   25    0   0   0   4   0  A
   Fj4   22   RS vKEN   W(99-92)  0  1  1642   3   7   1   4   2   3   0   0   0   0   0   1   1   3  0  1  1  12  2  0   8   0   2   4  66  62   32   25   0   2   0   0  A
   Hi5   25   RS @CRO  W(101-92)  0  0   326   0   1   0   1   0   0   2   2   0   0   0   0   0   1  0  0  0   2  0  1   2   0   0  -5  12  17    5    3   0   0   0   1  A
   Gg2   25   RS @CRO  W(101-92)  0  0  1223   5  11   2   6   3   5   8   8   0   0   1   5   1   1  1  6  7   0  3  3  21   2   2   5  53  48   14    0   2   1   0   3  A
   Ii9   25   RS @CRO  W(101-92)  0  1  1466   3   9   2   5   1   4   0   2   0   0   1   1   1   4  1  2  3   9  3  1   7   2   0   7  65  58   31   21   1   2   0   1  A
   Hg4   25   RS @CRO  W(101-92)  0  0   608   5   8   4   7   1   1   0   0   0   1   0   2   4   5  1  0  1   2  0  0  11   0   5   7  24  17   12    4   0   0   0   0  A
   Ge8   25   RS @CRO  W(101-92)  0  1  2400   6  13   5   8   1   5   3   7   0   0   2   4   3   4  1 11 12   0  1  3  16   4   0   9 101  92   16    0   1   0   2   1  A
   Ee1   25   RS @CRO  W(101-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga2   25   RS @CRO  W(101-92)  0  1  2400   5   9   5   9   0   0   7  10   1   1   4   6   1   3  5  8 13   0  1  5  17  13   5   9 101  92   14    0   1   0   4   1  A
  Kf10   25   RS @CRO  W(101-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ka1   25   RS @CRO  W(101-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Gc3   25   RS @CRO  W(101-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Jg3   25   RS @CRO  W(101-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ha5   25   RS @CRO  W(101-92)  0  1  2400   8  14   8  14   0   0   5   6   1   1   7  11   1   3  2  7  9   0  0  3  21  19   3   9 101  92   19    2   0   0   3   0  A
   Fj4   25   RS @CRO  W(101-92)  0  1  1177   2   4   2   4   0   0   2   2   0   0   0   0   2   4  0  1  1   6  2  1   6   0   0   4  48  44   21   16   0   2   0   1  A
