Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Da1    8   RS vRAY   L(79-99)  0  1  2191   4  12   4  11   0   1   0   2   0   0   3   6   1   5  3  7 10   4  0  1   8   6   0 -17  73  90   19    6   0   0   0   1  A
   Kg9    8   RS vRAY   L(79-99)  0  0   209   1   3   1   2   0   1   0   0   0   0   1   1   0   1  0  0  0   1  0  0   2   2   0  -3   6   9    5    2   0   0   0   0  A
   Hb1    8   RS vRAY   L(79-99)  0  0   209   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0  -3   6   9    0    0   0   0   0   0  A
   Jc3    8   RS vRAY   L(79-99)  0  0   209   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   0  -3   6   9    1    0   0   0   0   0  A
   Ej4    8   RS vRAY   L(79-99)  0  0   633   2   8   1   4   1   4   0   0   1   1   1   2   0   2  2  0  2   1  0  0   5   2   2 -10  18  28   11    3   0   0   0   0  A
   Jc7    8   RS vRAY   L(79-99)  0  0   263   1   3   1   2   0   1   0   0   0   0   1   1   0   1  0  1  1   0  0  0   2   2   0  -2   8  10    3    0   0   0   0   0  A
  Ga11    8   RS vRAY   L(79-99)  0  1  1928   8  20   8  18   0   2   2   2   2   2   6  11   2   7  5 10 15   0  2  1  18  14  10 -15  65  80   24    3   1   1   1   0  A
   Ff2    8   RS vRAY   L(79-99)  0  0   842   1   6   1   4   0   2   0   0   1   2   1   2   0   2  2  1  3   1  1  0   2   2   2  -7  27  34    7    1   0   1   0   0  A
   Eh1    8   RS vRAY   L(79-99)  0  1  1558   3   9   1   3   2   6   6   9   0   0   1   3   0   0  3  3  6   4  0  3  14   2   6  -7  55  62   18    6   0   0   0   3  A
   Ge2    8   RS vRAY   L(79-99)  0  1   958   3   9   3   7   0   2   2   2   0   0   3   6   0   1  1  4  5   0  1  1   8   6   0  -6  36  42   10    0   1   0   0   1  A
