Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Fa7    7   RS vBRE  W(102-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ia2    7   RS vBRE  W(102-96)  0  1  1998   7  17   7  17   0   0   1   2   0   0   4  11   3   6  3 10 13   0  2  1  15   9   0   8  83  75   19    1   2   0   1   0  A
   Dg3    7   RS vBRE  W(102-96)  0  1  2400  10  17   7  12   3   5   4   4   0   0   6   8   1   4  0  2  2   4  2  2  27  12   2   6 102  96   27    8   0   2   0   2  A
   Ej5    7   RS vBRE  W(102-96)  0  1  2400   8  15   5  11   3   4   0   0   1   2   2   3   3   8  2  3  5  14  0  0  19   4   6   6 102  96   48   33   0   0   0   0  A
   Jc4    7   RS vBRE  W(102-96)  0  0   366   1   1   1   1   0   0   0   0   0   0   1   1   0   0  2  1  3   0  0  0   2   2   0  -2  13  15    1    0   0   0   0   0  A
   Ga5    7   RS vBRE  W(102-96)  0  1   608   1   1   1   1   0   0   0   0   0   0   1   1   0   0  1  2  3   0  3  0   2   2   0 -12  22  34    1    0   2   1   0   0  A
   Ec2    7   RS vBRE  W(102-96)  0  0  1792   4   9   4   9   0   0   8  10   0   0   2   6   2   3  2  4  6   0  2  5  16  12   3  18  80  62   14    0   2   0   5   0  A
   He5    7   RS vBRE  W(102-96)  0  0  1189   2   4   2   3   0   1   0   0   0   0   2   3   0   0  0  7  7   0  1  0   4   4   0  13  55  42    4    0   1   0   0   0  A
   Hi3    7   RS vBRE  W(102-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  Kj10    7   RS vBRE  W(102-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ih4    7   RS vBRE  W(102-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ie9    7   RS vBRE  W(102-96)  0  1  1211   7  11   6  10   1   1   0   0   0   0   0   2   6   8  0  2  2   0  4  0  15   0   2  -7  47  54   11    0   1   3   0   0  A
   Jg1    7   RS vBRE  W(102-96)  0  0    36   0   0   0   0   0   0   2   2   0   0   0   0   0   0  0  2  2   0  0  1   2   0   0   0   6   6    1    0   0   0   0   1  A
   Fa7    9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ia2    9   RS @CRO   L(81-82)  0  1  1200   2   6   2   6   0   0   1   2   0   0   2   4   0   2  1  4  5   0  0  1   5   5   2  -5  36  41    7    0   0   0   1   0  A
   Dg3    9   RS @CRO   L(81-82)  0  1  1113   0   7   0   2   0   5   1   2   0   0   0   0   0   2  0  3  3   4  0  1   1   1   0   0  37  37   17    9   0   0   1   0  A
   Ej5    9   RS @CRO   L(81-82)  0  1  2400   7  13   5   9   2   4   2   2   0   0   2   3   3   6  1  2  3  15  2  1  18   4   0  -1  81  82   54   40   2   0   0   1  A
   Jc4    9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga5    9   RS @CRO   L(81-82)  0  1  2400   7  15   7  13   0   2   1   4   0   0   6  10   1   3  3  8 11   0  1  2  15  13   0  -1  81  82   17    0   0   1   1   1  A
   Ec2    9   RS @CRO   L(81-82)  0  0  1200   4   8   4   8   0   0   1   2   1   1   3   4   1   4  1  5  6   0  1  1   9   7   3   4  45  41    9    0   1   0   1   0  A
   He5    9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Hi3    9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  Kj10    9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ih4    9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ie9    9   RS @CRO   L(81-82)  0  1  2400  10  17   9  15   1   2   6   6   0   0   5   8   4   7  0  7  7   2  0  3  27  16   0  -1  81  82   24    4   0   0   3   0  A
   Jg1    9   RS @CRO   L(81-82)  0  0  1287   3   7   3   6   0   1   0   0   0   0   1   3   2   3  0  7  7   1  1  0   6   2   2  -1  44  45    8    1   1   0   0   0  A
   Ie9   15   RS vWIL  L(89-101)  0  1  2221   4   8   4   8   0   0   3   4   0   0   4   6   0   2  0  5  5   1  1  2  11   8   0 -15  79  94   14    4   1   0   0   2  A
   He5   15   RS vWIL  L(89-101)  0  0   179   1   1   0   0   1   1   0   0   0   0   0   0   0   0  0  1  1   0  3  0   3   0   3   3  10   7    1    0   2   1   0   0  A
   Hi3   15   RS vWIL  L(89-101)  0  0  1621   7  15   5  11   2   4   2   2   0   0   5   7   0   4  1  4  5  10  2  1  18  12   0  -7  65  72   32   16   0   2   1   0  A
  Kj10   15   RS vWIL  L(89-101)  0  0   179   0   1   0   0   0   1   0   0   0   0   0   0   0   0  0  0  0   2  0  0   0   0   0   3  10   7    4    3   0   0   0   0  A
   Ga5   15   RS vWIL  L(89-101)  0  1  2095   2   5   2   5   0   0   3   4   0   0   2   4   0   1  0 10 10   0  2  2   7   7   0 -11  77  88    7    0   1   1   2   0  A
   Fa7   15   RS vWIL  L(89-101)  0  0   179   2   3   2   3   0   0   0   0   0   0   0   0   2   3  1  0  1   0  1  0   4   0   0   3  10   7    3    0   1   0   0   0  A
   Ih4   15   RS vWIL  L(89-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   15   RS vWIL  L(89-101)  0  1  2221   8  17   5   9   3   8   0   0   0   1   4   5   1   4  2  5  7   4  0  0  19   8   0 -15  79  94   25    8   0   0   0   0  A
   Jc4   15   RS vWIL  L(89-101)  0  0   179   1   1   1   1   0   0   1   2   0   0   1   1   0   0  0  0  0   1  0  1   3   3   0   3  10   7    3    1   0   0   1   0  A
   Ec2   15   RS vWIL  L(89-101)  0  0  1200   5  11   5  10   0   1   0   0   0   0   5   7   0   3  2  1  3   0  1  0  10  10   0  -2  50  52   11    0   1   0   0   0  A
   Ej5   15   RS vWIL  L(89-101)  0  1   600   0   4   0   2   0   2   0   0   0   0   0   1   0   1  1  0  1   2  0  0   0   0   0  -8  14  22   11    7   0   0   0   0  A
   Jg1   15   RS vWIL  L(89-101)  0  0   179   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   3  10   7    0    0   0   0   0   0  A
