Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Dj3    2   RS @LAT  L(99-107)  0  1  1819   1  11   0   2   1   9   4   6   0   0   0   0   0   2  1  2  3   8  1  2   7   0   2  -9  77  86   26   13   0   1   0   2  A
   Ge7    2   RS @LAT  L(99-107)  0  1  1608   8  13   6  11   2   2   2   2   1   1   4   6   2   5  1  3  4   0  4  1  20  10   2   1  74  73   14    0   2   2   1   0  S
   Ig2    2   RS @LAT  L(99-107)  0  0   600   3   4   2   3   1   1   2   3   0   0   1   2   1   1  1  1  2   2  0  1   9   2   2  -3  22  25    8    3   0   0   0   1  A
   Ja6    2   RS @LAT  L(99-107)  0  1   907   5   7   5   7   0   0   0   0   0   0   4   5   1   2  1  3  4   1  3  0  10   8   0   6  42  36    8    1   3   0   0   0  A
   Fa3    2   RS @LAT  L(99-107)  0  0   893   3   5   3   5   0   0   1   2   0   0   1   2   2   3  2  2  4   0  3  1   7   3   0 -11  35  46    6    0   2   1   1   0  A
   Hf2    2   RS @LAT  L(99-107)  0  0   413   2   4   2   2   0   2   0   0   0   0   0   0   2   2  0  1  1   1  1  0   4   0   0  -2  15  17    5    1   1   0   0   0  A
   Jj3    2   RS @LAT  L(99-107)  0  0   581   0   3   0   0   0   3   0   0   0   0   0   0   0   0  0  0  0   2  4  0   0   0   0   1  22  21   10    7   1   3   0   0  S
  Ki12    2   RS @LAT  L(99-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Fd1    2   RS @LAT  L(99-107)  0  0   979   2   7   2   4   0   3   3   3   0   0   1   2   1   2  2  4  6   0  1  1   7   2   0 -10  32  42    9    1   1   0   0   1  A
   Ka7    2   RS @LAT  L(99-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
