Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
 5.14 PG1  26    6  WIL  25.0  44.0  31.0 100.0 107.0  98.0  21.0  42.0  64.0  69.0 101.0  28.0   85.0  32.0  34.0  84.0    0 Y11-D20-RSG3
 5.14 PG1  26    6  WIL  25.0  44.0  31.0 100.0 107.0  98.0  21.0  42.0  64.0  69.0 102.0  28.0   85.0  32.0  34.0  84.0    0 Y11-D22-RSG5
 5.14 PG1  26    6  WIL  25.0  44.0  31.0 100.0 104.7  98.0  21.0  42.0  64.0  69.0 102.0  28.0   85.0  32.0  34.0  84.0    0 Y11-D30-RSG13
 5.14 PG1  26    6  WIL  25.0  44.0  31.0 100.0 104.7  98.0  21.0  42.0  64.0  69.0 100.5  28.0   85.0  32.0  34.0  84.0    0 Y11-D31-RSG14
 5.14 PG1  26    6  WIL  25.0  44.0  31.0  98.3 104.7  98.0  21.0  42.0  64.0  69.0 100.5  28.0   85.0  32.0  34.0  84.0    0 Y11-D32-RSG15
 5.14 PG1  26    6  WIL  23.5  44.9  31.6  98.3 104.7  98.0  21.0  42.0  64.0  69.0 100.5  28.0   85.0  32.0  34.0  84.0    0 Y11-D33-RSG16
 5.14 PG1  26    6  WIL  23.5  44.9  31.6  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  28.0   85.0  32.0  32.5  84.0    0 Y11-D38-RSG21
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  22.0  42.0  64.0  69.0  99.5  28.0   85.0  32.0  32.5  84.0    0 Y11-D44-RSG27
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  22.0  42.0  64.0  69.0  99.5  27.0   85.0  32.0  32.5  84.0    0 Y11-D46-RSG29
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  22.0  42.0  64.0  69.0  99.5  28.0   85.0  32.0  32.5  84.0    0 Y11-D52-RSG35
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  22.0  42.0  64.0  69.0  99.5  28.0   85.0  32.0  32.5  82.0   17 Y11-D53-RSG36
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  22.0  42.0  64.0  69.0  99.5  28.0   85.0  32.0  32.5  82.0   15 Y11-D54-RSG37
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  32.5  82.0   15 Y11-D55-RSG38
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  32.5  82.0   13 Y11-D56-RSG39
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  32.5  82.0   11 Y11-D57-RSG40
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  32.5  82.0   10 Y11-D58-RSG41
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  32.5  82.0   10 Y11-D59-RSG42
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  30.6  82.0    9 Y11-D60-RSG43
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  30.6  82.0    8 Y11-D61-RSG44
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  30.6  82.0    7 Y11-D62-RSG45
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  30.6  82.0    6 Y11-D63-RSG46
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  30.6  82.0    4 Y11-D64-RSG47
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  30.6  82.0    3 Y11-D65-RSG48
 5.14 PG1  26    6  WIL  23.4  44.7  31.9  98.3 104.7  98.0  21.0  42.0  64.0  69.0  99.5  26.3   85.0  32.0  30.6  82.0    1 Y11-D66-RSG49
