Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    2   RS @LAT  L(99-107)  0  1  1800   5  14   4   9   1   5   0   0   0   0   1   4   3   5  0  3  3   4  0  0  11   2   0  -5  77  82   30   16   0   0   0   0  A
  11  LAT    4   RS vLAT  W(114-95)  0  1   959   2   8   2   5   0   3   0   0   0   0   1   2   1   3  0  6  6   4  1  0   4   2   2 -15  27  42   15    7   0   1   0   0  A
  11  KEN    8   RS @KEN   W(99-79)  0  1  1471   6  10   2   3   4   7   0   0   0   0   1   1   1   2  1  6  7   5  3  0  16   2   2  13  59  46   17    7   0   3   0   0  A
  11  LAT   12   RS vLAT  L(77-107)  0  1  1834   4  17   3   6   1  11   0   0   0   0   3   4   0   2  1  4  5   6  1  0   9   6   0 -10  58  68   29   12   1   0   0   0  A
  11  HAR   14   RS @HAR   W(91-78)  0  1  1646   3   9   2   5   1   4   1   2   0   0   2   5   0   0  2  6  8   6  2  1   8   4   0  -1  55  56   24   14   1   1   0   1  A
  11  HAR   20   RS vHAR W(112-105)  1  1  2700  12  19   7   9   5  10   0   0   0   0   6   6   1   3  1  7  8   8  2  0  29  12   4   7 112 105   38   19   2   0   0   0  A
  11  KEN   24   RS @KEN L(114-118)  1  1   862   1   5   0   1   1   4   0   0   0   0   0   1   0   0  0  0  0   2  2  0   3   0   3 -10  35  45   10    5   0   2   0   0  A
  11  QUE   28   RS vQUE  W(119-97)  0  1  2094   8  15   4   5   4  10   2   3   0   0   4   5   0   0  0  5  5   8  2  1  22   8   0  21 106  85   36   20   1   1   0   1  A
  11  WIL   35   RS @WIL   L(70-95)  0  1  1800   7  12   5   7   2   5   1   2   0   0   5   6   0   1  0  3  3   2  1  1  17  10   2 -27  50  77   25   12   1   0   0   1  A
  11  WIL   36   RS vWIL  W(111-94)  0  1  1200   2   9   2   3   0   6   1   2   0   0   2   3   0   0  0  3  3   4  0  1   5   5   0   5  51  46   19    9   0   0   1   0  A
  11  BRE   37   RS @BRE  W(111-86)  0  1  2153  12  19  10  13   2   6   6   6   0   0   7   9   3   4  2  6  8   8  1  2  32  14   4  18 100  82   36   15   0   1   0   2  A
  11  HAR   44   RS vHAR  W(109-94)  0  1  2158  10  17   6   9   4   8   6   9   0   0   2   4   4   5  0  9  9   7  2  4  30   7   5  22 103  81   33   12   1   1   2   2  A
