Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    8   RS vRAY   L(79-99)  0  1  2191   4  12   4  11   0   1   0   2   0   0   3   6   1   5  3  7 10   4  0  1   8   6   0 -17  73  90   19    6   0   0   0   1  A
  11  HAR   16   RS vHAR  W(101-85)  0  1  1314  10  14  10  14   0   0   0   0   0   0   7   8   3   6  2  6  8   1  3  0  20  14   4  16  55  39   16    2   3   0   0   0  A
  11  HAR   22   RS @HAR   L(92-99)  0  1  1986   9  14   9  14   0   0   0   2   1   1   8  10   1   4  4 10 14   0  2  1  18  16   4  -6  75  81   16    1   2   0   1   0  A
  11  RAY   24   RS vRAY W(118-114)  1  1   740   4   6   4   6   0   0   0   0   1   1   2   3   2   3  1  1  2   0  4  0   8   4   4   6  34  28    6    0   4   0   0   0  A
  11  WIL   27   RS @WIL  L(79-113)  0  1  1451   0   4   0   3   0   1   3   4   0   1   0   3   0   0  2  2  4   0  1  2   3   1   0 -31  44  75    8    2   1   0   1   1  A
  11  WIL   32   RS vWIL  L(91-108)  0  1  2400   4  11   4  11   0   0   6   6   0   0   3   6   1   5  1 14 15   0  1  3  14  10   0 -17  91 108   18    4   1   0   2   1  A
  11  QUE   39   RS @QUE   L(88-97)  0  1  2400  10  22  10  22   0   0   3   6   0   1   8  16   2   6  9  8 17   2  0  3  23  18   3  -9  88  97   29    4   0   0   2   1  A
  11  BRE   40   RS vBRE   W(92-84)  0  1  2367   8  15   8  14   0   1   2   2   0   0   5  11   3   3  2 10 12   2  1  1  18  12   0   7  88  81   19    3   1   0   1   0  A
  11  LAT   42   RS @LAT   W(98-75)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  HAR   48   RS vHAR  W(114-95)  0  1  1996   8  12   8  11   0   1   2   2   2   2   5   8   3   3  3  9 12   0  2  1  18  12   6  25  97  72   13    0   1   1   1   0  A
