Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    3   RS vBRE   W(93-74)  0  1  1334   3   5   3   5   0   0   6   6   0   0   2   2   1   3  3  2  5   0  3  3  12   8   0  12  52  40    9    1   3   0   2   1  A
  11  CRO   11   RS vCRO  W(110-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   13   RS @BRE  L(99-111)  0  1  1695   8  14   8  13   0   1   0   0   1   1   6   9   2   4  4  6 10   3  3  0  16  12   4  -9  70  79   18    4   3   0   0   0  A
  11  QUE   15   RS @QUE  W(101-89)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   19   RS vBRE L(107-108)  0  0  2205   7  18   7  17   0   1   2   2   0   0   6  11   1   6  2  8 10   3  1  1  16  12   2   6 103  97   23    4   0   1   0   1  A
  11  KEN   27   RS vKEN  W(113-79)  0  0   854   4   8   4   8   0   0   0   0   0   0   4   6   0   2  2  3  5   0  2  0   8   8   0   6  36  30    8    0   2   0   0   0  A
  11  KEN   32   RS @KEN  W(108-91)  0  0   340   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  0  0   1  0  0   0   0   0  -1  12  13    2    1   0   0   0   0  A
  11  RAY   35   RS vRAY   W(95-70)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   36   RS @RAY  L(94-111)  0  0   839   6   7   6   7   0   0   0   0   1   1   5   6   1   1  1  1  2   0  0  0  12  10   4  -6  33  39    8    1   0   0   0   0  A
  11  CRO   41   RS @CRO   L(74-77)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   43   RS vCRO L(101-111)  0  0   675   0   2   0   2   0   0   0   0   0   0   0   1   0   1  1  2  3   0  0  0   0   0   0 -11  15  26    4    2   0   0   0   0  A
  11  BRE   45   RS @BRE   W(82-81)  0  0   140   1   2   1   2   0   0   0   0   0   0   1   1   0   1  0  1  1   0  0  0   2   2   2   3   5   2    2    0   0   0   0   0  A
  11  CRO   49   RS @CRO   L(84-85)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
