Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    3   RS vBRE   W(93-74)  0  0  1547   5   6   4   5   1   1   1   5   0   0   2   3   2   2  1  2  3   5  1  2  12   4   0  18  65  47   19   11   0   1   0   2  A
  11  CRO   11   RS vCRO  W(110-95)  0  0   937   4   6   2   3   2   3   0   0   0   0   1   1   1   2  0  6  6   3  0  0  10   2   2  12  47  35   12    6   0   0   0   0  A
  11  BRE   13   RS @BRE  L(99-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   15   RS @QUE  W(101-89)  0  1  2035  12  18   9  11   3   7   0   0   2   2   5   6   4   5  2  5  7   6  0  0  27  10   4  22  92  70   33   15   0   0   0   0  A
  11  BRE   19   RS vBRE L(107-108)  0  1  2400  10  15   5   7   5   8   0   0   1   1   3   4   2   3  5  2  7   4  2  0  25   6   2  -1 107 108   35   20   0   2   0   0  A
  11  KEN   27   RS vKEN  W(113-79)  0  1  1451   7   8   6   7   1   1   0   0   0   0   4   5   2   2  1  3  4   7  1  0  15   8   2  31  75  44   17    9   0   1   0   0  A
  11  KEN   32   RS @KEN  W(108-91)  0  1  2060  11  15  10  13   1   2   0   0   0   0   4   4   6   9  1  3  4   4  0  0  23   8   0  18  96  78   33   18   0   0   0   0  A
  11  RAY   35   RS vRAY   W(95-70)  0  1  2118   6  13   6  12   0   1   2   2   1   1   4   6   2   6  4  7 11   7  1  1  14   8   4  18  81  63   27   13   0   1   0   1  A
  11  RAY   36   RS @RAY  L(94-111)  0  1  2260   6  14   5  11   1   3   0   0   0   0   1   2   4   9  1  2  3   6  2  0  13   2   0 -26  83 109   32   18   1   1   0   0  A
  11  CRO   41   RS @CRO   L(74-77)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  CRO   43   RS vCRO L(101-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  BRE   45   RS @BRE   W(82-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  CRO   49   RS @CRO   L(84-85)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
