Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  1  2400   9  15   8  14   1   1  13  16   0   0   6   8   2   6  5  9 14   0  1  8  32  24   4   8 107  99   23    0   1   0   7   1  A
  11  RAY    4   RS @RAY  L(95-114)  0  1  2289   7  16   6  14   1   2   4   6   1   1   5  11   1   3  5  7 12   0  1  3  19  14   5 -17  91 108   19    0   1   0   3   0  A
  11  HAR    6   RS @HAR   L(65-96)  0  1  1800   4  10   4  10   0   0   2   6   0   0   3   7   1   3  0  9  9   0  0  3  10   8   0 -29  48  77   13    0   0   0   3   0  A
  11  HAR   10   RS vHAR   L(86-90)  0  1  2386   6  15   6  14   0   1   0   0   1   2   6   9   0   5  5 11 16   0  0  0  12  12   2  -2  86  88   15    0   0   0   0   0  A
  11  RAY   12   RS @RAY  W(107-77)  0  1  1614   2   9   2   8   0   1   3   6   0   0   1   5   1   3  1 11 12   0  0  3   7   5   2  11  64  53   12    0   0   0   3   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  1  2376  13  21  13  20   0   1   6   8   4   4  10  16   3   4  7 10 17   1  2  4  32  26   8   4  89  85   26    1   2   0   4   0  A
  11  QUE   26   RS vQUE  W(105-96)  0  1  1410   2   4   2   4   0   0   3   4   1   1   1   2   1   2  1  8  9   1  4  2   7   5   4  13  67  54    7    1   3   1   2   0  A
  11  BRE   29   RS @BRE  L(87-109)  0  1  1435   3  10   3  10   0   0   4   4   0   0   2   6   1   4  1  8  9   0  3  2  10   8   4  -6  56  62   12    0   3   0   2   0  A
  11  CRO   33   RS @CRO   L(76-99)  0  1  1995   8  12   8  10   0   2   5   8   0   0   7   9   1   1  3  5  8   1  1  4  21  17   3 -22  62  84   18    2   1   0   3   1  A
  11  BRE   34   RS vBRE L(100-102)  0  1  1131   4  13   4  13   0   0   6   6   1   2   3  10   1   3  2  4  6   1  1  3  14  12   4  -5  49  54   17    1   0   1   3   0  A
  11  KEN   42   RS vKEN   L(75-98)  0  1  2156  11  23  11  23   0   0   0   2   1   1   5  14   6   9  2  9 11   1  1  1  22  10   6 -21  67  88   25    1   1   0   1   0  A
  11  HAR   46   RS @HAR  W(100-92)  0  1  2400   8  18   7  17   1   1   1   2   0   0   5  12   2   5  2 12 14   0  3  1  18  10   2   8 100  92   19    0   2   1   0   1  A
