Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    7   RS vBRE  W(102-96)  0  1   608   1   1   1   1   0   0   0   0   0   0   1   1   0   0  1  2  3   0  3  0   2   2   0 -12  22  34    1    0   2   1   0   0  A
  11  CRO    9   RS @CRO   L(81-82)  0  1  2400   7  15   7  13   0   2   1   4   0   0   6  10   1   3  3  8 11   0  1  2  15  13   0  -1  81  82   17    0   0   1   1   1  A
  11  WIL   15   RS vWIL  L(89-101)  0  1  2095   2   5   2   5   0   0   3   4   0   0   2   4   0   1  0 10 10   0  2  2   7   7   0 -11  77  88    7    0   1   1   2   0  A
  11  BRE   21   RS @BRE  W(106-97)  0  1   941   3   4   3   4   0   0   0   2   0   0   1   2   2   2  0  3  3   0  3  1   6   2   4   0  42  42    5    0   2   1   1   0  A
  11  CRO   23   RS vCRO L(119-120)  1  1  2182   7  13   7  13   0   0   3   4   1   2   6   9   1   4  5  9 14   1  4  2  17  15   3   2  89  87   17    2   3   1   2   0  A
  11  LAT   26   RS @LAT  L(96-105)  0  1  2400   3   6   3   4   0   2   8  13   1   1   2   3   1   1  9 10 19   0  1  6  14   9   4  -9  96 105   12    0   1   0   4   2  A
  11  RAY   28   RS @RAY  L(97-119)  0  0  1494   4   5   4   5   0   0   0   0   0   0   2   2   2   3  2  5  7   1  1  0   8   4   0 -17  66  83    6    1   1   0   0   0  A
  11  HAR   31   RS vHAR   L(90-96)  0  1  2400   6  12   6  10   0   2   2   2   2   2   5   7   1   3  4  9 13   1  1  1  14  12   8  -6  90  96   14    1   1   0   1   0  A
  11  HAR   38   RS @HAR  L(83-105)  0  1  1800   3  10   3  10   0   0   0   0   0   0   3   8   0   2  2  5  7   0  0  0   6   6   2 -18  62  80   10    0   0   0   0   0  A
  11  KEN   39   RS vKEN   W(97-88)  0  1   993   4   6   4   5   0   1   0   0   1   1   3   3   1   2  1  6  7   0  3  0   8   6   2  17  49  32    6    0   2   1   0   0  A
  11  BRE   47   RS vBRE   L(86-94)  0  1  2400   7  13   6  11   1   2   7  10   0   0   6  10   0   1  3 14 17   1  0  5  22  19   0  -8  86  94   19    1   0   0   5   0  A
