Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    6   RS vLAT   W(96-65)  0  0   600   1   3   1   1   0   2   0   0   0   0   1   1   0   0  1  1  2   0  0  0   2   2   2   2  19  17    3    0   0   0   0   0  A
  11  LAT   10   RS @LAT   W(90-86)  0  0  1200   4  10   4  10   0   0   0   0   0   0   4   6   0   4  1  5  6   0  0  0   8   8   2   0  45  45   10    0   0   0   0   0  A
  11  RAY   14   RS vRAY   L(78-91)  0  0   408   2   4   2   4   0   0   2   2   0   0   2   3   0   1  0  4  4   0  0  1   6   6   0  -2  15  17    5    0   0   0   1   0  A
  11  KEN   16   RS @KEN  L(85-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  LAT   18   RS @LAT   L(88-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  RAY   20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  CRO   25   RS @CRO  W(101-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  BRE   30   RS vBRE   W(91-77)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   31   RS @QUE   W(96-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   38   RS vQUE  W(105-83)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   44   RS @RAY  L(94-109)  0  0   315   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   4  16  12    1    1   0   0   0   0  A
  11  LAT   46   RS vLAT  L(92-100)  0  0  1404   4   6   3   5   1   1   3   4   0   0   3   5   0   0  1  5  6   0  2  2  12   8   0  -3  63  66    8    0   0   2   1   1  A
  11  KEN   48   RS @KEN  L(95-114)  0  0   404   2   3   2   3   0   0   0   0   0   0   2   3   0   0  0  3  3   0  0  0   4   4   0   6  23  17    3    0   0   0   0   0  A
