Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    8   RS vRAY   L(79-99)  0  1   958   3   9   3   7   0   2   2   2   0   0   3   6   0   1  1  4  5   0  1  1   8   6   0  -6  36  42   10    0   1   0   0   1  A
  11  HAR   16   RS vHAR  W(101-85)  0  1  2078   5   7   3   4   2   3   0   0   0   0   3   3   0   1  2  7  9   1  3  0  12   6   2  21  92  71   10    3   2   1   0   0  A
  11  HAR   22   RS @HAR   L(92-99)  0  1  1042   2   7   1   3   1   4   3   3   0   0   0   2   1   1  1  4  5   0  0  1   8   0   0  -7  36  43   10    2   0   0   0   1  A
  11  RAY   24   RS vRAY W(118-114)  1  1  2246  11  23   9  17   2   6   6   6   1   2   7  14   2   3  4  3  7   0  1  3  30  16   6  12 102  90   26    0   1   0   1   2  A
  11  WIL   27   RS @WIL  L(79-113)  0  1  1451   3  11   3   9   0   2   0   0   0   0   2   4   1   5  1  2  3   1  1  0   6   4   0 -31  44  75   13    2   0   1   0   0  A
  11  WIL   32   RS vWIL  L(91-108)  0  1  1166   3   9   1   6   2   3   2   2   0   0   1   3   0   3  2  2  4   1  0  1  10   4   3  -5  45  50   11    1   0   0   1   0  A
  11  QUE   39   RS @QUE   L(88-97)  0  1   804   1   5   0   1   1   4   2   3   0   0   0   1   0   0  0  2  2   1  0  1   5   0   0 -19  23  42    7    1   0   0   0   1  A
  11  BRE   40   RS vBRE   W(92-84)  0  1  1833   1   7   1   4   0   3   0   0   0   0   1   3   0   1  2  5  7   1  0  0   2   2   0   3  64  61   10    3   0   0   0   0  A
  11  LAT   42   RS @LAT   W(98-75)  0  1   600   1   3   1   1   0   2   0   0   0   0   1   1   0   0  0  1  1   0  0  0   2   2   0 -11  14  25    3    0   0   0   0   0  A
  11  HAR   48   RS vHAR  W(114-95)  0  1   600   0   4   0   2   0   2   2   2   0   0   0   1   0   1  1  0  1   0  1  1   2   2   0   5  21  16    5    0   0   1   1   0  A
