Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    6   RS vLAT   W(96-65)  0  1  1044   3   7   3   6   0   1   0   0   1   1   3   4   0   2  1  6  7   0  2  0   6   6   2  20  49  29    8    1   1   1   0   0  A
  11  LAT   10   RS @LAT   W(90-86)  0  1  2400   6  16   4  10   2   6   2   4   1   3   2   6   2   4  6 10 16   1  1  2  16   4   3   4  90  86   19    1   1   0   0   2  A
  11  RAY   14   RS vRAY   L(78-91)  0  1  2400   4   9   2   6   2   3   2   2   0   0   1   5   1   1  2  4  6   2  2  1  12   4   0 -13  78  91   14    4   2   0   1   0  A
  11  KEN   16   RS @KEN  L(85-101)  0  1  2078   3   7   2   4   1   3   0   2   0   0   1   3   1   1  1  4  5   0  1  1   7   2   0 -21  71  92    9    1   0   1   1   0  A
  11  LAT   18   RS @LAT   L(88-91)  0  1  2400   6  15   5  10   1   5   0   0   1   1   3   3   2   7  2  6  8   0  0  0  13   6   6  -3  88  91   15    0   0   0   0   0  A
  11  RAY   20   RS @RAY L(105-112)  1  1  2700  10  19   8  13   2   6   3   7   0   1   7   9   1   4  4 11 15   0  3  3  25  14   1  -7 105 112   24    2   1   2   1   2  A
  11  KEN   22   RS vKEN   W(99-92)  0  1  2233   3  11   3   8   0   3   2   2   1   1   2   4   1   4  4  7 11   1  0  1   8   6   4   8  94  86   13    1   0   0   1   0  A
  11  CRO   25   RS @CRO  W(101-92)  0  1  2400   6  13   5   8   1   5   3   7   0   0   2   4   3   4  1 11 12   0  1  3  16   4   0   9 101  92   16    0   1   0   2   1  A
  11  BRE   30   RS vBRE   W(91-77)  0  1   600   1   3   1   3   0   0   0   0   0   0   1   2   0   1  0  1  1   0  0  0   2   2   2   4  20  16    4    1   0   0   0   0  A
  11  QUE   31   RS @QUE   W(96-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   38   RS vQUE  W(105-83)  0  1  1800   9  18   7  12   2   6   5   6   1   1   7   9   0   3  2  3  5   1  0  2  25  14   2  18  80  62   23    3   0   0   0   2  A
  11  RAY   44   RS @RAY  L(94-109)  0  1  1843   5  10   4   7   1   3   0   0   1   1   3   5   1   2  2  3  5   0  1  0  11   6   2 -26  65  91   10    0   0   1   0   0  A
  11  LAT   46   RS vLAT  L(92-100)  0  1  1587   3   7   2   5   1   2   0   0   0   1   1   2   1   3  2  0  2   1  2  0   7   2   2 -19  45  64    9    2   1   1   0   0  A
  11  KEN   48   RS @KEN  L(95-114)  0  1  1200   5   8   4   7   1   1   2   2   0   1   2   4   2   3  2  3  5   0  0  1  13   4   0  -8  50  58    9    0   0   0   0   1  A
