Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    3   RS vBRE   W(93-74)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  CRO   11   RS vCRO  W(110-95)  0  1  2400  11  17  11  17   0   0   4   4   0   2   8  14   3   3  2  5  7   1  0  2  26  20   4  15 110  95   21    2   0   0   2   0  A
  11  BRE   13   RS @BRE  L(99-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   15   RS @QUE  W(101-89)  0  1  2400   6  13   6  13   0   0   7   8   0   0   4   9   2   4  2  7  9   2  1  4  19  15   0  12 101  89   21    4   1   0   4   0  A
  11  BRE   19   RS vBRE L(107-108)  0  1   785   4  13   4  13   0   0   2   2   0   2   1   7   3   6  2  5  7   0  0  1  10   4   0   8  32  24   14    0   0   0   1   0  A
  11  KEN   27   RS vKEN  W(113-79)  0  1  1451   5  10   5  10   0   0   2   2   0   0   3   6   2   4  1 10 11   1  0  1  12   8   0  31  75  44   12    1   0   0   1   0  A
  11  KEN   32   RS @KEN  W(108-91)  0  1  2060  12  18  12  18   0   0   2   4   1   1   8   9   4   9  1  9 10   3  3  2  26  18   2  18  96  78   24    4   2   1   2   0  A
  11  RAY   35   RS vRAY   W(95-70)  0  1  1800   7  13   7  13   0   0   1   4   1   1   6  11   1   2  4  6 10   0  0  2  15  13   3  27  77  50   16    1   0   0   2   0  A
  11  RAY   36   RS @RAY  L(94-111)  0  1  2115   8  17   8  17   0   0   6   6   0   0   7  11   1   6  2  3  5   0  4  3  22  20   0 -11  83  94   20    0   2   2   3   0  A
  11  CRO   41   RS @CRO   L(74-77)  0  1  2400   6  12   6  11   0   1   8  14   1   1   5   8   1   3  3 10 13   3  1  7  20  18   7  -3  74  77   26    7   1   0   7   0  A
  11  CRO   43   RS vCRO L(101-111)  0  1  1443   4  12   4  12   0   0   0   0   1   2   4   9   0   3  3  4  7   1  2  0   8   8   2 -15  56  71   16    4   2   0   0   0  A
  11  BRE   45   RS @BRE   W(82-81)  0  1  2400  11  20  11  20   0   0   0   0   0   2   9  16   2   4  5  6 11   0  0  0  22  18   4   1  82  81   22    2   0   0   0   0  A
  11  CRO   49   RS @CRO   L(84-85)  0  1  2400   5  14   5  14   0   0  15  20   0   0   4  11   1   3  1  7  8   0  3 10  25  23   1  -1  84  85   25    1   0   3  10   0  A
