Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    1   RS vBRE  W(105-97)  0  1  2359  11  20  10  16   1   4   2   3   0   0   3   4   7  12  3  4  7   2  3  1  25   6   2   8 105  97   24    3   2   1   0   1  A
  11  BRE    5   RS @BRE   L(70-94)  0  1   966   2   7   2   6   0   1   2   3   0   0   2   2   0   4  0  1  1   1  1  1   6   4   0 -21  29  50   10    2   0   1   0   1  A
  11  QUE    9   RS vQUE   W(82-81)  0  1  1750   4  13   4  12   0   1   0   0   1   1   1   3   3   9  3  5  8   2  2  0   8   2   2  -6  52  58   17    4   2   0   0   0  A
  11  WIL   11   RS @WIL  L(95-110)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   17   RS vBRE L(100-105)  0  1  2400  10  15  10  14   0   1   4   6   0   0   3   4   7  10  3  4  7   2  3  3  24   6   2  -5 100 105   22    4   2   1   0   3  A
  11  QUE   23   RS @QUE W(120-119)  1  1   847   1   6   1   5   0   1   0   0   0   0   0   1   1   4  2  6  8   0  0  0   2   0   0  -3  27  30    6    0   0   0   0   0  A
  11  HAR   25   RS vHAR  L(92-101)  0  0  1469   3   7   3   6   0   1   0   0   0   0   0   0   3   6  1  2  3   2  1  0   6   0   0  -2  57  59    9    2   0   1   0   0  A
  11  LAT   33   RS vLAT   W(99-76)  0  0   600   2   4   2   4   0   0   5   8   0   0   1   1   1   3  0  4  4   0  0  4   9   2   0   0  24  24    8    0   0   0   0   4  A
  11  WIL   41   RS vWIL   W(77-74)  0  0   948   2   5   2   4   0   1   2   2   0   1   1   3   1   1  4  4  8   1  3  1   6   4   0   7  31  24    8    2   3   0   1   0  A
  11  WIL   43   RS @WIL W(111-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   49   RS vWIL   W(85-84)  0  0  1389   3   6   2   4   1   2   4   6   0   0   0   0   2   4  1  4  5   2  4  3  11   0   0   4  51  47   11    2   4   0   1   2  A
