Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    3   RS vBRE   W(93-74)  0  1  2400   6  11   6  10   0   1   5   6   0   0   6   9   0   1  3 11 14   1  1  3  17  17   4  19  93  74   16    2   0   1   3   0  A
  11  CRO   11   RS vCRO  W(110-95)  0  1  2400   6  12   6  11   0   1   3   4   0   0   6  11   0   0  4 10 14   0  2  2  15  15   0  15 110  95   14    0   2   0   2   0  A
  11  BRE   13   RS @BRE  L(99-111)  0  1  2400   9  15   9  15   0   0   4   4   0   0   9  15   0   0  1  7  8   0  0  2  22  22   2 -12  99 111   17    0   0   0   2   0  A
  11  QUE   15   RS @QUE  W(101-89)  0  1  2400  10  16  10  16   0   0   5   6   0   1   9  15   1   1  4 11 15   0  2  3  25  23   2  12 101  89   20    1   2   0   3   0  A
  11  BRE   19   RS vBRE L(107-108)  0  1   742   4   5   4   5   0   0   1   2   0   0   4   5   0   0  0  4  4   0  3  1   9   9   0  -6  29  35    6    0   2   1   1   0  A
  11  KEN   27   RS vKEN  W(113-79)  0  1  1380   7   9   7   9   0   0   5   8   1   1   7   9   0   0  1  5  6   0  3  4  19  19   2  24  71  47   15    2   2   1   4   0  A
  11  KEN   32   RS @KEN  W(108-91)  0  1  2060  11  17  11  17   0   0   4   6   0   0  11  17   0   0  3  8 11   0  1  3  26  26   3  18  96  78   20    0   1   0   3   0  A
  11  RAY   35   RS vRAY   W(95-70)  0  1  1800  11  16  11  16   0   0   6   8   0   1  11  15   0   1  1  8  9   1  1  4  28  28   5  27  77  50   21    1   0   1   4   0  A
  11  RAY   36   RS @RAY  L(94-111)  0  1  1454   5   8   5   8   0   0   2   2   1   1   5   7   0   1  4  5  9   2  4  1  12  12   6  -5  59  64   12    3   3   1   1   0  A
  11  CRO   41   RS @CRO   L(74-77)  0  1  2400   5  13   4  11   1   2   3   4   0   1   4  11   0   0  3 11 14   2  1  2  14  11   0  -3  74  77   18    3   1   0   2   0  A
  11  CRO   43   RS vCRO L(101-111)  0  1  1725   9  11   9  11   0   0   5   6   1   1   9  11   0   0  2  4  6   0  3  3  23  23   3   1  86  85   14    0   0   3   3   0  A
  11  BRE   45   RS @BRE   W(82-81)  0  1  1972   3   9   3   9   0   0   4   4   0   1   3   9   0   0  2  5  7   0  2  2  10  10   0 -10  63  73   14    3   2   0   2   0  A
  11  CRO   49   RS @CRO   L(84-85)  0  1  2400   5  10   5  10   0   0   4   6   0   0   4   9   1   1  0 13 13   1  2  3  14  12   4  -1  84  85   16    3   0   2   3   0  A
