Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    2   RS @LAT  L(99-107)  0  0   600   3   4   2   3   1   1   2   3   0   0   1   2   1   1  1  1  2   2  0  1   9   2   2  -3  22  25    8    3   0   0   0   1  A
  11  LAT    4   RS vLAT  W(114-95)  0  0  1441   3   5   3   4   0   1   0   0   0   0   2   2   1   2  1  2  3  10  1  0   6   4   0  34  87  53   22   17   1   0   0   0  A
  11  KEN    8   RS @KEN   W(99-79)  0  0   209   3   3   2   2   1   1   0   0   0   0   1   1   1   1  0  0  0   0  0  0   7   2   0   3   9   6    4    1   0   0   0   0  A
  11  LAT   12   RS vLAT  L(77-107)  0  0   209   1   1   1   1   0   0   0   0   0   0   0   0   1   1  0  1  1   0  0  0   2   0   0  -8   6  14    2    1   0   0   0   0  A
  11  HAR   14   RS @HAR   W(91-78)  0  0   600   3   3   2   2   1   1   2   2   0   0   2   2   0   0  0  4  4   1  0  1   9   6   0  12  29  17    7    3   0   0   1   0  A
  11  HAR   20   RS vHAR W(112-105)  1  0   801   3   7   2   3   1   4   3   4   0   0   2   2   0   1  0  4  4   2  0  2  10   4   0   5  36  31   14    5   0   0   0   2  A
  11  KEN   24   RS @KEN L(114-118)  1  0   875   5   7   5   6   0   1   3   3   0   0   4   5   1   1  0  3  3   3  0  1  13   8   0  11  44  33   14    6   0   0   0   1  A
  11  QUE   28   RS vQUE  W(119-97)  0  0   520   2   4   2   4   0   0   3   3   0   0   2   3   0   1  0  2  2   0  0  1   7   4   0   8  22  14    5    0   0   0   0   1  A
  11  WIL   35   RS @WIL   L(70-95)  0  0  1103   2  11   2   7   0   4   1   2   0   1   1   3   1   4  2  2  4   2  1  1   5   3   0   1  36  35   18    6   1   0   1   0  A
  11  WIL   36   RS vWIL  W(111-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   37   RS @BRE  W(111-86)  0  0  1232   6  13   4   8   2   5   4   4   0   1   2   4   2   4  2  4  6   2  0  2  18   8   4  11  54  43   21    6   0   0   2   0  A
  11  HAR   44   RS vHAR  W(109-94)  0  0   322   0   3   0   1   0   2   0   0   0   0   0   1   0   0  0  2  2   1  0  0   0   0   0  -6   9  15    4    1   0   0   0   0  A
