Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    2   RS @LAT  L(99-107)  0  1   907   5   7   5   7   0   0   0   0   0   0   4   5   1   2  1  3  4   1  3  0  10   8   0   6  42  36    8    1   3   0   0   0  A
  11  LAT    4   RS vLAT  W(114-95)  0  1  2289  11  17  11  17   0   0   0   0   1   1   9  14   2   3  3  7 10   2  0  0  22  18   2  17 108  91   21    4   0   0   0   0  A
  11  KEN    8   RS @KEN   W(99-79)  0  1  1558   3   9   3   8   0   1   0   0   0   0   3   6   0   2  1  6  7   0  0  0   6   6   0   7  62  55   11    2   0   0   0   0  A
  11  LAT   12   RS vLAT  L(77-107)  0  1  2191   8  13   8  12   0   1   0   0   0   0   8  11   0   1  0  7  7   1  1  0  16  16   2 -22  71  93   17    4   1   0   0   0  A
  11  HAR   14   RS @HAR   W(91-78)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  HAR   20   RS vHAR W(112-105)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  KEN   24   RS @KEN L(114-118)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   28   RS vQUE  W(119-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  WIL   35   RS @WIL   L(70-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  WIL   36   RS vWIL  W(111-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  BRE   37   RS @BRE  W(111-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  HAR   44   RS vHAR  W(109-94)  0  1  1474   9  15   9  14   0   1   0   0   1   1   8  10   1   4  3  4  7   1  2  0  18  16   2  14  73  59   17    2   2   0   0   0  A
