Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  0    19   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   4   4   0    0    0   0   0   0   0  A
  11  RAY    4   RS @RAY  L(95-114)  0  0   651   0   5   0   4   0   1   2   2   0   0   0   1   0   3  0  2  2   2  0  1   2   0   0 -14  23  37   10    4   0   0   0   1  A
  11  HAR    6   RS @HAR   L(65-96)  0  0  1481   2  10   1   4   1   6   0   0   0   0   0   0   1   4  1  1  2   5  0  0   5   0   3 -11  40  51   23   13   0   0   0   0  A
  11  HAR   10   RS vHAR   L(86-90)  0  0  1211   4  10   2   6   2   4   2   2   0   0   0   1   2   5  0  3  3   5  2  1  12   0   0   2  45  43   18    7   2   0   0   1  A
  11  RAY   12   RS @RAY  W(107-77)  0  0   186   2   2   1   1   1   1   0   0   0   0   0   0   1   1  0  0  0   1  0  0   5   0   0  10  14   4    3    1   0   0   0   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  0    24   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0  -1   2   3    0    0   0   0   0   0  A
  11  QUE   26   RS vQUE  W(105-96)  0  1  2400  12  20   8  14   4   6   2   3   1   1   1   1   7  13  1  4  5  14  1  1  30   2   2   9 105  96   47   26   1   0   0   1  A
  11  BRE   29   RS @BRE  L(87-109)  0  1  2067   5  15   3   9   2   6   0   0   0   0   0   2   3   7  1  1  2  10  1  0  12   0   3 -13  74  87   33   18   0   1   0   0  A
  11  CRO   33   RS @CRO   L(76-99)  0  0   907   1   7   1   5   0   2   0   0   0   0   1   2   0   3  1  2  3   6  2  0   2   2   0  -2  32  34   16    9   0   2   0   0  A
  11  BRE   34   RS vBRE L(100-102)  0  0   952   3   4   3   3   0   1   6   6   0   0   0   0   3   3  0  0  0   5  1  2  12   0   0   8  39  31   18   12   1   0   0   2  A
  11  KEN   42   RS vKEN   L(75-98)  0  0  1001   1   3   1   2   0   1   0   0   0   0   0   1   1   1  0  2  2   4  0  0   2   0   0 -13  28  41   14   11   0   0   0   0  A
  11  HAR   46   RS @HAR  W(100-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
