Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  CRO    1   RS @CRO  L(97-105)  0  1  1618   1   2   1   2   0   0   0   0   0   0   1   1   0   1  0  0  0  12  0  0   2   2   0  -9  63  72   25   23   0   0   0   0  A
  11  WIL    3   RS @WIL   L(74-93)  0  1  1548   0   3   0   1   0   2   1   2   0   0   0   1   0   0  1  0  1  11  0  1   1   1   1 -15  44  59   30   26   0   0   1   0  A
  11  CRO    5   RS vCRO   W(94-70)  0  1  1800   2   3   1   2   1   1   0   0   0   0   0   0   1   2  2  2  4  17  2  0   5   0   0  28  80  52   34   31   1   1   0   0  A
  11  QUE    7   RS @QUE  L(96-102)  0  1   870   2   5   0   1   2   4   3   3   0   0   0   1   0   0  0  0  0   2  0  1   9   0   0  -2  40  42   17   11   0   0   0   1  A
  11  WIL   13   RS vWIL  W(111-99)  0  1  2400   1   4   0   2   1   2   0   0   0   0   0   0   0   2  2  0  2  25  1  0   3   0   3  12 111  99   52   48   0   1   0   0  A
  11  CRO   17   RS @CRO W(105-100)  0  1  2355   5  11   2   6   3   5   1   2   0   0   0   1   2   5  2  1  3  12  0  1  14   0   2   9 103  94   42   30   0   0   0   1  A
  11  WIL   19   RS @WIL W(108-107)  0  1  2370   1   3   0   1   1   2   0   0   0   1   0   1   0   0  2  2  4  20  0  0   3   0   0   8 103  95   43   40   0   0   0   0  A
  11  QUE   21   RS vQUE  L(97-106)  0  1  2400   0   3   0   2   0   1   0   0   0   0   0   0   0   2  1  1  2  12  0  0   0   0   0  -9  97 106   40   37   0   0   0   0  A
  11  LAT   29   RS vLAT  W(109-87)  0  1  2187   1   1   1   1   0   0   3   3   1   1   1   1   0   0  2  3  5  15  0  1   5   2   5  15  93  78   35   33   0   0   0   1  A
  11  HAR   30   RS @HAR   L(77-91)  0  1  1039   1   4   1   3   0   1   0   0   0   0   0   0   1   3  0  2  2   4  3  0   2   0   0 -15  27  42   15   11   1   2   0   0  A
  11  LAT   34   RS @LAT W(102-100)  0  1  2366   4   7   2   5   2   2   0   0   0   1   0   2   2   3  1  2  3  18  1  0  10   0   0   5  99  94   42   35   1   0   0   0  A
  11  RAY   37   RS vRAY  L(86-111)  0  1  2153   1   1   0   0   1   1   3   3   0   0   0   0   0   0  0  1  1   8  0  1   6   0   3 -18  82 100   31   29   0   0   0   1  A
  11  KEN   40   RS @KEN   L(84-92)  0  1  2400   0   3   0   1   0   2   0   0   0   0   0   1   0   0  1  2  3  16  3  0   0   0   0  -8  84  92   39   36   0   3   0   0  A
  11  WIL   45   RS vWIL   L(81-82)  0  1  2400   1   4   1   3   0   1   0   0   0   0   0   0   1   3  1  4  5  17  0  0   2   0   0  -1  81  82   40   36   0   0   0   0  A
  11  QUE   47   RS @QUE   W(94-86)  0  1  2357   0   4   0   1   0   3   0   0   0   0   0   0   0   1  3  2  5  14  0  0   0   0   0   4  87  83   34   30   0   0   0   0  A
