Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY    4   RS @RAY  L(95-114)  0  0   111   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   0  0  0   0   0   0  -2   4   6    1    0   0   0   0   0  A
  11  HAR    6   RS @HAR   L(65-96)  0  0   600   2   4   2   4   0   0   0   0   0   0   2   4   0   0  0  3  3   0  1  0   4   4   0  -2  17  19    4    0   1   0   0   0  A
  11  HAR   10   RS vHAR   L(86-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   12   RS @RAY  W(107-77)  0  0   186   1   1   1   1   0   0   0   0   0   0   0   0   1   1  0  2  2   0  0  0   2   0   0  10  14   4    1    0   0   0   0   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   26   RS vQUE  W(105-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   29   RS @BRE  L(87-109)  0  0   358   3   6   3   6   0   0   0   0   0   0   3   5   0   1  0  0  0   0  0  0   6   6   0 -13  15  28    6    0   0   0   0   0  A
  11  CRO   33   RS @CRO   L(76-99)  0  0   405   2   3   2   3   0   0   0   0   0   0   2   2   0   1  0  2  2   0  2  0   4   4   0  -1  14  15    3    0   0   2   0   0  A
  11  BRE   34   RS vBRE L(100-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   42   RS vKEN   L(75-98)  0  0   244   1   3   1   3   0   0   0   0   0   0   1   2   0   1  0  1  1   0  0  0   2   2   0  -2   8  10    3    0   0   0   0   0  A
  11  HAR   46   RS @HAR  W(100-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
