Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    1   RS vBRE  W(105-97)  0  1  2400   6  14   6  14   0   0   0   0   2   2   5  10   1   4  4  8 12   0  0  0  12  10   4   8 105  97   14    0   0   0   0   0  A
  11  BRE    5   RS @BRE   L(70-94)  0  1  1344   6  16   6  16   0   0   2   2   0   0   5  10   1   6  0  4  4   0  1  1  14  12   0 -12  38  50   17    0   1   0   1   0  A
  11  QUE    9   RS vQUE   W(82-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   11   RS @WIL  L(95-110)  0  1  2400   9  17   9  16   0   1   1   4   2   2   8  12   1   4  3  9 12   2  1  2  19  17   6 -15  95 110   21    2   1   0   2   0  A
  11  BRE   17   RS vBRE L(100-105)  0  1  2400  10  15  10  13   0   2   0   0   2   2   8  11   2   2  3  6  9   0  1  0  20  16   6  -5 100 105   15    0   0   1   0   0  A
  11  QUE   23   RS @QUE W(120-119)  1  1  2669  10  19  10  18   0   1   3   4   1   1  10  17   0   1  2 10 12   1  1  2  23  22   2   7 117 110   23    2   0   1   1   1  A
  11  HAR   25   RS vHAR  L(92-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  LAT   33   RS vLAT   W(99-76)  0  1  1331   5   7   5   7   0   0   0   0   2   2   5   7   0   0  3  3  6   0  3  0  10  10   6   3  53  50    7    0   3   0   0   0  A
  11  WIL   41   RS vWIL   W(77-74)  0  1  1736   4   8   4   8   0   0   0   0   0   0   1   2   3   6  3  7 10   0  3  0   8   2   0  -7  57  64    8    0   3   0   0   0  A
  11  WIL   43   RS @WIL W(111-101)  0  1  2388  13  22  13  22   0   0   5   8   1   1  10  16   3   6  7  4 11   0  4  4  31  24   2  11 109  98   27    1   2   2   3   1  A
  11  WIL   49   RS vWIL   W(85-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
