Year Game Type Opp.     Result OT Ties LChgs FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC Pts InP 2CP Poss Tchs Pass IFC PFC BPts MaxL MUPt oFGM oFGA o2PM o2PA o3PM o3PA oFTM oFTA oPBM oPBA oInM oInA o2JM o2JA oOR oDF oTR oAst oFC oPts oInP o2CP oPoss oTchs oPass oIFC oPFC oBPts oMaxL oMUPt PeriodScores
  11    8   RS vRAY   L(79-99)  0    0     0  30  88  24  58   6  30  13  18   4   5  19  35   5  23 16 33 49  19  5  79  40  23   95  140   45   2   3   15    0    7   39   83   28   58   11   25   10   11    2    3   19   33    9   25  11  44  55   21   7   99   41   11    88   132    44    1    6    18    20    10 20-27,19-20,24-29,16-23
  11   16   RS vHAR  W(101-85)  0    4     3  42  83  31  58  11  25   6   8   1   1  21  31  10  27 12 34 46  26 11 101  44  13   87  133   46   9   2   17   21    7   31   75   26   56    5   19   18   23    1    3   15   28   11   28  11  30  41   19   4   85   43    5    86   128    42    2    2    28     3     6 23-18,26-16,26-26,26-25
  11   22   RS @HAR   L(92-99)  0    0     0  36  86  29  57   7  29  13  18   2   6  21  37   8  20 17 30 47  20 11  92  42  13   93  138   45   6   5   20    0    8   37   77   31   63    6   14   19   24    1    1   21   38   10   25  14  36  50   22   7   99   51   19    88   135    47    2    5    13    21     9 12-30,27-27,27-19,26-23
  11   24   RS vRAY W(118-114)  1   13    12  43  88  29  51  14  37  18  22   2   3  19  34  10  17  9 37 46  23 10 118  44  13   98  140   42   7   3   13   21    6   44   94   36   69    8   25   18   23    7    9   26   45   10   24  15  37  52   19  10  114   62   23   104   151    47    4    6    37     3    10 29-28,27-18,28-24,21-35,13-9
  11   27   RS @WIL  L(79-113)  0    5     2  26  79  16  49  10  30  17  25   4   7  13  33   3  16 14 23 37  12 13  79  33  16   90  132   42  10   3   45    2    5   42   71   36   59    6   12   23   29    2    2   29   43    7   16   9  41  50   16  11  113   74    8    84   123    39    6    5    40    34    12 18-32,19-27,23-30,19-24
  11   32   RS vWIL  L(91-108)  0    0     0  30  78  20  47  10  31  21  23   1   3   9  21  11  26 11 30 41  17  6  91  26  14   88  135   47   6   0   40    0   10   48   85   42   68    6   17    6   12    3    3   27   39   15   29  12  38  50   24  10  108   60   14    91   139    48    4    6    15    21    10 18-27,29-32,20-24,24-25
  11   39   RS @QUE   L(88-97)  0    2     6  33  89  22  59  11  30  11  16   0   4  17  40   5  19 19 29 48  17  7  88  38  11   96  138   42   6   1   21    3    7   42   79   39   63    3   16   10   14    1    1   22   30   17   33  10  39  49   28   7   97   52   11    86   131    45    3    4    14    14     9 28-37,24-19,13-19,23-22
  11   40   RS vBRE   W(92-84)  0    2     2  35  73  27  50   8  23  14  18   1   1  14  27  13  23  7 33 40  14  8  92  32   4   81  115   34   6   2   11   11    8   33   86   26   57    7   29   11   16    2    6   21   45    5   12  20  33  53   21   8   84   49   18    94   145    51    3    5    22     7     9 23-15,15-26,22-17,32-26
  11   42   RS @LAT   W(98-75)  0    4     5  36  80  22  45  14  35  12  20   3   4  12  24  10  21 14 35 49  20  2  98  25  14   88  132   44   1   1   22   27   11   36   84   35   75    1    9    2    4    2    2   20   47   15   28  14  32  46   15   8   75   40   12    86   123    37    3    5    28    11     6 14-25,32-20,25-14,27-16
  11   48   RS vHAR  W(114-95)  0    2     1  40  75  23  41  17  34  17  19   3   4  11  21  12  20 12 28 40  21  7 114  28  22   83  121   38   3   4   31   28    7   37   82   28   61    9   21   12   15    2    4   21   35    7   26  18  23  41   18   8   95   46   13    89   126    37    3    5    42     2     6 21-16,37-34,32-18,24-27
