Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS @CRO  L(97-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   3   RS @WIL   L(74-93)  0  0   252   0   1   0   1   0   0   0   0   0   0   0   1   0   0  1  0  1   0  0  0   0   0   0  -1   7   8    1    0   0   0   0   0  A
   5   RS vCRO   W(94-70)  0  0   600   1   4   1   4   0   0   0   0   0   0   1   4   0   0  0  6  6   1  1  0   2   2   0  -4  14  18    5    1   1   0   0   0  A
   7   RS @QUE  L(96-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  13   RS vWIL  W(111-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  17   RS @CRO W(105-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  19   RS @WIL W(108-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  21   RS vQUE  L(97-106)  0  0   129   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  0  0   0  0  0   0   0   0  -3   4   7    1    0   0   0   0   0  A
  29   RS vLAT  W(109-87)  0  0   720   3   4   3   4   0   0   2   2   0   0   3   3   0   1  0  2  2   1  2  1   8   8   0  20  47  27    7    2   1   1   1   0  A
  30   RS @HAR   L(77-91)  0  0   683   1   3   1   3   0   0   2   2   0   0   1   2   0   1  0  3  3   2  0  1   4   4   0   7  30  23    8    4   0   0   1   0  A
  34   RS @LAT W(102-100)  0  0   402   4   6   4   6   0   0   0   0   0   1   4   6   0   0  1  1  2   0  0  0   8   8   0   0  16  16    6    0   0   0   0   0  A
  37   RS vRAY  L(86-111)  0  0   698   1   4   1   4   0   0   0   0   0   0   1   3   0   1  0  3  3   0  0  0   2   2   0  -6  22  28    5    1   0   0   0   0  A
  40   RS @KEN   L(84-92)  0  0   421   1   4   1   4   0   0   2   4   0   1   1   4   0   0  2  0  2   0  0  2   4   4   0   7  15   8    7    1   0   0   2   0  A
  45   RS vWIL   L(81-82)  0  0   661   4   9   4   8   0   1   0   0   1   1   4   7   0   1  2  3  5   0  0  0   8   8   2  -5  18  23   11    2   0   0   0   0  A
  47   RS @QUE   W(94-86)  0  0   346   2   5   2   5   0   0   0   0   0   0   2   4   0   1  0  1  1   0  0  0   4   4   0  -6   8  14    5    0   0   0   0   0  A
