Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS vRAY  W(107-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   4   RS @RAY  L(95-114)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   6   RS @HAR   L(65-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  10   RS vHAR   L(86-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  12   RS @RAY  W(107-77)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  18   RS vHAR   W(91-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  26   RS vQUE  W(105-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  29   RS @BRE  L(87-109)  0  0   213   2   2   1   1   1   1   0   0   0   0   1   1   0   0  0  0  0   0  1  0   5   2   0  -7   9  16    2    0   0   1   0   0  A
  33   RS @CRO   L(76-99)  0  0   181   1   3   1   3   0   0   0   0   0   1   1   3   0   0  1  0  1   0  0  0   2   2   0  -2   6   8    3    0   0   0   0   0  A
  34   RS vBRE L(100-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  42   RS vKEN   L(75-98)  0  0   244   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  1  0   0   0   0  -2   8  10    0    0   0   1   0   0  A
  46   RS @HAR  W(100-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
