Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS vRAY  W(107-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   4   RS @RAY  L(95-114)  0  0   111   1   2   1   2   0   0   0   0   0   0   1   2   0   0  0  0  0   1  0  0   2   2   2  -2   4   6    3    1   0   0   0   0  A
   6   RS @HAR   L(65-96)  0  0   600   5   6   4   4   1   2   0   0   1   1   4   4   0   0  2  2  4   0  1  0  11   8   4  -2  17  19    6    0   0   1   0   0  A
  10   RS vHAR   L(86-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  12   RS @RAY  W(107-77)  0  1   600   0   2   0   1   0   1   7   8   0   0   0   1   0   0  2  0  2   0  0  3   7   2   0  -4  21  25    6    1   0   0   1   2  A
  18   RS vHAR   W(91-88)  0  1  2400   8  18   5  12   3   6   1   4   1   1   5  12   0   0  2  6  8   1  0  2  20  10   2   3  91  88   24    4   0   0   1   1  A
  26   RS vQUE  W(105-96)  0  1  2330   5   9   4   7   1   2   0   0   0   0   3   5   1   2  1  6  7   3  2  0  11   6   0   6 101  95   14    5   0   2   0   0  A
  29   RS @BRE  L(87-109)  0  1   166   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  0  0   0  1  0   0   0   0 -11   0  11    1    0   1   0   0   0  A
  33   RS @CRO   L(76-99)  0  1   600   1   5   1   2   0   3   0   0   0   0   1   2   0   0  0  2  2   0  1  0   2   2   0  -8  19  27    5    0   0   1   0   0  A
  34   RS vBRE L(100-102)  0  1  1552   2   6   1   5   1   1   0   0   0   2   1   5   0   0  5  7 12   0  2  0   5   2   0   0  64  64    7    1   1   1   0   0  A
  42   RS vKEN   L(75-98)  0  1  1200   0   3   0   1   0   2   0   0   0   0   0   1   0   0  2  3  5   0  2  0   0   0   0   0  39  39    3    0   1   1   0   0  A
  46   RS @HAR  W(100-92)  0  1   928   2   7   2   4   0   3   0   0   0   0   2   4   0   0  0  1  1   0  1  0   4   4   2  -4  34  38    8    1   0   1   0   0  A
