Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   7   RS vBRE  W(102-96)  0  1  2400  10  17   7  12   3   5   4   4   0   0   6   8   1   4  0  2  2   4  2  2  27  12   2   6 102  96   27    8   0   2   0   2  A
   9   RS @CRO   L(81-82)  0  1  1113   0   7   0   2   0   5   1   2   0   0   0   0   0   2  0  3  3   4  0  1   1   1   0   0  37  37   17    9   0   0   1   0  A
  15   RS vWIL  L(89-101)  0  1  2221   8  17   5   9   3   8   0   0   0   1   4   5   1   4  2  5  7   4  0  0  19   8   0 -15  79  94   25    8   0   0   0   0  A
  21   RS @BRE  W(106-97)  0  1  2400  11  20   6   9   5  11   7   7   0   0   3   4   3   5  1  3  4   9  2  3  34   8   0   9 106  97   37   14   0   2   1   2  A
  23   RS vCRO L(119-120)  1  1  2700   9  17   6   9   3   8   7   7   0   0   3   5   3   4  0  6  6  10  3  3  28   8   4  -1 119 120   36   16   0   3   1   2  A
  26   RS @LAT  L(96-105)  0  1  1096   3  10   2   5   1   5   2   2   0   0   0   3   2   2  0  1  1   0  1  1   9   2   0 -26  29  55   19    8   0   1   1   0  A
  28   RS @RAY  L(97-119)  0  1  2094   9  14   6  10   3   4   5   5   0   0   4   6   2   4  0  4  4   4  1  2  26   8   5 -21  85 106   31   15   0   1   0   2  A
  31   RS vHAR   L(90-96)  0  1  1780   7  18   3   7   4  11   3   3   0   0   3   5   0   2  0  2  2   3  3  1  21   6   2  -3  70  73   25    6   1   2   0   1  A
  38   RS @HAR  L(83-105)  0  1   832   2   8   1   1   1   7   0   0   0   0   0   0   1   1  0  0  0   3  1  0   5   0   0 -15  30  45   14    6   0   1   0   0  A
  39   RS vKEN   W(97-88)  0  1  1934   6  10   5   6   1   4   2   2   0   0   4   4   1   2  0  3  3   5  2  1  15  10   2   9  84  75   18    7   0   2   1   0  A
  47   RS vBRE   L(86-94)  0  1  1800   6  16   4  12   2   4   0   0   0   0   3   9   1   3  0  4  4   2  1  0  14   6   3  -7  63  70   29   13   0   1   0   0  A
