Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS @LAT  L(99-107)  0  1  1819   1  11   0   2   1   9   4   6   0   0   0   0   0   2  1  2  3   8  1  2   7   0   2  -9  77  86   26   13   0   1   0   2  A
   4   RS vLAT  W(114-95)  0  1   959   1   5   0   1   1   4   0   0   0   0   0   0   0   1  2  1  3   5  1  0   3   0   3 -15  27  42   16   11   0   1   0   0  A
   8   RS @KEN   W(99-79)  0  1  1895   6  11   4   5   2   6   3   3   0   0   2   2   2   3  0  0  0   7  0  1  17   4   3  18  78  60   27   15   0   0   0   1  A
  12   RS vLAT  L(77-107)  0  1  2191   5  12   3   5   2   7   0   0   0   0   1   2   2   3  2  1  3  10  2  0  12   2   0 -22  71  93   34   22   1   1   0   0  A
  14   RS @HAR   W(91-78)  0  1  2400   5  12   4   8   1   4   0   0   0   0   1   1   3   7  0  3  3  10  0  0  11   2   7  13  91  78   40   28   0   0   0   0  A
  20   RS vHAR W(112-105)  1  1  1816   3   8   1   3   2   5   0   2   0   0   0   0   1   3  0  1  1   8  4  1   8   0   0  -4  69  73   28   19   0   4   1   0  A
  24   RS @KEN L(114-118)  1  1  1818   4  12   2   4   2   8   0   0   0   0   0   1   2   3  0  0  0   5  1  0  10   0   3 -14  70  84   32   20   0   1   0   0  A
  28   RS vQUE  W(119-97)  0  1  2094   8  12   6   9   2   3   3   5   1   1   1   2   5   7  1  0  1  11  2  2  21   2   2  21 106  85   34   20   0   2   0   2  A
  35   RS @WIL   L(70-95)  0  1  1656   3  11   1   4   2   7   0   0   0   0   0   1   1   3  0  2  2   6  0  0   8   0   0 -19  50  69   25   14   0   0   0   0  A
  36   RS vWIL  W(111-94)  0  1  2400   3  13   2   6   1   7   2   3   0   0   1   1   1   5  2  3  5  15  1  1   9   2   0  17 111  94   41   27   0   1   0   1  A
  37   RS @BRE  W(111-86)  0  1  1800   1   6   0   2   1   4   0   0   0   0   0   0   0   2  0  4  4  10  1  0   3   0   0  14  84  70   25   19   0   1   0   0  A
  44   RS vHAR  W(109-94)  0  1  1923   3   9   2   3   1   6   3   3   0   0   0   0   2   3  0  1  1  13  1  1  10   0   0  27  94  67   36   26   0   1   0   1  A
