Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS @CRO  L(97-105)  0  1  2400   4  10   4  10   0   0   1   4   0   1   4  10   0   0  2  7  9   2  1  2   9   9   0  -8  97 105   18    6   0   1   2   0  A
   3   RS @WIL   L(74-93)  0  1  1073   5  12   5  10   0   2   1   4   0   1   5  10   0   0  2  5  7   1  3  2  11  11   1  -3  38  41   15    1   2   1   2   0  A
   5   RS vCRO   W(94-70)  0  1  1800   8  14   8  14   0   0   0   0   0   0   8  14   0   0  2  4  6   1  0  0  16  16   4  28  80  52   15    1   0   0   0   0  A
   7   RS @QUE  L(96-102)  0  1  2400   6  13   6  13   0   0   4   8   0   1   6  13   0   0  4  6 10   2  3  4  16  16   4  -6  96 102   22    5   2   1   4   0  A
  13   RS vWIL  W(111-99)  0  1  2400  16  22  16  22   0   0   7  12   1   1  16  22   0   0  2  7  9   1  1  6  39  39   8  12 111  99   32    4   1   0   6   0  A
  17   RS @CRO W(105-100)  0  1  2400  11  13  11  13   0   0   4   4   0   0  11  13   0   0  1 13 14   3  0  2  26  26   2   5 105 100   22    7   0   0   2   0  A
  19   RS @WIL W(108-107)  0  1  2400  11  14  10  13   1   1   2   6   0   0  10  13   0   0  4 11 15   1  2  3  25  21   2   1 108 107   20    3   2   0   1   2  A
  21   RS vQUE  L(97-106)  0  1  1808  14  19  14  18   0   1   2   8   1   1  14  18   0   0  5  7 12   0  2  4  30  30   4   3  75  72   24    1   2   0   4   0  A
  29   RS vLAT  W(109-87)  0  1  2187  12  20  12  20   0   0   2   4   0   0  12  20   0   0  3 11 14   1  2  2  26  26   1  15  93  78   23    1   2   0   2   0  A
  30   RS @HAR   L(77-91)  0  1  2162  10  17  10  16   0   1   0   0   0   0  10  16   0   0  1  9 10   0  2  0  20  20   2 -18  64  82   17    0   1   1   0   0  A
  34   RS @LAT W(102-100)  0  1  1998   7  12   7  11   0   1   4   6   0   0   7  11   0   0  0  5  5   1  3  3  18  18   2   2  86  84   16    1   3   0   3   0  A
  37   RS vRAY  L(86-111)  0  1  1488   7  12   7  10   0   2   2   6   1   1   7  10   0   0  1  1  2   1  4  3  16  16   4 -11  60  71   16    1   3   1   3   0  A
  40   RS @KEN   L(84-92)  0  1  1979   7  16   7  15   0   1   0   0   0   2   7  15   0   0  5  9 14   0  3  0  14  14   2 -15  69  84   16    0   2   1   0   0  A
  45   RS vWIL   L(81-82)  0  1  2400   8  15   8  14   0   1   2   6   1   1   8  14   0   0  6  6 12   1  2  3  18  18   2  -1  81  82   20    2   1   1   3   0  A
  47   RS @QUE   W(94-86)  0  1  2400  13  21  12  19   1   2   4   6   0   0  12  19   0   0  1 16 17   1  1  3  31  28   4   8  94  86   28    4   1   0   2   1  A
