Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS vBRE  W(105-97)  0  0    41   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   0  0  0   0   0   0   0   0   0    1    0   0   0   0   0  A
   5   RS @BRE   L(70-94)  0  0  1800   3   7   2   5   1   2   2   2   0   0   0   1   2   4  2  6  8   1  1  1   9   2   0 -10  55  65    9    1   0   1   1   0  A
   9   RS vQUE   W(82-81)  0  0   809   3   6   3   6   0   0   0   0   0   1   1   2   2   4  1  5  6   0  4  0   6   2   4   4  30  26    6    0   3   1   0   0  A
  11   RS @WIL  L(95-110)  0  1   844   0   4   0   0   0   4   0   0   0   0   0   0   0   0  0  3  3   0  0  0   0   0   0   1  31  30    4    0   0   0   0   0  A
  17   RS vBRE L(100-105)  0  0   280   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  2  0   0   0   0  -2   7   9    0    0   1   1   0   0  A
  23   RS @QUE W(120-119)  1  0   251   0   2   0   1   0   1   3   4   0   0   0   0   0   1  0  2  2   0  0  2   3   0   0 -10   9  19    4    0   0   0   0   2  A
  25   RS vHAR  L(92-101)  0  0   158   0   0   0   0   0   0   2   2   0   0   0   0   0   0  1  0  1   1  0  1   2   2   2  -3   6   9    2    1   0   0   1   0  A
  33   RS vLAT   W(99-76)  0  0   195   0   2   0   1   0   1   0   0   0   0   0   0   0   1  0  0  0   0  0  0   0   0   0  -1   9  10    3    1   0   0   0   0  A
  41   RS vWIL   W(77-74)  0  0  1471   5  10   4   6   1   4   3   4   0   0   2   2   2   4  1  8  9   1  0  2  14   7   3   6  42  36   13    1   0   0   2   0  A
  43   RS @WIL W(111-101)  0  0   612   1   4   1   4   0   0   0   0   0   0   0   1   1   3  0  0  0   1  0  0   2   0   0 -11  22  33    5    1   0   0   0   0  A
  49   RS vWIL   W(85-84)  0  0   639   1   2   1   1   0   1   0   0   0   0   1   1   0   0  0  1  1   0  0  0   2   2   2  -4  25  29    3    1   0   0   0   0  A
