Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   8   RS vRAY   L(79-99)  0  1  1558   3   9   1   3   2   6   6   9   0   0   1   3   0   0  3  3  6   4  0  3  14   2   6  -7  55  62   18    6   0   0   0   3  A
  16   RS vHAR  W(101-85)  0  1  2078   4  14   0   2   4  12   0   0   0   0   0   0   0   2  2  4  6   4  1  0  12   0   3  21  92  71   21    7   0   1   0   0  A
  22   RS @HAR   L(92-99)  0  1   848   0   4   0   1   0   3   0   0   0   0   0   1   0   0  0  1  1   2  1  0   0   0   0 -14  25  39    6    2   0   1   0   0  A
  24   RS vRAY W(118-114)  1  1  2700  10  23   3   5   7  18   6   8   0   0   1   3   2   2  1  5  6   5  0  3  33   2   0   4 118 114   37   11   0   0   0   3  A
  27   RS @WIL  L(79-113)  0  1   851   0   6   0   1   0   5   2   3   0   0   0   0   0   1  0  0  0   0  0  1   2   0   0 -23  25  48   10    3   0   0   0   1  A
  32   RS vWIL  L(91-108)  0  1   809   1  10   1   2   0   8   0   0   1   2   1   2   0   0  2  1  3   2  0  0   2   2   2 -16  21  37   12    2   0   0   0   0  A
  39   RS @QUE   L(88-97)  0  1  2187   5  13   0   3   5  10   0   0   0   1   0   3   0   0  3  2  5   2  2  0  15   0   0 -13  76  89   17    4   1   1   0   0  A
  40   RS vBRE   W(92-84)  0  1  1751   6  11   2   3   4   8   1   3   0   0   1   2   1   1  1  4  5   4  3  1  17   2   0  10  70  60   17    5   1   2   0   1  A
  42   RS @LAT   W(98-75)  0  1  2156  10  19   3   4   7  15   4   6   1   1   1   2   2   2  1  6  7   9  1  2  31   2   7  21  88  67   35   14   1   0   0   2  A
  48   RS vHAR  W(114-95)  0  1  1598   4   9   1   1   3   8   0   0   0   0   0   0   1   1  1  8  9   0  1  0  11   0   3  22  72  50   11    2   1   0   0   0  A
